,2022-12-31EW,2021-12-31EW,2020-12-31EW
Basic EPS,-0.20830549562862846,-0.21081514820886937,-0.2655255744581214
Basic EPS,-0.20830549562862846,-0.21081514820886937,-0.2655255744581214
Net Income Common Stockholders,-0.1764853087164975,-0.17885294938893329,-0.26445323476417804
Net Income Common Stockholders,-0.1764853087164975,-0.17885294938893329,-0.26445323476417804
Total Liabilities Net Minority Interest,-0.2529149020576515,-0.25216262288267444,-0.25217884117334555
Net Income Including Noncontrolling Interests,-0.18200637235566433,-0.1843550648612875,-0.2692702933757586
Net Income Including Noncontrolling Interests,-0.18200637235566433,-0.1843550648612875,-0.2692702933757586
Net Income From Continuing Operation Net Minority Interest,-0.17416243078923685,-0.1765252352360724,-0.2619506704761844
Net Income From Continuing Operation Net Minority Interest,-0.17416243078923685,-0.1765252352360724,-0.2619506704761844
Tax Effect Of Unusual Items,0.12066165952735328,0.1735223721420363,0.01988456162835392
Tax Effect Of Unusual Items,0.12066165952735328,0.1735223721420363,0.01988456162835392
Total Equity Gross Minority Interest,-0.35200452704517043,-0.35112542891799686,-0.38910728498793506
Share Issued,-0.11336783222957343,-0.11604200483408522,-0.11952464822600756
Invested Capital,-0.4340141119977134,-0.43353827883284635,-0.45453982442766006
Net Tangible Assets,-0.03663091986000935,-0.037067652525388364,-0.08056008444403064
Normalized Income,-0.19915771557059245,-0.21894952948106977,-0.2465466326718277
Normalized Income,-0.19915771557059245,-0.21894952948106977,-0.2465466326718277
Basic Average Shares,-0.05684537769274241,-0.05388870905227015,-0.05437002720304471
Basic Average Shares,-0.05684537769274241,-0.05388870905227015,-0.05437002720304471
Operating Revenue,-0.4127981913690164,-0.41545651634035724,-0.43046301794641856
Operating Revenue,-0.4127981913690164,-0.41545651634035724,-0.43046301794641856
Common Stock,-0.17587030395215406,-0.17632689047948102,-0.17692151479413937
Stockholders Equity,-0.342470249384903,-0.3415801947424477,-0.3800354323082548
Total Assets,-0.27390925389266685,-0.27311559746876546,-0.27789604584785726
Net Income Continuous Operations,-0.1766789711352332,-0.1790324322017052,-0.2641200644826099
Net Income Continuous Operations,-0.1766789711352332,-0.1790324322017052,-0.2641200644826099
Pretax Income,-0.1898862688394443,-0.19672918772419928,-0.2788965302348738
Pretax Income,-0.1898862688394443,-0.19672918772419928,-0.2788965302348738
Diluted EPS,-0.21359788165039087,-0.21676776024842795,-0.273825575013095
Diluted EPS,-0.21359788165039087,-0.21676776024842795,-0.273825575013095
Common Stock Equity,-0.3452325422872657,-0.34430421719385257,-0.3844129479421394
Net Income From Continuing And Discontinued Operation,-0.17952272631854074,-0.18188084582250624,-0.26713690044193944
Net Income From Continuing And Discontinued Operation,-0.17952272631854074,-0.18188084582250624,-0.26713690044193944
Total Revenue,-0.4126437582765326,-0.4153019246381783,-0.430307530877168
Total Revenue,-0.4126437582765326,-0.4153019246381783,-0.430307530877168
Total Capitalization,-0.4284985952800965,-0.42800669913368466,-0.4497172063230433
Diluted Average Shares,-0.058396459474911476,-0.053639750401403015,-0.05316407949405217
Diluted Average Shares,-0.058396459474911476,-0.053639750401403015,-0.05316407949405217
Ordinary Shares Number,-0.06808649295620565,-0.05743112898025032,-0.05729625095523823
Net Income,-0.1795255104257897,-0.18188363154836468,-0.2671397446874187
Net Income,-0.1795255104257897,-0.18188363154836468,-0.2671397446874187
Capital Stock,-0.2026300298063435,-0.20305855093948644,-0.20361662497334698
Diluted NI Availto Com Stockholders,-0.17627449994983407,-0.17864204653952642,-0.2642389304232447
Diluted NI Availto Com Stockholders,-0.17627449994983407,-0.17864204653952642,-0.2642389304232447
Tangible Book Value,-0.02486718106516137,-0.025323654166253994,-0.07078195588209514
Tax Rate For Calcs,-0.7142606023007426,-1.0121201641153401,-1.2182119027490588
Tax Rate For Calcs,-0.7142606023007426,-1.0121201641153401,-1.2182119027490588
