,2022-12-31NRG,2021-12-31NRG,2020-12-31NRG
Basic EPS,-0.07228232577957067,0.11644354825454642,-0.22737885523845944
Basic EPS,-0.07228232577957067,0.11644354825454642,-0.22737885523845944
Net Income Common Stockholders,-0.21438015330883406,-0.09272372301239969,-0.3039223085270171
Net Income Common Stockholders,-0.21438015330883406,-0.09272372301239969,-0.3039223085270171
Total Liabilities Net Minority Interest,-0.15796637481104364,-0.1818197377058388,-0.2082680271080176
Net Income Including Noncontrolling Interests,-0.21959794549087744,-0.09891512844662399,-0.30842349716630624
Net Income Including Noncontrolling Interests,-0.21959794549087744,-0.09891512844662399,-0.30842349716630624
Net Income From Continuing Operation Net Minority Interest,-0.21197987004736502,-0.0905719394280503,-0.301339123329283
Net Income From Continuing Operation Net Minority Interest,-0.21197987004736502,-0.0905719394280503,-0.301339123329283
Tax Effect Of Unusual Items,-0.01792839554356335,-0.1722509292656752,0.022954033361551225
Tax Effect Of Unusual Items,-0.01792839554356335,-0.1722509292656752,0.022954033361551225
Total Equity Gross Minority Interest,-0.4115754676012791,-0.41843965845729203,-0.47624337092897984
Share Issued,-0.2516803920172625,-0.25189794964045287,-0.25220226177623783
Invested Capital,-0.34310668497556157,-0.3480480293799501,-0.36797978222997535
Net Tangible Assets,-0.18372794071797638,-0.20938598480899306,-0.17052360153815793
Normalized Income,-0.22281420366106344,-0.07167201929997963,-0.32345648272667005
Normalized Income,-0.22281420366106344,-0.07167201929997963,-0.32345648272667005
Basic Average Shares,-0.3201951659022481,-0.3140067896780039,-0.3140067896780039
Basic Average Shares,-0.3201951659022481,-0.3140067896780039,-0.3140067896780039
Operating Revenue,0.05113360479681607,-0.02962698172410475,-0.34699445128457884
Operating Revenue,0.05113360479681607,-0.02962698172410475,-0.34699445128457884
Common Stock,-0.24407158918520133,-0.24407158918520133,-0.24407158918520133
Stockholders Equity,-0.4027836439405961,-0.40973338566935646,-0.4682575265431275
Total Assets,-0.1951347929891578,-0.21766390727829527,-0.24894175206603136
Net Income Continuous Operations,-0.214346866608713,-0.09341902670382274,-0.303352761197095
Net Income Continuous Operations,-0.214346866608713,-0.09341902670382274,-0.303352761197095
Pretax Income,-0.20080982742611742,-0.07567020990062816,-0.29518769950637774
Pretax Income,-0.20080982742611742,-0.07567020990062816,-0.29518769950637774
Diluted EPS,-0.06936840543970468,0.12927732003728437,-0.23314546633828612
Diluted EPS,-0.06936840543970468,0.12927732003728437,-0.23314546633828612
Common Stock Equity,-0.40813928414810524,-0.41538784994598843,-0.4764284040334256
Net Income From Continuing And Discontinued Operation,-0.2172651815708395,-0.09609797727133604,-0.30644725430059827
Net Income From Continuing And Discontinued Operation,-0.2172651815708395,-0.09609797727133604,-0.30644725430059827
Total Revenue,0.05126035727028301,-0.029495410647891584,-0.3468439443904591
Total Revenue,0.05126035727028301,-0.029495410647891584,-0.3468439443904591
Total Capitalization,-0.3356058999384772,-0.3396993014365897,-0.36025230475694425
Diluted Average Shares,-0.3221899540943377,-0.3160741852855411,-0.3153946554178971
Diluted Average Shares,-0.3221899540943377,-0.3160741852855411,-0.3153946554178971
Ordinary Shares Number,-0.32350431429977694,-0.3139327835999002,-0.313610402190857
Net Income,-0.21726799158444993,-0.09610070411596947,-0.30645012552864204
Net Income,-0.21726799158444993,-0.09610070411596947,-0.30645012552864204
Capital Stock,-0.26663912836860026,-0.26663912836860026,-0.26663912836860026
Diluted NI Availto Com Stockholders,-0.21416783871783587,-0.09251624267300457,-0.30370643580673345
Diluted NI Availto Com Stockholders,-0.21416783871783587,-0.09251624267300457,-0.30370643580673345
Tangible Book Value,-0.1786130274269205,-0.2054308221161121,-0.16481184851107322
Tax Rate For Calcs,1.0052014136289795,0.5854902128902281,1.8693867759500675
Tax Rate For Calcs,1.0052014136289795,0.5854902128902281,1.8693867759500675
