,2022-12-31AES,2021-12-31AES,2020-12-31AES
Basic EPS,-0.37293870489243275,-0.3623981640554209,-0.32826688896414435
Basic EPS,-0.37293870489243275,-0.3623981640554209,-0.32826688896414435
Net Income Common Stockholders,-0.43691318885106956,-0.41965963714236204,-0.3623576953360705
Net Income Common Stockholders,-0.43691318885106956,-0.41965963714236204,-0.3623576953360705
Total Liabilities Net Minority Interest,-0.12244831824123092,-0.1451664007890458,-0.13898265765366216
Net Income Including Noncontrolling Interests,-0.4352279063794711,-0.4909468881618076,-0.35314859913508756
Net Income Including Noncontrolling Interests,-0.4352279063794711,-0.4909468881618076,-0.35314859913508756
Net Income From Continuing Operation Net Minority Interest,-0.4340583518323848,-0.41734276718189944,-0.3600321912373782
Net Income From Continuing Operation Net Minority Interest,-0.4340583518323848,-0.41734276718189944,-0.3600321912373782
Tax Effect Of Unusual Items,-0.8188867511522908,-0.9607986627244451,-0.6837432485824894
Tax Effect Of Unusual Items,-0.8188867511522908,-0.9607986627244451,-0.6837432485824894
Total Equity Gross Minority Interest,-0.3912237438352057,-0.38932705951972846,-0.3847208261821408
Share Issued,-0.006096196130408028,-0.006141568754798719,-0.006339575066747069
Invested Capital,-0.12299225241643476,-0.19682958058706249,-0.16595033744044574
Net Tangible Assets,-0.1773134296952222,-0.1794629732826345,-0.15984412308006188
Normalized Income,-0.3052416555300509,-0.11600362639619949,-0.29245960652888064
Normalized Income,-0.3052416555300509,-0.11600362639619949,-0.29245960652888064
Basic Average Shares,-0.024628925540025957,-0.021439749978445825,-0.025215899213271747
Basic Average Shares,-0.024628925540025957,-0.021439749978445825,-0.025215899213271747
Operating Revenue,-0.2844998735727376,-0.31067524153604,-0.33693927944501756
Operating Revenue,-0.2844998735727376,-0.31067524153604,-0.33693927944501756
Common Stock,-0.24364685753187396,-0.24364685753187396,-0.24364685753187396
Stockholders Equity,-0.4451831647507084,-0.43417940701350455,-0.4391783440464725
Total Assets,-0.160317414316626,-0.1807160087434104,-0.17452088006564626
Net Income Continuous Operations,-0.43041462196672603,-0.4867474666429171,-0.3485442210373283
Net Income Continuous Operations,-0.43041462196672603,-0.4867474666429171,-0.3485442210373283
Pretax Income,-0.3924952616290408,-0.48614071119870045,-0.3237521774198046
Pretax Income,-0.3924952616290408,-0.48614071119870045,-0.3237521774198046
Diluted EPS,-0.3858279521437378,-0.3747333770506081,-0.3388080862728547
Diluted EPS,-0.3858279521437378,-0.3747333770506081,-0.3388080862728547
Common Stock Equity,-0.47900355240898934,-0.467526656562341,-0.4460988787212303
Net Income From Continuing And Discontinued Operation,-0.4389033285658939,-0.421719159840188,-0.3646476505686827
Net Income From Continuing And Discontinued Operation,-0.4389033285658939,-0.421719159840188,-0.3646476505686827
Total Revenue,-0.2843530954348932,-0.3105269016376217,-0.3367893724955085
Total Revenue,-0.2843530954348932,-0.3105269016376217,-0.3367893724955085
Total Capitalization,-0.1228006195345049,-0.1924056441683751,-0.1759804406780499
Diluted Average Shares,-0.030091554087750435,-0.02693979670931632,-0.028633051272101404
Diluted Average Shares,-0.030091554087750435,-0.02693979670931632,-0.028633051272101404
Ordinary Shares Number,-0.027324017710158,-0.028638969877215772,-0.02959896219706897
Net Income,-0.4389062907115772,-0.42172211019068506,-0.3646505617453863
Net Income,-0.4389062907115772,-0.42172211019068506,-0.3646505617453863
Capital Stock,-0.182728711134566,-0.182728711134566,-0.26624050405869987
Diluted NI Availto Com Stockholders,-0.43669203148307073,-0.41943916537733383,-0.36213950057360894
Diluted NI Availto Com Stockholders,-0.43669203148307073,-0.41943916537733383,-0.36213950057360894
Tangible Book Value,-0.20179330209178029,-0.20404000563622052,-0.15364965471091768
Tax Rate For Calcs,0.24701343810091272,-0.8361122412248962,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.8361122412248962,1.0593576975952699
