,2022-12-31TRMB,2021-12-31TRMB,2020-12-31TRMB
Basic EPS,-0.24093097917176037,-0.23340202143103767,-0.25347924207296496
Basic EPS,-0.24093097917176037,-0.23340202143103767,-0.25347924207296496
Net Income Common Stockholders,-0.31151639004552123,-0.3061010416989926,-0.31904750239720525
Net Income Common Stockholders,-0.31151639004552123,-0.3061010416989926,-0.31904750239720525
Total Liabilities Net Minority Interest,-0.2498666951186897,-0.2501324255735323,-0.24961926222255296
Net Income Including Noncontrolling Interests,-0.3159568034476401,-0.31057230094804655,-0.3233401931860618
Net Income Including Noncontrolling Interests,-0.3159568034476401,-0.31057230094804655,-0.3233401931860618
Net Income From Continuing Operation Net Minority Interest,-0.30891769291142035,-0.30351340614472205,-0.3164334219497589
Net Income From Continuing Operation Net Minority Interest,-0.30891769291142035,-0.30351340614472205,-0.3164334219497589
Tax Effect Of Unusual Items,0.17654119489582432,0.14836720094154887,0.13557209945863619
Tax Effect Of Unusual Items,0.17654119489582432,0.14836720094154887,0.13557209945863619
Total Equity Gross Minority Interest,-0.40488589212669107,-0.4080620857026094,-0.418481806997636
Share Issued,-0.3617549341463197,-0.359267331723518,-0.35932952178408806
Invested Capital,-0.44786984135789787,-0.4533984903329091,-0.454959090013487
Net Tangible Assets,-0.20528479212316833,-0.20383811516910036,-0.21463018876748943
Normalized Income,-0.34878495889802064,-0.3396719202052795,-0.34786779014185615
Normalized Income,-0.34878495889802064,-0.3396719202052795,-0.34786779014185615
Basic Average Shares,-0.31153143918830617,-0.30960616658520795,-0.3102250042076324
Basic Average Shares,-0.31153143918830617,-0.30960616658520795,-0.3102250042076324
Operating Revenue,-0.44305415023228895,-0.44335917484541143,-0.45242833688906514
Operating Revenue,-0.44305415023228895,-0.44335917484541143,-0.45242833688906514
Common Stock,-0.24447508425586237,-0.2444644659645292,-0.2444644659645292
Stockholders Equity,-0.396010693887392,-0.39922647350311224,-0.4098278777718089
Total Assets,-0.27777554304003976,-0.278415454502243,-0.2792567076464735
Net Income Continuous Operations,-0.3109013623837046,-0.30550592770471824,-0.31829974265117766
Net Income Continuous Operations,-0.3109013623837046,-0.30550592770471824,-0.31829974265117766
Pretax Income,-0.3152665394755595,-0.3146910646458018,-0.33348293363207093
Pretax Income,-0.3152665394755595,-0.3146910646458018,-0.33348293363207093
Diluted EPS,-0.24740992002945286,-0.24001353663403302,-0.2606177475212739
Diluted EPS,-0.24740992002945286,-0.24001353663403302,-0.2606177475212739
Common Stock Equity,-0.40107511169069454,-0.4044291629699782,-0.4154864050072754
Net Income From Continuing And Discontinued Operation,-0.31401079717767905,-0.3086172259718005,-0.32151162411050543
Net Income From Continuing And Discontinued Operation,-0.31401079717767905,-0.3086172259718005,-0.32151162411050543
Total Revenue,-0.44289791190964584,-0.44320291832339037,-0.45227153925298075
Total Revenue,-0.44289791190964584,-0.44320291832339037,-0.45227153925298075
Total Capitalization,-0.4479818104778351,-0.4485373435382932,-0.4545501719573693
Diluted Average Shares,-0.31254062997379195,-0.3097545575164513,-0.3111136172517394
Diluted Average Shares,-0.31254062997379195,-0.3097545575164513,-0.3111136172517394
Ordinary Shares Number,-0.3118110841530573,-0.30911352365281547,-0.3091809626653215
Net Income,-0.3140136735973267,-0.30862009868930945,-0.3215145056787088
Net Income,-0.3140136735973267,-0.30862009868930945,-0.3215145056787088
Capital Stock,-0.2670178214630057,-0.26700785585525816,-0.26700785585525816
Diluted NI Availto Com Stockholders,-0.31130021555984244,-0.30588508240256734,-0.318831028648332
Diluted NI Availto Com Stockholders,-0.31130021555984244,-0.30588508240256734,-0.318831028648332
Tangible Book Value,-0.2011442544011642,-0.1996321872537949,-0.21091206552532588
Tax Rate For Calcs,0.24701343810091272,-0.6736433893260251,-2.4472616892220374
Tax Rate For Calcs,0.24701343810091272,-0.6736433893260251,-2.4472616892220374
