,2023-06-30MSFT,2022-06-30MSFT,2021-06-30MSFT,2020-06-30MSFT
Basic EPS,0.156096059022353,0.15509219799025656,0.07578717645464352,-0.0396568422364387
Basic EPS,0.156096059022353,0.15509219799025656,0.07578717645464352,-0.0396568422364387
Net Income Common Stockholders,8.74487290185508,8.792351653637436,7.348216781785248,5.2085244932382295
Net Income Common Stockholders,8.74487290185508,8.792351653637436,7.348216781785248,5.2085244932382295
Total Liabilities Net Minority Interest,0.5923790808936931,0.5613771944953845,0.5343176002909855,0.49778901945627824
Net Income Including Noncontrolling Interests,8.667954440149073,8.715053220713962,7.282475722736265,5.1599073360055545
Net Income Including Noncontrolling Interests,8.667954440149073,8.715053220713962,7.282475722736265,5.1599073360055545
Net Income From Continuing Operation Net Minority Interest,8.728972701648336,8.776354471672645,7.335169440190573,5.199847761906767
Net Income From Continuing Operation Net Minority Interest,8.728972701648336,8.776354471672645,7.335169440190573,5.199847761906767
Tax Effect Of Unusual Items,0.1279603073760316,0.25790814328427586,0.641940360096741,0.1493327524000588
Tax Effect Of Unusual Items,0.1279603073760316,0.25790814328427586,0.641940360096741,0.1493327524000588
Total Equity Gross Minority Interest,5.681748691621247,4.487108527772787,3.7478833423405886,3.0348504641221234
Share Issued,4.106663107871741,4.126563927254154,4.160768460567677,4.193107292064099
Invested Capital,3.6764024688609553,3.0585347680334203,2.789189904186126,2.4813458115450433
Net Tangible Assets,4.21515947209363,2.8076860986913297,2.69703578354882,2.1319446582357635
Normalized Income,8.93313384820985,8.942711358089966,7.356656739357761,5.307505391117307
Normalized Income,8.93313384820985,8.942711358089966,7.356656739357761,5.307505391117307
Basic Average Shares,4.637381787075653,4.671761654988122,4.706829120258838,4.750147753828549
Basic Average Shares,4.637381787075653,4.671761654988122,4.706829120258838,4.750147753828549
Operating Revenue,3.2498486930602173,3.0078684113127503,2.4726211512393133,2.0279768416567383
Operating Revenue,3.2498486930602173,3.0078684113127503,2.4726211512393133,2.0279768416567383
Common Stock,9.706753950795793,8.986939981319182,8.580471789084859,8.308749713868655
Stockholders Equity,5.766483799885911,4.556954407171271,3.80851599310118,3.0865963303645163
Total Assets,1.2510122263452634,1.0729551621043543,0.9556216914579929,0.8329732537082085
Net Income Continuous Operations,8.6912499562007,8.738444361629421,7.30295829518079,5.176080448406375
Net Income Continuous Operations,8.6912499562007,8.738444361629421,7.30295829518079,5.176080448406375
Pretax Income,8.969957059592346,8.384542210047938,7.064716845945496,5.174438977872344
Pretax Income,8.969957059592346,8.384542210047938,7.064716845945496,5.174438977872344
Diluted EPS,0.1689008025127476,0.16731586321372913,0.08278576726607421,-0.03819793255900694
Diluted EPS,0.1689008025127476,0.16731586321372913,0.08278576726607421,-0.03819793255900694
Common Stock Equity,6.026393499459629,4.764856923030673,3.9842372537270623,3.2312765854943217
Net Income From Continuing And Discontinued Operation,8.70595936694539,8.753247188913207,7.314919723382766,5.183831937618207
Net Income From Continuing And Discontinued Operation,8.70595936694539,8.753247188913207,7.314919723382766,5.183831937618207
Total Revenue,3.249784593312661,3.007818749385675,2.4726034249881463,2.0279856452313627
Total Revenue,3.249784593312661,3.007818749385675,2.4726034249881463,2.0279856452313627
Total Capitalization,3.730431725134076,3.1346698154991293,2.76468135740083,2.520797184109928
Diluted Average Shares,4.59488816817812,4.641096199177917,4.6873042301777135,4.738268970251018
Diluted Average Shares,4.59488816817812,4.641096199177917,4.6873042301777135,4.738268970251018
Ordinary Shares Number,4.5337494034188826,4.555329887420817,4.592421344299143,4.627489630802287
Net Income,8.705962681818965,8.753250536245071,7.314922083448936,5.183832834909099
Net Income,8.705962681818965,8.753250536245071,7.314922083448936,5.183832834909099
Capital Stock,9.072530516132929,8.396961966929226,8.015478502354542,7.760458600095761
Diluted NI Availto Com Stockholders,8.74472920334148,8.792206068464566,7.34812858208146,5.208521318311601
Diluted NI Availto Com Stockholders,8.74472920334148,8.792206068464566,7.34812858208146,5.208521318311601
Tangible Book Value,4.419105297445458,2.948013743291411,2.8323620036942723,2.241728605233645
Tax Rate For Calcs,-0.023767981730539414,-0.8361122412248962,-0.724198280408557,-0.29454940156199155
Tax Rate For Calcs,-0.023767981730539414,-0.8361122412248962,-0.724198280408557,-0.29454940156199155
