,2023-10-31A,2022-10-31A,2021-10-31A,2020-10-31A
Basic EPS,-0.11996572480414813,-0.12147151635229265,-0.13201205718930453,-0.21483059233725485
Basic EPS,-0.11996572480414813,-0.12147151635229265,-0.13201205718930453,-0.21483059233725485
Net Income Common Stockholders,-0.21198732496967024,-0.2102241882987074,-0.21576547497887627,-0.27760119679621503
Net Income Common Stockholders,-0.21198732496967024,-0.2102241882987074,-0.21576547497887627,-0.27760119679621503
Total Liabilities Net Minority Interest,-0.24280051062935287,-0.24151552298386966,-0.24114541327368194,-0.24348251054475495
Net Income Including Noncontrolling Interests,-0.21722426689476895,-0.21547524056079426,-0.22097218046757186,-0.28231303260911267
Net Income Including Noncontrolling Interests,-0.21722426689476895,-0.21547524056079426,-0.22097218046757186,-0.28231303260911267
Net Income From Continuing Operation Net Minority Interest,-0.20959192938300997,-0.20783239415664306,-0.21336236201093897,-0.2750717760213774
Net Income From Continuing Operation Net Minority Interest,-0.20959192938300997,-0.20783239415664306,-0.21336236201093897,-0.2750717760213774
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.3508514634057613,-0.3671087575384235,-0.3645798451177871,-0.38011459284455323
Share Issued,-0.33363057317668376,-0.33184151501212966,-0.32748821077222673,-0.32500060834942507
Invested Capital,-0.3977942238887777,-0.4062128106518101,-0.4054807596289377,-0.4202216052258679
Net Tangible Assets,-0.13718861606352586,-0.16714574732936718,-0.17052360153815793,-0.17028476336177878
Normalized Income,-0.2398626096956752,-0.23805723554296754,-0.24373126859433447,-0.3070483192357248
Normalized Income,-0.2398626096956752,-0.23805723554296754,-0.24373126859433447,-0.3070483192357248
Basic Average Shares,-0.28031451912378513,-0.2768765323325383,-0.2734385455412915,-0.2700005587500447
Basic Average Shares,-0.28031451912378513,-0.2768765323325383,-0.2734385455412915,-0.2700005587500447
Operating Revenue,-0.38707326672974374,-0.38680725689271833,-0.3961885371451485,-0.4135678464974767
Operating Revenue,-0.38707326672974374,-0.38680725689271833,-0.3961885371451485,-0.4135678464974767
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.34130281469976476,-0.35776272932051284,-0.3552022981572854,-0.37093066101711136
Total Assets,-0.26457689694241293,-0.265449503481781,-0.2647959929566266,-0.26886815680701054
Net Income Continuous Operations,-0.21196836872238492,-0.210215791332459,-0.21572389170079767,-0.2771892844474862
Net Income Continuous Operations,-0.21196836872238492,-0.210215791332459,-0.21572389170079767,-0.2771892844474862
Pretax Income,-0.23471052648820648,-0.21744628159547594,-0.23251325895640443,-0.28671252474085546
Pretax Income,-0.23471052648820648,-0.21744628159547594,-0.23251325895640443,-0.28671252474085546
Diluted EPS,-0.1211430892076433,-0.12167140230731617,-0.1343509166994644,-0.2209942650458107
Diluted EPS,-0.1211430892076433,-0.12167140230731617,-0.1343509166994644,-0.2209942650458107
Common Stock Equity,-0.3440149104010423,-0.36118256623813405,-0.3585120419968087,-0.37491669090780744
Net Income From Continuing And Discontinued Operation,-0.21488197568917225,-0.213125929250049,-0.21864493234443633,-0.2802319896022585
Net Income From Continuing And Discontinued Operation,-0.21488197568917225,-0.213125929250049,-0.21864493234443633,-0.2802319896022585
Total Revenue,-0.38692036852200823,-0.38665437455653334,-0.39603509507228085,-0.4134133674833066
Total Revenue,-0.38692036852200823,-0.38665437455653334,-0.39603509507228085,-0.4134133674833066
Total Capitalization,-0.3910560109885384,-0.4003779589380214,-0.39900202566134496,-0.41553042414742086
Diluted Average Shares,-0.28141816203569375,-0.2787000425651175,-0.27394333349160904,-0.2705456841533887
Diluted Average Shares,-0.28141816203569375,-0.2787000425651175,-0.27394333349160904,-0.2705456841533887
Ordinary Shares Number,-0.2813129769994278,-0.279372919137649,-0.27465218826222576,-0.2719546277619839
Net Income,-0.21488478406695394,-0.2131287364224832,-0.2186477433051055,-0.28023484283618616
Net Income,-0.21488478406695394,-0.2131287364224832,-0.2186477433051055,-0.28023484283618616
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.2117751054622957,-0.21001203885295033,-0.21555310533946437,-0.2773863699957917
Diluted NI Availto Com Stockholders,-0.2117751054622957,-0.21001203885295033,-0.21555310533946437,-0.2773863699957917
Tangible Book Value,-0.12997011259173785,-0.16128131436980997,-0.16481184851107322,-0.1645622147839132
Tax Rate For Calcs,-1.5943002167529627,-0.34870568552828207,-1.1068936610563487,-0.6194871053597346
Tax Rate For Calcs,-1.5943002167529627,-0.34870568552828207,-1.1068936610563487,-0.6194871053597346
