,2022-12-31VRTX,2021-12-31VRTX,2020-12-31VRTX
Basic EPS,0.3192234767380127,0.12447443651131737,0.19223505617782216
Basic EPS,0.3192234767380127,0.12447443651131737,0.19223505617782216
Net Income Common Stockholders,0.050216285669228686,-0.07319068746480448,-0.02664387935138611
Net Income Common Stockholders,0.050216285669228686,-0.07319068746480448,-0.02664387935138611
Total Liabilities Net Minority Interest,-0.24562748344941593,-0.2493938695675847,-0.25050627796618263
Net Income Including Noncontrolling Interests,0.042880935057752485,-0.07953841527523299,-0.03336412005830123
Net Income Including Noncontrolling Interests,0.042880935057752485,-0.07953841527523299,-0.03336412005830123
Net Income From Continuing Operation Net Minority Interest,0.05207609499526461,-0.07107880274165722,-0.02462707276557159
Net Income From Continuing Operation Net Minority Interest,0.05207609499526461,-0.07107880274165722,-0.02462707276557159
Tax Effect Of Unusual Items,0.10094284073593411,-0.30678611756580465,0.13118162070619704
Tax Effect Of Unusual Items,0.10094284073593411,-0.30678611756580465,0.13118162070619704
Total Equity Gross Minority Interest,-0.10796447845376353,-0.2227500068604323,-0.26529594772761417
Share Issued,-0.35546650656850237,-0.3570415208482884,-0.35367644527827125
Invested Capital,-0.30907130366897007,-0.37250518855318643,-0.39601733640598746
Net Tangible Assets,0.2316832994582702,0.11146922133875006,0.06325120550174901
Normalized Income,0.03449365252647783,0.0250955968371428,-0.048609396141512155
Normalized Income,0.03449365252647783,0.0250955968371428,-0.048609396141512155
Basic Average Shares,-0.30637445900143595,-0.30527430322823695,-0.3038021572842251
Basic Average Shares,-0.30637445900143595,-0.30527430322823695,-0.3038021572842251
Operating Revenue,-0.349872677721194,-0.3739430211741685,-0.39824922668263885
Operating Revenue,-0.349872677721194,-0.3739430211741685,-0.39824922668263885
Common Stock,-0.24422024526386593,-0.24423086355519913,-0.24422024526386593
Stockholders Equity,-0.09538864213345079,-0.21160478375294398,-0.25468098994190924
Total Assets,-0.23666897550433139,-0.25449281401235724,-0.26084168765181953
Net Income Continuous Operations,0.0486649259794593,-0.07400297290542886,-0.027734929811383893
Net Income Continuous Operations,0.0486649259794593,-0.07400297290542886,-0.027734929811383893
Pretax Income,0.06803108667922717,-0.08912585773823511,-0.048685671974354174
Pretax Income,0.06803108667922717,-0.08912585773823511,-0.048685671974354174
Diluted EPS,0.3347911158100204,0.1335038248346671,0.201127901592791
Diluted EPS,0.3347911158100204,0.1335038248346671,0.201127901592791
Common Stock Equity,-0.08752695299936683,-0.20874014079581046,-0.25366853196058453
Net Income From Continuing And Discontinued Operation,0.04626721618615508,-0.07664349136362072,-0.030283865370767236
Net Income From Continuing And Discontinued Operation,0.04626721618615508,-0.07664349136362072,-0.030283865370767236
Total Revenue,-0.34972199909689733,-0.37377317345513633,-0.3980442361581678
Total Revenue,-0.34972199909689733,-0.37377317345513633,-0.3980442361581678
Total Capitalization,-0.2993380186818817,-0.3649132787316858,-0.38921914006417535
Diluted Average Shares,-0.3064928141517598,-0.30594919025764455,-0.3035735538403609
Diluted Average Shares,-0.3064928141517598,-0.30594919025764455,-0.3035735538403609
Ordinary Shares Number,-0.30499190208157245,-0.3066998503732783,-0.3030507564285219
Net Income,0.04626458706076481,-0.07664620485472587,-0.030286547040698563
Net Income,0.04626458706076481,-0.07664620485472587,-0.030286547040698563
Capital Stock,-0.26677864687706543,-0.26678861248481295,-0.26677864687706543
Diluted NI Availto Com Stockholders,0.05041808601321027,-0.07298398330804251,-0.026439024821324455
Diluted NI Availto Com Stockholders,0.05041808601321027,-0.07298398330804251,-0.026439024821324455
Tangible Book Value,0.2555749142225167,0.12992712695066988,0.07952964363316245
Tax Rate For Calcs,0.31470879305877586,-0.6736433893260251,-0.8361122412248962
Tax Rate For Calcs,0.31470879305877586,-0.6736433893260251,-0.8361122412248962
