,2023-06-30BR,2022-06-30BR,2021-06-30BR,2020-06-30BR
Basic EPS,-0.06274564597465515,-0.09988850416222077,-0.09436726848569073,-0.1295024046090636
Basic EPS,-0.06274564597465515,-0.09988850416222077,-0.09436726848569073,-0.1295024046090636
Net Income Common Stockholders,-0.28873414549000886,-0.30025750301808724,-0.29919962101550956,-0.30990437937492665
Net Income Common Stockholders,-0.28873414549000886,-0.30025750301808724,-0.29919962101550956,-0.30990437937492665
Total Liabilities Net Minority Interest,-0.23833174776904134,-0.23726300399917344,-0.2370093332989324,-0.24851766601773578
Net Income Including Noncontrolling Interests,-0.29335688460363857,-0.3047880210006874,-0.3037386052003026,-0.3143576936565775
Net Income Including Noncontrolling Interests,-0.29335688460363857,-0.3047880210006874,-0.3037386052003026,-0.3143576936565775
Net Income From Continuing Operation Net Minority Interest,-0.2861819841650083,-0.2976818036801918,-0.29662608254437167,-0.3073089749901706
Net Income From Continuing Operation Net Minority Interest,-0.2861819841650083,-0.2976818036801918,-0.29662608254437167,-0.3073089749901706
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.45936589113125686,-0.46904199175021544,-0.47235366277723917,-0.48628074475088645
Share Issued,-0.41921855011303816,-0.41921855011303816,-0.41926476479084895,-0.41928074017360817
Invested Capital,-0.44647894441444036,-0.44550731305680974,-0.4457635309148151,-0.48840051174015703
Net Tangible Assets,-0.27701813241167034,-0.27547250821310243,-0.29911407570068954,-0.21639759127269512
Normalized Income,-0.31844796745710746,-0.3302473770980183,-0.3291641526063937,-0.3401253528192617
Normalized Income,-0.31844796745710746,-0.3302473770980183,-0.3291641526063937,-0.3401253528192617
Basic Average Shares,-0.4015379333831477,-0.40222553074139705,-0.4029131280996464,-0.40360072545789577
Basic Average Shares,-0.4015379333831477,-0.40222553074139705,-0.4029131280996464,-0.40360072545789577
Operating Revenue,-0.40076567974089944,-0.40700449711860254,-0.4196913929458021,-0.42793237769684994
Operating Revenue,-0.40076567974089944,-0.40700449711860254,-0.4196913929458021,-0.42793237769684994
Common Stock,-0.2443264281771978,-0.2443264281771978,-0.2443264281771978,-0.2443264281771978
Stockholders Equity,-0.4511696966609212,-0.46096639399260353,-0.46431933956349664,-0.4784199997552709
Total Assets,-0.2741332606796128,-0.27437653280573965,-0.27456163116257526,-0.2867630126437815
Net Income Continuous Operations,-0.2882555588238757,-0.2997099039080346,-0.29865835747407904,-0.30929900591291515
Net Income Continuous Operations,-0.2882555588238757,-0.2997099039080346,-0.29865835747407904,-0.30929900591291515
Pretax Income,-0.2916406819193258,-0.30447900221228363,-0.30196783931879556,-0.3141783688883813
Pretax Income,-0.2916406819193258,-0.30447900221228363,-0.30196783931879556,-0.3141783688883813
Diluted EPS,-0.06250033514395772,-0.10212381761942096,-0.0968406866226925,-0.13382260359979153
Diluted EPS,-0.06250033514395772,-0.10212381761942096,-0.0968406866226925,-0.13382260359979153
Common Stock Equity,-0.4586058339181041,-0.46882376833669903,-0.47232088341462514,-0.48702784191506704
Net Income From Continuing And Discontinued Operation,-0.2913201685464366,-0.3027971863449921,-0.3017435584815181,-0.3124052690047664
Net Income From Continuing And Discontinued Operation,-0.2913201685464366,-0.3027971863449921,-0.3017435584815181,-0.3124052690047664
Total Revenue,-0.400611964571552,-0.4068504097084896,-0.4195365485685384,-0.4277770416189503
Total Revenue,-0.400611964571552,-0.4068504097084896,-0.4195365485685384,-0.4277770416189503
Total Capitalization,-0.46165342749821153,-0.4403797791241977,-0.44064464627995786,-0.4915988953484787
Diluted Average Shares,-0.40169494860869337,-0.4020347135425154,-0.40251038444986625,-0.4030540083439815
Diluted Average Shares,-0.40169494860869337,-0.4020347135425154,-0.40251038444986625,-0.4030540083439815
Ordinary Shares Number,-0.3986725322608451,-0.39921204436089347,-0.40000398877743343,-0.4006957026360265
Net Income,-0.29132302939127275,-0.302800055067635,-0.30174642648095257,-0.312408144322382
Net Income,-0.29132302939127275,-0.302800055067635,-0.30174642648095257,-0.312408144322382
Capital Stock,-0.2668783029545405,-0.2668783029545405,-0.2668783029545405,-0.2668783029545405
Diluted NI Availto Com Stockholders,-0.28851887630051537,-0.30004177592587983,-0.2989839359602726,-0.3096882689455838
Diluted NI Availto Com Stockholders,-0.28851887630051537,-0.30004177592587983,-0.2989839359602726,-0.3096882689455838
Tangible Book Value,-0.27611996125562754,-0.27450447442129194,-0.29921464721403246,-0.21275935510631008
Tax Rate For Calcs,0.20639622512619485,0.0845445862020416,0.3011697220672032,0.1387008701683321
Tax Rate For Calcs,0.20639622512619485,0.0845445862020416,0.3011697220672032,0.1387008701683321
