,2022-12-31NVR,2021-12-31NVR,2020-12-31NVR
Basic EPS,26.029610300274136,17.00339383017964,11.920845424675733
Basic EPS,26.029610300274136,17.00339383017964,11.920845424675733
Net Income Common Stockholders,-0.15083481861232953,-0.2124005286423437,-0.2546491873669557
Net Income Common Stockholders,-0.15083481861232953,-0.2124005286423437,-0.2546491873669557
Total Liabilities Net Minority Interest,-0.2542941886670472,-0.2514748134923832,-0.2521319869474502
Net Income Including Noncontrolling Interests,-0.1565611624576433,-0.21763416370918115,-0.2595447075152399
Net Income Including Noncontrolling Interests,-0.1565611624576433,-0.21763416370918115,-0.2595447075152399
Net Income From Continuing Operation Net Minority Interest,-0.1485643352727887,-0.2100042890314178,-0.25216664916888376
Net Income From Continuing Operation Net Minority Interest,-0.1485643352727887,-0.2100042890314178,-0.25216664916888376
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.42124407180127654,-0.4364317262983103,-0.43340016242797225
Share Issued,-0.5025188215163805,-0.5025188215163805,-0.5025188215163805
Invested Capital,-0.46697742121883157,-0.4653653117662806,-0.46367101294888896
Net Tangible Assets,-0.06564467444889252,-0.08285709354548731,-0.07942137225853384
Normalized Income,-0.1772451415384591,-0.2402857120238919,-0.2835464743369629
Normalized Income,-0.1772451415384591,-0.2402857120238919,-0.2835464743369629
Basic Average Shares,-0.4802086975298902,-0.4800058563092066,-0.47992953300244096
Basic Average Shares,-0.4802086975298902,-0.4800058563092066,-0.47992953300244096
Operating Revenue,-0.32136374732958056,-0.3493575053368214,-0.3744315393728711
Operating Revenue,-0.32136374732958056,-0.3493575053368214,-0.3744315393728711
Common Stock,-0.24447444715838237,-0.24447444715838237,-0.24447444715838237
Stockholders Equity,-0.41257275142275884,-0.42794969510543185,-0.4248803477671895
Total Assets,-0.2838498931512099,-0.28319448631227734,-0.283411066499845
Net Income Continuous Operations,-0.1511820997142927,-0.212379097752124,-0.25437473272182737
Net Income Continuous Operations,-0.1511820997142927,-0.212379097752124,-0.25437473272182737
Pretax Income,-0.13905677439447978,-0.2084057812835572,-0.2620159701059108
Pretax Income,-0.13905677439447978,-0.2084057812835572,-0.2620159701059108
Diluted EPS,25.640988590139212,16.588871940344717,11.814506458601231
Diluted EPS,25.640988590139212,16.588871940344717,11.814506458601231
Common Stock Equity,-0.41834930236984197,-0.4343874218287188,-0.4311860991024748
Net Income From Continuing And Discontinued Operation,-0.15397538642651035,-0.21529351771536961,-0.25737227878530616
Net Income From Continuing And Discontinued Operation,-0.15397538642651035,-0.21529351771536961,-0.25737227878530616
Total Revenue,-0.32121476969850593,-0.3492068574504277,-0.37427939543729705
Total Revenue,-0.32121476969850593,-0.3492068574504277,-0.37427939543729705
Total Capitalization,-0.4625746664244443,-0.46090813603973374,-0.45915664177518845
Diluted Average Shares,-0.48017453255277415,-0.4799366970990987,-0.47989728436677537
Diluted Average Shares,-0.48017453255277415,-0.4799366970990987,-0.47989728436677537
Ordinary Shares Number,-0.47614718940205464,-0.4759930858633573,-0.47582574539528527
Net Income,-0.1539781529981057,-0.2152963263756331,-0.2573751163283646
Net Income,-0.1539781529981057,-0.2152963263756331,-0.2573751163283646
Capital Stock,-0.26701722352654084,-0.26701722352654084,-0.26701722352654084
Diluted NI Availto Com Stockholders,-0.15062502911708975,-0.21218829271552872,-0.25443527260865045
Diluted NI Availto Com Stockholders,-0.15062502911708975,-0.21218829271552872,-0.25443527260865045
Tangible Book Value,-0.0551923652829124,-0.0731827904220762,-0.06959177359491818
Tax Rate For Calcs,0.57465895609697,0.4148979183964131,-0.3757838275114273
Tax Rate For Calcs,0.57465895609697,0.4148979183964131,-0.3757838275114273
