,2022-12-31BWA,2021-12-31BWA,2020-12-31BWA
Basic EPS,-0.13050626564116,-0.21884603646564033,-0.2138267313051585
Basic EPS,-0.13050626564116,-0.21884603646564033,-0.2138267313051585
Net Income Common Stockholders,-0.24926507172716977,-0.30052197351873167,-0.3051816918634191
Net Income Common Stockholders,-0.24926507172716977,-0.30052197351873167,-0.3051816918634191
Total Liabilities Net Minority Interest,-0.22380431786376284,-0.22452374460379065,-0.22455701289234686
Net Income Including Noncontrolling Interests,-0.2439593837140963,-0.29230746880325376,-0.3013024613779807
Net Income Including Noncontrolling Interests,-0.2439593837140963,-0.29230746880325376,-0.3013024613779807
Net Income From Continuing Operation Net Minority Interest,-0.2467935313119097,-0.29794573396414686,-0.3025959342052593
Net Income From Continuing Operation Net Minority Interest,-0.2467935313119097,-0.29794573396414686,-0.3025959342052593
Tax Effect Of Unusual Items,0.03092772188586863,-0.15965494819698112,0.19283592893385398
Tax Effect Of Unusual Items,0.03092772188586863,-0.15965494819698112,0.19283592893385398
Total Equity Gross Minority Interest,-0.30078501869721086,-0.30819111935764587,-0.3243882012898167
Share Issued,-0.33894618464732634,-0.33894618464732634,-0.33894618464732634
Invested Capital,-0.3500112571231079,-0.35295609873784445,-0.37059187337976995
Net Tangible Assets,-0.09058105193010989,-0.09733676034769143,-0.09300355343338408
Normalized Income,-0.2609339051637061,-0.2726507834147789,-0.34234983168599076
Normalized Income,-0.2609339051637061,-0.2726507834147789,-0.34234983168599076
Basic Average Shares,-0.3205389645813728,-0.31875121144992447,-0.3360099051419835
Basic Average Shares,-0.3205389645813728,-0.31875121144992447,-0.3360099051419835
Operating Revenue,-0.22803485216680613,-0.2451126837038388,-0.32798361493182804
Operating Revenue,-0.22803485216680613,-0.2451126837038388,-0.32798361493182804
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.2992690697701136,-0.3076819150207181,-0.32353220317403114
Total Assets,-0.24103918548439562,-0.24262196531121463,-0.24468448985881172
Net Income Continuous Operations,-0.23875776596839582,-0.28720401238992016,-0.29621726753811073
Net Income Continuous Operations,-0.23875776596839582,-0.28720401238992016,-0.29621726753811073
Pretax Income,-0.23690779402000856,-0.29225800946397495,-0.2739474466989577
Pretax Income,-0.23690779402000856,-0.29225800946397495,-0.2739474466989577
Diluted EPS,-0.13170935120110017,-0.22416414364384774,-0.21888101264711932
Diluted EPS,-0.13170935120110017,-0.22416414364384774,-0.21888101264711932
Common Stock Equity,-0.30017380410595074,-0.30894838375601985,-0.32548020048803405
Net Income From Continuing And Discontinued Operation,-0.25200981468777783,-0.30306059331086055,-0.30770157318568625
Net Income From Continuing And Discontinued Operation,-0.25200981468777783,-0.30306059331086055,-0.30770157318568625
Total Revenue,-0.22789144303009126,-0.24496825561357877,-0.3278342423245208
Total Revenue,-0.22789144303009126,-0.24496825561357877,-0.3278342423245208
Total Capitalization,-0.3427263546452779,-0.3458394036837584,-0.36377813377842766
Diluted Average Shares,-0.32164633020022243,-0.3198115995575835,-0.3371396111825071
Diluted Average Shares,-0.32164633020022243,-0.3198115995575835,-0.3371396111825071
Ordinary Shares Number,-0.32042829887476354,-0.3166148378479965,-0.3171854993535313
Net Income,-0.2520126485500494,-0.30306346221430563,-0.3077044452746926
Net Income,-0.2520126485500494,-0.30306346221430563,-0.3077044452746926
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.24905137091702662,-0.3003062359172816,-0.304965769099123
Diluted NI Availto Com Stockholders,-0.24905137091702662,-0.3003062359172816,-0.304965769099123
Tangible Book Value,-0.08125587383450948,-0.08831694211703599,-0.08378787306713262
Tax Rate For Calcs,0.382404148016639,-0.023767981730539414,1.0593576975952699
Tax Rate For Calcs,0.382404148016639,-0.023767981730539414,1.0593576975952699
