,2022-12-31WM,2021-12-31WM,2020-12-31WM
Basic EPS,-0.05973406287836607,-0.11494641964366627,-0.1540969998954246
Basic EPS,-0.05973406287836607,-0.11494641964366627,-0.1540969998954246
Net Income Common Stockholders,-0.08630086799674942,-0.13944684479291433,-0.17974711155777873
Net Income Common Stockholders,-0.08630086799674942,-0.13944684479291433,-0.17974711155777873
Total Liabilities Net Minority Interest,-0.16135558170770647,-0.17188499503574367,-0.17221767792130568
Net Income Including Noncontrolling Interests,-0.09229381446800553,-0.14513939584452645,-0.1852420710735175
Net Income Including Noncontrolling Interests,-0.09229381446800553,-0.14513939584452645,-0.1852420710735175
Net Income From Continuing Operation Net Minority Interest,-0.08416220396057095,-0.1371996229267726,-0.17741757095801558
Net Income From Continuing Operation Net Minority Interest,-0.08416220396057095,-0.1371996229267726,-0.17741757095801558
Tax Effect Of Unusual Items,0.09491586740852775,0.001405101374360871,0.07891939272155611
Tax Effect Of Unusual Items,0.09491586740852775,0.001405101374360871,0.07891939272155611
Total Equity Gross Minority Interest,-0.3201733472554228,-0.31228554899105704,-0.3024107481104771
Share Issued,-0.12332914943550347,-0.12332914943550347,-0.12332914943550347
Invested Capital,-0.17729712829496763,-0.1989924586091854,-0.18679715406906144
Net Tangible Assets,-0.29792670876669036,-0.2809009587648056,-0.2728487002468801
Normalized Income,-0.10492585059518525,-0.14442434212931007,-0.19696070418204384
Normalized Income,-0.10492585059518525,-0.14442434212931007,-0.19696070418204384
Basic Average Shares,-0.1986279529637609,-0.19340221304106575,-0.1916144599096174
Basic Average Shares,-0.1986279529637609,-0.19340221304106575,-0.1916144599096174
Operating Revenue,-0.15892549650759918,-0.19026145530919494,-0.2383737678325279
Operating Revenue,-0.15892549650759918,-0.19026145530919494,-0.2383737678325279
Common Stock,-0.24385922335853766,-0.24385922335853766,-0.24385922335853766
Stockholders Equity,-0.310699566034522,-0.30231720210728913,-0.29231932804135324
Total Assets,-0.18674492665177111,-0.19531989134599345,-0.19438306700935595
Net Income Continuous Operations,-0.08678426944196023,-0.13973714343757987,-0.1799212393065962
Net Income Continuous Operations,-0.08678426944196023,-0.13973714343757987,-0.1799212393065962
Pretax Income,-0.06949693445413663,-0.12903242138724982,-0.17674451636352334
Pretax Income,-0.06949693445413663,-0.12903242138724982,-0.17674451636352334
Diluted EPS,-0.05774551724690215,-0.11585995821091488,-0.1565400668857238
Diluted EPS,-0.05774551724690215,-0.11585995821091488,-0.1565400668857238
Common Stock Equity,-0.3120957873261533,-0.3033529996313381,-0.29292523830806755
Net Income From Continuing And Discontinued Operation,-0.0897009509573871,-0.14263320790810186,-0.18277141223091872
Net Income From Continuing And Discontinued Operation,-0.0897009509573871,-0.14263320790810186,-0.18277141223091872
Total Revenue,-0.15878621079971655,-0.19012029993265783,-0.2382297418215484
Total Revenue,-0.15878621079971655,-0.19012029993265783,-0.2382297418215484
Total Capitalization,-0.17023591924792572,-0.19772018644953793,-0.18241292874651235
Diluted Average Shares,-0.20055410778604998,-0.19518582183166186,-0.19369085612284492
Diluted Average Shares,-0.20055410778604998,-0.19518582183166186,-0.19369085612284492
Ordinary Shares Number,-0.20324351653498657,-0.19768820764809725,-0.19318475920145736
Net Income,-0.08970367341111181,-0.14263596669444384,-0.18277419856806054
Net Income,-0.08970367341111181,-0.14263596669444384,-0.18277419856806054
Capital Stock,-0.2664398162136501,-0.2664398162136501,-0.2664398162136501
Diluted NI Availto Com Stockholders,-0.08609364288181781,-0.13923750782065716,-0.179536173177123
Diluted NI Availto Com Stockholders,-0.08609364288181781,-0.13923750782065716,-0.179536173177123
Tangible Book Value,-0.2979736109704369,-0.2801782924200292,-0.2717620696186339
Tax Rate For Calcs,0.5448729999155105,0.4636385739660748,0.23888999550596932
Tax Rate For Calcs,0.5448729999155105,0.4636385739660748,0.23888999550596932
