,2023-01-31BBWI,2022-01-31BBWI,2021-01-31BBWI,2020-01-31BBWI
Basic EPS,-0.15861437453985827,-0.08282286661658253,-0.1791935256978338,-0.3985371612108901
Basic EPS,-0.15861437453985827,-0.08282286661658253,-0.1791935256978338,-0.3985371612108901
Net Income Common Stockholders,-0.26740019177135876,-0.2002750599411315,-0.2618589050911899,-0.41424428879583336
Net Income Common Stockholders,-0.26740019177135876,-0.2002750599411315,-0.2618589050911899,-0.41424428879583336
Total Liabilities Net Minority Interest,-0.23123562182000396,-0.23188435344684985,-0.2123849778168473,-0.21493000189139658
Net Income Including Noncontrolling Interests,-0.27219366596254485,-0.20560573481907995,-0.2666967260557673,-0.417862573492151
Net Income Including Noncontrolling Interests,-0.27219366596254485,-0.20560573481907995,-0.2666967260557673,-0.417862573492151
Net Income From Continuing Operation Net Minority Interest,-0.26564569445155484,-0.23032930883661962,-0.2567223372321228,-0.3076231777091647
Net Income From Continuing Operation Net Minority Interest,-0.26564569445155484,-0.23032930883661962,-0.2567223372321228,-0.3076231777091647
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.5932055703834106,-0.5724925734143892,-0.546721751604095,-0.5718302392089845
Share Issued,-0.3635584459028509,-0.3480731208209105,-0.3374386204634334,-0.3380605210691338
Invested Capital,-0.49635491160459533,-0.48504139579656763,-0.44564374074743596,-0.4731788417213857
Net Tangible Assets,-0.2876225474429044,-0.2641481666787827,-0.23494166968156158,-0.2718933475413635
Normalized Income,-0.2973766719890766,-0.26114023363830124,-0.2882208459289163,-0.34044774106081666
Normalized Income,-0.2973766719890766,-0.26114023363830124,-0.2882208459289163,-0.34044774106081666
Basic Average Shares,-0.32294555533524555,-0.29750445308001916,-0.29131607685577493,-0.29269127157227365
Basic Average Shares,-0.32294555533524555,-0.29750445308001916,-0.29131607685577493,-0.29269127157227365
Operating Revenue,-0.37418065662857786,-0.36847031212709863,-0.39414912839462024,-0.41239740321456475
Operating Revenue,-0.37418065662857786,-0.36847031212709863,-0.39414912839462024,-0.41239740321456475
Common Stock,-0.23154200541204303,-0.23026781045206085,-0.22931216423207418,-0.22941834714540604
Stockholders Equity,-0.5867079491657703,-0.5657367986860024,-0.5396447858797795,-0.565157653541939
Total Assets,-0.2844806365784735,-0.2824709972756866,-0.26152466281336817,-0.2669869530987627
Net Income Continuous Operations,-0.2678004770014543,-0.232623745103655,-0.25891240595254417,-0.3096119661611162
Net Income Continuous Operations,-0.2678004770014543,-0.232623745103655,-0.25891240595254417,-0.3096119661611162
Pretax Income,-0.2654722719334355,-0.22592145636099822,-0.25741562431682785,-0.31119636295236425
Pretax Income,-0.2654722719334355,-0.22592145636099822,-0.25741562431682785,-0.31119636295236425
Diluted EPS,-0.1612948847827794,-0.08468948533021714,-0.18401234806871167,-0.4127719202270528
Diluted EPS,-0.1612948847827794,-0.08468948533021714,-0.18401234806871167,-0.4127719202270528
Common Stock Equity,-0.5999719421499782,-0.5780990769353133,-0.5508851632379975,-0.5774950297854896
Net Income From Continuing And Discontinued Operation,-0.2700720066330454,-0.20321681005785358,-0.2645530035386581,-0.41632558863430946
Net Income From Continuing And Discontinued Operation,-0.2700720066330454,-0.20321681005785358,-0.2645530035386581,-0.41632558863430946
Total Revenue,-0.3740285276619922,-0.368318523869798,-0.3939958080036401,-0.4122429940352171
Total Revenue,-0.3740285276619922,-0.368318523869798,-0.3939958080036401,-0.4122429940352171
Total Capitalization,-0.49294387012643,-0.4812484372746801,-0.440520812285057,-0.470034581069767
Diluted Average Shares,-0.3242285436972699,-0.29704734899150725,-0.2916111100503548,-0.29364969965328697
Diluted Average Shares,-0.3242285436972699,-0.29704734899150725,-0.2916111100503548,-0.29364969965328697
Ordinary Shares Number,-0.3238826673916396,-0.30709035327763406,-0.2908375512636769,-0.2915119413887374
Net Income,-0.2700748528931769,-0.20321961042868406,-0.2645558460105546,-0.4163285352826678
Net Income,-0.2700748528931769,-0.20321961042868406,-0.2645558460105546,-0.4163285352826678
Capital Stock,-0.25487971122653846,-0.25368383829683727,-0.2527869335995614,-0.2528865896770365
Diluted NI Availto Com Stockholders,-0.26718577032743623,-0.2000633058430728,-0.2616447038409222,-0.41402403222005874
Diluted NI Availto Com Stockholders,-0.26718577032743623,-0.2000633058430728,-0.2616447038409222,-0.41402403222005874
Tangible Book Value,-0.2872036987415328,-0.2626682695578043,-0.23214163092223514,-0.2707635347099938
Tax Rate For Calcs,0.6531855678480911,0.7208809228059543,0.5042557869407926,0.6995027297102612
Tax Rate For Calcs,0.6531855678480911,0.7208809228059543,0.5042557869407926,0.6995027297102612
