,2022-12-31TER,2021-12-31TER,2020-12-31TER
Basic EPS,-0.10490780932270263,-0.023093135206848633,-0.09486919900173894
Basic EPS,-0.10490780932270263,-0.023093135206848633,-0.09486919900173894
Net Income Common Stockholders,-0.2780418550256221,-0.24037521069384163,-0.26939669217455686
Net Income Common Stockholders,-0.2780418550256221,-0.24037521069384163,-0.26939669217455686
Total Liabilities Net Minority Interest,-0.25888590280479035,-0.25807286325930145,-0.25725749077507754
Net Income Including Noncontrolling Interests,-0.28275016426215394,-0.24538496510673813,-0.27417418842486635
Net Income Including Noncontrolling Interests,-0.28275016426215394,-0.24538496510673813,-0.27417418842486635
Net Income From Continuing Operation Net Minority Interest,-0.2755115341468815,-0.2379218290194803,-0.26688403020765433
Net Income From Continuing Operation Net Minority Interest,-0.2755115341468815,-0.2379218290194803,-0.26688403020765433
Tax Effect Of Unusual Items,0.13002228492355336,0.133558146721878,0.14122189547109815
Tax Effect Of Unusual Items,0.13002228492355336,0.133558146721878,0.14122189547109815
Total Equity Gross Minority Interest,-0.4530227164460955,-0.44963090298021774,-0.4602629023880766
Share Issued,-0.4184355772504613,-0.4143981985182542,-0.4119901993729822
Invested Capital,-0.4989269229608877,-0.49608235569876136,-0.49693862247019654
Net Tangible Assets,-0.11724149984738987,-0.1149324123581563,-0.12879492131259668
Normalized Income,-0.3059412122231658,-0.26816414494364776,-0.30026282048277303
Normalized Income,-0.3059412122231658,-0.26816414494364776,-0.30026282048277303
Basic Average Shares,-0.37352934259221815,-0.3690420822322828,-0.36824446929671356
Basic Average Shares,-0.37352934259221815,-0.3690420822322828,-0.36824446929671356
Operating Revenue,-0.45229808073886835,-0.4425827630670907,-0.4528935171580661
Operating Revenue,-0.45229808073886835,-0.4425827630670907,-0.4528935171580661
Common Stock,-0.24242893951595762,-0.24234282517324549,-0.2422914326431929
Stockholders Equity,-0.4447474647144325,-0.4413133778607238,-0.45207788769078266
Total Assets,-0.29200827699454496,-0.2908441480981958,-0.29143751676744856
Net Income Continuous Operations,-0.2776273036108684,-0.24018624172528474,-0.26903391593166437
Net Income Continuous Operations,-0.2776273036108684,-0.24018624172528474,-0.26903391593166437
Pretax Income,-0.28688150507722976,-0.25333969304533505,-0.2805376798175555
Pretax Income,-0.28688150507722976,-0.25333969304533505,-0.2805376798175555
Diluted EPS,-0.1195581499086248,-0.050349133851482306,-0.11638827131058771
Diluted EPS,-0.1195581499086248,-0.050349133851482306,-0.11638827131058771
Common Stock Equity,-0.45190745969784446,-0.44832571443503255,-0.45955307522489325
Net Income From Continuing And Discontinued Operation,-0.28067087578015076,-0.24315570310982998,-0.2720604783615755
Net Income From Continuing And Discontinued Operation,-0.28067087578015076,-0.24315570310982998,-0.2720604783615755
Total Revenue,-0.4521412908745532,-0.4424265528698933,-0.45273669176687215
Total Revenue,-0.4521412908745532,-0.4424265528698933,-0.45273669176687215
Total Capitalization,-0.4964646425931216,-0.4929920277911137,-0.49412075745546924
Diluted Average Shares,-0.36721968030363933,-0.35778033091219563,-0.3581764968250321
Diluted Average Shares,-0.36721968030363933,-0.35778033091219563,-0.3581764968250321
Ordinary Shares Number,-0.3732756745411931,-0.3688975338493005,-0.3662862952850664
Net Income,-0.2806737293153292,-0.24315853089465336,-0.2720633259865908
Net Income,-0.2806737293153292,-0.24315853089465336,-0.2720633259865908
Capital Stock,-0.2650974488500605,-0.2650166277712282,-0.26496839422973023
Diluted NI Availto Com Stockholders,-0.27782701071479876,-0.24016186313937796,-0.2691821913958614
Diluted NI Availto Com Stockholders,-0.27782701071479876,-0.24016186313937796,-0.2691821913958614
Tangible Book Value,-0.10912138127659173,-0.10670792240240858,-0.12119702054638684
Tax Rate For Calcs,-0.5788698923850167,-0.8902685251911867,-0.8361122412248962
Tax Rate For Calcs,-0.5788698923850167,-0.8902685251911867,-0.8361122412248962
