,2022-12-31LYV,2021-12-31LYV,2020-12-31LYV
Basic EPS,-0.29865298851730154,-0.48687693203537047,-0.7393479816076068
Basic EPS,-0.29865298851730154,-0.48687693203537047,-0.7393479816076068
Net Income Common Stockholders,-0.34935884429106345,-0.45261455059766165,-0.5851873156540287
Net Income Common Stockholders,-0.34935884429106345,-0.45261455059766165,-0.5851873156540287
Total Liabilities Net Minority Interest,-0.19797449426291597,-0.20487112276109004,-0.21979296901988266
Net Income Including Noncontrolling Interests,-0.321017361284091,-0.4481939383150352,-0.6004846595450695
Net Income Including Noncontrolling Interests,-0.321017361284091,-0.4481939383150352,-0.6004846595450695
Net Income From Continuing Operation Net Minority Interest,-0.34668284883710787,-0.4497276414286198,-0.5820296087208974
Net Income From Continuing Operation Net Minority Interest,-0.34668284883710787,-0.4497276414286198,-0.5820296087208974
Tax Effect Of Unusual Items,0.1533623404231573,0.13693094922527654,0.13586704162855998
Tax Effect Of Unusual Items,0.1533623404231573,0.13693094922527654,0.13586704162855998
Total Equity Gross Minority Interest,-0.5038337151198216,-0.5158790454037134,-0.5226459935559329
Share Issued,-0.37122545610083946,-0.3753231865554261,-0.3794647597589135
Invested Capital,-0.448440009279576,-0.4548927562083008,-0.46672782509507854
Net Tangible Assets,-0.33256790022793997,-0.34118664878049726,-0.3158270500507361
Normalized Income,-0.38392104761001766,-0.49714388302073,-0.6217198347215092
Normalized Income,-0.38392104761001766,-0.49714388302073,-0.6217198347215092
Basic Average Shares,-0.3278896842590908,-0.3331282795019958,-0.3365112021215993
Basic Average Shares,-0.3278896842590908,-0.3331282795019958,-0.3365112021215993
Operating Revenue,-0.21242443729474056,-0.39708504349789164,-0.47524350405904053
Operating Revenue,-0.21242443729474056,-0.39708504349789164,-0.47524350405904053
Common Stock,-0.24425369288156545,-0.24426059477093204,-0.24426855848943194
Stockholders Equity,-0.53067013935811,-0.537226123351554,-0.5338463846974171
Total Assets,-0.2430532029299493,-0.2508293095586914,-0.26523304039725537
Net Income Continuous Operations,-0.3159721946932567,-0.4434069788946442,-0.5960068966538791
Net Income Continuous Operations,-0.3159721946932567,-0.4434069788946442,-0.5960068966538791
Pretax Income,-0.32192666662802605,-0.43877044827130296,-0.5690786668223141
Pretax Income,-0.32192666662802605,-0.43877044827130296,-0.5690786668223141
Diluted EPS,-0.30869423959150266,-0.5057550257694732,-0.7714965149049133
Diluted EPS,-0.30869423959150266,-0.5057550257694732,-0.7714965149049133
Common Stock Equity,-0.5415246260606442,-0.5483625033805579,-0.5448374431739635
Net Income From Continuing And Discontinued Operation,-0.35170107276435814,-0.45454154926572893,-0.5865811896611755
Net Income From Continuing And Discontinued Operation,-0.35170107276435814,-0.45454154926572893,-0.5865811896611755
Total Revenue,-0.2122819595577494,-0.39693154793472435,-0.4750853451496926
Total Revenue,-0.2122819595577494,-0.39693154793472435,-0.4750853451496926
Total Capitalization,-0.4540755093752479,-0.46014793290437,-0.4632353379864064
Diluted Average Shares,-0.32520919635328255,-0.3349713251499767,-0.3383145563773363
Diluted Average Shares,-0.32520919635328255,-0.3349713251499767,-0.3383145563773363
Ordinary Shares Number,-0.32235610239357987,-0.3267996886007688,-0.3312908179629942
Net Income,-0.3517039750545512,-0.4545445221454621,-0.5865842531727085
Net Income,-0.3517039750545512,-0.4545445221454621,-0.5865842531727085
Capital Stock,-0.26681003854147006,-0.266816516186506,-0.2668239903923166
Diluted NI Availto Com Stockholders,-0.34914116606288087,-0.4523927693059376,-0.5849602663292016
Diluted NI Availto Com Stockholders,-0.34914116606288087,-0.4523927693059376,-0.5849602663292016
Tangible Book Value,-0.3341805937436105,-0.3431889120838683,-0.31668305256774365
Tax Rate For Calcs,-0.017905563991188624,-2.5412363809745426,-2.3856318380683987
Tax Rate For Calcs,-0.017905563991188624,-2.5412363809745426,-2.3856318380683987
