,2022-12-31IRM,2021-12-31IRM,2020-12-31IRM
Basic EPS,-0.2354097434952304,-0.25347924207296496,-0.2720506711667478
Basic EPS,-0.2354097434952304,-0.25347924207296496,-0.2720506711667478
Net Income Common Stockholders,-0.2980055996742668,-0.31145102805036196,-0.32499267331335824
Net Income Common Stockholders,-0.2980055996742668,-0.31145102805036196,-0.32499267331335824
Total Liabilities Net Minority Interest,-0.19877940802892502,-0.20672536409205838,-0.20913908239021242
Net Income Including Noncontrolling Interests,-0.30190849900270295,-0.3155788888290491,-0.32927488939814276
Net Income Including Noncontrolling Interests,-0.30190849900270295,-0.3155788888290491,-0.32927488939814276
Net Income From Continuing Operation Net Minority Interest,-0.29543450015285855,-0.30885246442695713,-0.32236644905198036
Net Income From Continuing Operation Net Minority Interest,-0.29543450015285855,-0.30885246442695713,-0.32236644905198036
Tax Effect Of Unusual Items,0.15592203728366894,0.11127553323748457,0.1683886013169948
Tax Effect Of Unusual Items,0.15592203728366894,0.11127553323748457,0.1683886013169948
Total Equity Gross Minority Interest,-0.5076502654479653,-0.5010186442163501,-0.4925991421155456
Share Issued,-0.3344346564553211,-0.33510210195188,-0.33602500991354667
Invested Capital,-0.35410969468722864,-0.3720411181172551,-0.37683022918393266
Net Tangible Assets,-0.37872945112683765,-0.3486839838554755,-0.3472930926754618
Normalized Income,-0.33535591280353266,-0.3387940028623008,-0.3729319492209961
Normalized Income,-0.33535591280353266,-0.3387940028623008,-0.3729319492209961
Basic Average Shares,-0.28250657950188407,-0.28343827392231197,-0.2843142729567217
Basic Average Shares,-0.28250657950188407,-0.28343827392231197,-0.2843142729567217
Operating Revenue,-0.41774288862357994,-0.4285968525357503,-0.43470197336936445
Operating Revenue,-0.41774288862357994,-0.4285968525357503,-0.43470197336936445
Common Stock,-0.24418754092655973,-0.24418860275569304,-0.24419019549939303
Stockholders Equity,-0.5000596666192282,-0.4933756001049761,-0.4848171455726246
Total Assets,-0.2442632437738287,-0.25064907286686083,-0.25178521413615296
Net Income Continuous Operations,-0.2968245356037201,-0.3105226804833813,-0.32424648810339496
Net Income Continuous Operations,-0.2968245356037201,-0.3105226804833813,-0.32424648810339496
Pretax Income,-0.3087230767658529,-0.30899752594375374,-0.3358156993283341
Pretax Income,-0.3087230767658529,-0.30899752594375374,-0.3358156993283341
Diluted EPS,-0.24212678903272444,-0.2606177475212739,-0.2796370191094963
Diluted EPS,-0.24212678903272444,-0.2606177475212739,-0.2796370191094963
Common Stock Equity,-0.50959796829236,-0.5026265011764696,-0.49370005135615275
Net Income From Continuing And Discontinued Operation,-0.3005543387465662,-0.31394569802754296,-0.3274328872713405
Net Income From Continuing And Discontinued Operation,-0.3005543387465662,-0.31394569802754296,-0.3274328872713405
Total Revenue,-0.4175881605043659,-0.4284414768117755,-0.4345462333816654
Total Revenue,-0.4175881605043659,-0.4284414768117755,-0.4345462333816654
Total Capitalization,-0.3474025154835607,-0.3697554459197996,-0.37271681551369246
Diluted Average Shares,-0.2838344499682495,-0.2848327384629171,-0.2864173341612763
Diluted Average Shares,-0.2838344499682495,-0.2848327384629171,-0.2864173341612763
Ordinary Shares Number,-0.2821849263396741,-0.2829087054255434,-0.28390950846381463
Net Income,-0.30055720592972207,-0.3139485744025067,-0.32743577290388953
Net Income,-0.30055720592972207,-0.3139485744025067,-0.32743577290388953
Capital Stock,-0.2667479528052031,-0.26674894936597787,-0.26675044420714
Diluted NI Availto Com Stockholders,-0.29778996206575803,-0.31123485616196744,-0.32477596332171543
Diluted NI Availto Com Stockholders,-0.29778996206575803,-0.31123485616196744,-0.32477596332171543
Tangible Book Value,-0.382428659346348,-0.35102512875118774,-0.3495713689100908
Tax Rate For Calcs,-1.1068936610563487,1.1947484075109962,-1.5266048617950996
Tax Rate For Calcs,-1.1068936610563487,1.1947484075109962,-1.5266048617950996
