,2022-12-31OMC,2021-12-31OMC,2020-12-31OMC
Basic EPS,-0.01054487230564404,-0.0020120535328249194,-0.11193483654737718
Basic EPS,-0.01054487230564404,-0.0020120535328249194,-0.11193483654737718
Net Income Common Stockholders,-0.20450658795144228,-0.1923913202552549,-0.24835831572496034
Net Income Common Stockholders,-0.20450658795144228,-0.1923913202552549,-0.24835831572496034
Total Liabilities Net Minority Interest,-0.168257919875904,-0.16218812062882537,-0.16315498026498992
Net Income Including Noncontrolling Interests,-0.1967606587872651,-0.18379287782536705,-0.24460902206671548
Net Income Including Noncontrolling Interests,-0.1967606587872651,-0.18379287782536705,-0.24460902206671548
Net Income From Continuing Operation Net Minority Interest,-0.20212647277971046,-0.19003595215281807,-0.24588862748120674
Net Income From Continuing Operation Net Minority Interest,-0.20212647277971046,-0.19003595215281807,-0.24588862748120674
Tax Effect Of Unusual Items,0.13320231376727296,0.1425969216319081,0.14273818759573315
Tax Effect Of Unusual Items,0.13320231376727296,0.1425969216319081,0.14273818759573315
Total Equity Gross Minority Interest,-0.4016013165898884,-0.40281459242978895,-0.41913510937296705
Share Issued,-0.33047333367958875,-0.33047333367958875,-0.33047333367958875
Invested Capital,-0.3933752977143481,-0.3914020874572421,-0.3925434215519931
Net Tangible Assets,-0.41716155036305597,-0.41616525397016013,-0.4181237270164691
Normalized Income,-0.2318781490723806,-0.2207305955603642,-0.27794157422011495
Normalized Income,-0.2318781490723806,-0.2207305955603642,-0.27794157422011495
Basic Average Shares,-0.3410981255930287,-0.3351160285762593,-0.3342221520105351
Basic Average Shares,-0.3410981255930287,-0.3351160285762593,-0.3342221520105351
Operating Revenue,-0.25484687034005604,-0.25484155014331555,-0.2746734701930182
Operating Revenue,-0.25484687034005604,-0.25484155014331555,-0.2746734701930182
Common Stock,-0.23976056290392822,-0.23976056290392822,-0.23976056290392822
Stockholders Equity,-0.42033783807039027,-0.4197861261173615,-0.4254495559998337
Total Assets,-0.20323190172134528,-0.1978704711528388,-0.2007965361978364
Net Income Continuous Operations,-0.19146321326025137,-0.17846910375494326,-0.239408723284654
Net Income Continuous Operations,-0.19146321326025137,-0.17846910375494326,-0.239408723284654
Pretax Income,-0.17126181071274102,-0.16672079114701677,-0.227354911846031
Pretax Income,-0.17126181071274102,-0.16672079114701677,-0.227354911846031
Diluted EPS,-0.006499146578636316,0.0024821761158020155,-0.11163345341353213
Diluted EPS,-0.006499146578636316,0.0024821761158020155,-0.11163345341353213
Common Stock Equity,-0.426448271178811,-0.4258728367887159,-0.4317797820748856
Net Income From Continuing And Discontinued Operation,-0.20743132151174937,-0.19536477383720252,-0.25110670509051447
Net Income From Continuing And Discontinued Operation,-0.20743132151174937,-0.19536477383720252,-0.25110670509051447
Total Revenue,-0.25470186145685636,-0.25469654157754684,-0.274527278350251
Total Revenue,-0.25470186145685636,-0.25469654157754684,-0.274527278350251
Total Capitalization,-0.3867785784146705,-0.3846132034205009,-0.38569503095928775
Diluted Average Shares,-0.34189632025601563,-0.33605236339427663,-0.3356446454736902
Diluted Average Shares,-0.34189632025601563,-0.33605236339427663,-0.3356446454736902
Ordinary Shares Number,-0.34161912768072983,-0.33730303088034286,-0.3333241291424861
Net Income,-0.20743412477541381,-0.1953675688184078,-0.251109538332893
Net Income,-0.20743412477541381,-0.1953675688184078,-0.251109538332893
Capital Stock,-0.26259309162311123,-0.26259309162311123,-0.26259309162311123
Diluted NI Availto Com Stockholders,-0.20429466570550173,-0.19217987943271417,-0.24814465094650615
Diluted NI Availto Com Stockholders,-0.20429466570550173,-0.19217987943271417,-0.24814465094650615
Tangible Book Value,-0.4225978999609276,-0.42155657069906005,-0.4236035672617723
Tax Rate For Calcs,1.2082874785025688,0.7344199937975269,1.0728967685868425
Tax Rate For Calcs,1.2082874785025688,0.7344199937975269,1.0728967685868425
