,2023-10-31HRL,2022-10-31HRL,2021-10-31HRL,2020-10-31HRL
Basic EPS,,-0.23942518762361586,-0.24745607588038682,-0.24695414536433863
Basic EPS,,-0.23942518762361586,-0.24745607588038682,-0.24695414536433863
Net Income Common Stockholders,-0.268209723379998,-0.24221416224165584,-0.2536931894762929,-0.2537885247948585
Net Income Common Stockholders,-0.268209723379998,-0.24221416224165584,-0.2536931894762929,-0.2537885247948585
Total Liabilities Net Minority Interest,-0.23950783583047192,-0.2392711652256831,-0.23947381484688712,-0.24878898554505588
Net Income Including Noncontrolling Interests,-0.27307817356572633,-0.24717934119494372,-0.2585587563846879,-0.25865695172029535
Net Income Including Noncontrolling Interests,-0.27307817356572633,-0.24717934119494372,-0.2585587563846879,-0.25865695172029535
Net Income From Continuing Operation Net Minority Interest,-0.2656994859570466,-0.23975702426058096,-0.2512126040329301,-0.2513077446162415
Net Income From Continuing Operation Net Minority Interest,-0.2656994859570466,-0.23975702426058096,-0.2512126040329301,-0.2513077446162415
Tax Effect Of Unusual Items,0.11858706072254661,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.11858706072254661,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.2938309611319646,-0.29981500014729534,-0.31673038352522764,-0.3332295801733638
Share Issued,-0.17537168332025624,-0.1755970408208433,-0.17797559172863417,-0.1795460841691161
Invested Capital,-0.3567971538173326,-0.36028278148769294,-0.3692311569034827,-0.41194984460549117
Net Tangible Assets,-0.149497277962183,-0.15778233546259918,-0.17773961936110103,-0.09192755332905654
Normalized Income,-0.2945696367961259,-0.2708135573038056,-0.28256757468030547,-0.2826651938398483
Normalized Income,-0.2945696367961259,-0.2708135573038056,-0.28256757468030547,-0.2826651938398483
Basic Average Shares,,-0.10778396518657166,-0.11039958553735223,-0.11253595052943301
Basic Average Shares,,-0.10778396518657166,-0.11039958553735223,-0.11253595052943301
Operating Revenue,-0.2934908287243058,-0.2873052842499643,-0.3063270624740114,-0.33785325377705866
Operating Revenue,-0.2934908287243058,-0.2873052842499643,-0.3063270624740114,-0.33785325377705866
Common Stock,-0.2436461142514806,-0.24364664516604728,-0.24365259140919387,-0.24365652017698713
Stockholders Equity,-0.2836966188793341,-0.2897807215056599,-0.3069234482512587,-0.3236069433789387
Total Assets,-0.2544313462478178,-0.25496719843582205,-0.2572737128378684,-0.2678056091333893
Net Income Continuous Operations,-0.2679356758286772,-0.24198426094324949,-0.2533867798103062,-0.25348517451234065
Net Income Continuous Operations,-0.2679356758286772,-0.24198426094324949,-0.2533867798103062,-0.25348517451234065
Pretax Income,-0.26877110292118095,-0.24108228843507082,-0.25697930976408434,-0.2581745186695974
Pretax Income,-0.26877110292118095,-0.24108228843507082,-0.25697930976408434,-0.2581745186695974
Diluted EPS,,-0.24635329383010715,-0.25480630342487265,-0.25480630342487265
Diluted EPS,,-0.24635329383010715,-0.25480630342487265,-0.25480630342487265
Common Stock Equity,-0.28393177104607553,-0.290277477106704,-0.3081573045334377,-0.32555815436231655
Net Income From Continuing And Discontinued Operation,-0.27087828281238,-0.2449872595458355,-0.25642012531963587,-0.25651507725923706
Net Income From Continuing And Discontinued Operation,-0.27087828281238,-0.2449872595458355,-0.25642012531963587,-0.25651507725923706
Total Revenue,-0.2933435141386339,-0.2871583387265154,-0.30617898201090027,-0.33770329229501816
Total Revenue,-0.2933435141386339,-0.2871583387265154,-0.30617898201090027,-0.33770329229501816
Total Capitalization,-0.36502328459715605,-0.352429556506562,-0.36167931955651733,-0.41013876080610034
Diluted Average Shares,,-0.10911249161665866,-0.11046203793379977,-0.11113341344303211
Diluted Average Shares,,-0.10911249161665866,-0.11046203793379977,-0.11113341344303211
Ordinary Shares Number,-0.10969675481870882,-0.10994113289393685,-0.1125204377369691,-0.11422348253807567
Net Income,-0.2708811296259382,-0.24499008858783633,-0.25642296220913763,-0.2565179142139136
Net Income,-0.2708811296259382,-0.24499008858783633,-0.25642296220913763,-0.2565179142139136
Capital Stock,-0.2662398064661576,-0.2662403047465449,-0.26624588548688355,-0.2662495727617501
Diluted NI Availto Com Stockholders,-0.26799526976778426,-0.2420007416129252,-0.25347931270639756,-0.25357464423663145
Diluted NI Availto Com Stockholders,-0.26799526976778426,-0.2420007416129252,-0.25347931270639756,-0.25357464423663145
Tangible Book Value,-0.142835129368774,-0.15149467373022824,-0.17235403230975915,-0.08266323746431567
Tax Rate For Calcs,0.35532600603349374,0.34178693504192115,0.016849231244178465,-0.08945955418164968
Tax Rate For Calcs,0.35532600603349374,0.34178693504192115,0.016849231244178465,-0.08945955418164968
