,2023-08-31AZO,2022-08-31AZO,2021-08-31AZO,2020-08-31AZO
Basic EPS,6.524590446641708,5.733046022833722,4.567061434053792,3.363432056570247
Basic EPS,6.524590446641708,5.733046022833722,4.567061434053792,3.363432056570247
Net Income Common Stockholders,-0.049725101510960344,-0.06217057951795231,-0.09482513004752008,-0.14990325275839295
Net Income Common Stockholders,-0.049725101510960344,-0.06217057951795231,-0.09482513004752008,-0.14990325275839295
Total Liabilities Net Minority Interest,-0.17868514965564083,-0.18501367638282104,-0.19541093559310482,-0.19961890002235216
Net Income Including Noncontrolling Interests,-0.056260623796363866,-0.06860650096608148,-0.10099971797581697,-0.15563705190104254
Net Income Including Noncontrolling Interests,-0.056260623796363866,-0.06860650096608148,-0.10099971797581697,-0.15563705190104254
Net Income From Continuing Operation Net Minority Interest,-0.04766114841394041,-0.06008120485251383,-0.09266905405570441,-0.14763467226782898
Net Income From Continuing Operation Net Minority Interest,-0.04766114841394041,-0.06008120485251383,-0.09266905405570441,-0.14763467226782898
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.6577799641637483,-0.633364488880414,-0.5809384183529086,-0.5532540829170999
Share Issued,-0.5035258838242094,-0.5024089503363715,-0.500994126458403,-0.5005650150404697
Invested Capital,-0.4853299736372886,-0.49756647268497234,-0.48277396757835994,-0.463422697914426
Net Tangible Assets,-0.3440408673474465,-0.3163704069019986,-0.256955077320772,-0.2255799638017677
Normalized Income,-0.07371325269020888,-0.08645687301298582,-0.11989369187409803,-0.17629125920934635
Normalized Income,-0.07371325269020888,-0.08645687301298582,-0.11989369187409803,-0.17629125920934635
Basic Average Shares,-0.4697407153479019,-0.4686426223667777,-0.46717803999370655,-0.46628210063590764
Basic Average Shares,-0.4697407153479019,-0.4686426223667777,-0.46717803999370655,-0.46628210063590764
Operating Revenue,-0.19866365975546935,-0.22003274424940714,-0.24880871304941582,-0.2842344489573536
Operating Revenue,-0.19866365975546935,-0.22003274424940714,-0.24880871304941582,-0.2842344489573536
Common Stock,-0.24447625226790903,-0.24447434097546905,-0.24447189876846243,-0.2444711554880691
Stockholders Equity,-0.6520566754545373,-0.6273369013451874,-0.5742574258960494,-0.5462280506576411
Total Assets,-0.24484738396786204,-0.24753257561033673,-0.250399122089818,-0.2507478889467887
Net Income Continuous Operations,-0.05067792042290445,-0.06304886348199458,-0.0955078485844159,-0.1502561129319154
Net Income Continuous Operations,-0.05067792042290445,-0.06304886348199458,-0.0955078485844159,-0.1502561129319154
Pretax Income,-0.04337937551683941,-0.05264169521768296,-0.0871598264562084,-0.1428946683500274
Pretax Income,-0.04337937551683941,-0.05264169521768296,-0.0871598264562084,-0.1428946683500274
Diluted EPS,6.65024590929919,5.8487949370954855,4.68650611781523,3.4576498479761972
Diluted EPS,6.65024590929919,5.8487949370954855,4.68650611781523,3.4576498479761972
Common Stock Equity,-0.6681305242670261,-0.6423478526032845,-0.58698607293916,-0.5577514943578633
Net Income From Continuing And Discontinued Operation,-0.05327226930532955,-0.06566769939154646,-0.09819093376299393,-0.15304756674721073
Net Income From Continuing And Discontinued Operation,-0.05327226930532955,-0.06566769939154646,-0.09819093376299393,-0.15304756674721073
Total Revenue,-0.19852200305907852,-0.21988981256067583,-0.24866406443454198,-0.2840876866561423
Total Revenue,-0.19852200305907852,-0.21988981256067583,-0.24866406443454198,-0.2840876866561423
Total Capitalization,-0.4815467568082295,-0.4941963305906907,-0.4789044661411979,-0.4588999442232585
Diluted Average Shares,-0.46957794379673257,-0.46847031011247275,-0.4670664014059201,-0.4661870897571887
Diluted Average Shares,-0.46957794379673257,-0.46847031011247275,-0.4670664014059201,-0.4661870897571887
Ordinary Shares Number,-0.4662754215672812,-0.46541962049857943,-0.46406274756695776,-0.46255346246707246
Net Income,-0.05327496675446491,-0.06567040534888538,-0.09819366204422937,-0.15305033268195212
Net Income,-0.05327496675446491,-0.06567040534888538,-0.09819366204422937,-0.15305033268195212
Capital Stock,-0.2670189176798579,-0.26701712387046334,-0.2670148317806814,-0.2670141341881391
Diluted NI Availto Com Stockholders,-0.049519329804264836,-0.06196431326631693,-0.09461756620468578,-0.14969350028070919
Diluted NI Availto Com Stockholders,-0.049519329804264836,-0.06196431326631693,-0.09461756620468578,-0.14969350028070919
Tangible Book Value,-0.3461721421093137,-0.3172509692970327,-0.25515005059692575,-0.22235677338070453
Tax Rate For Calcs,0.13583058711811846,0.2596724694780334,0.26055250909248534,0.35532600603349374
Tax Rate For Calcs,0.13583058711811846,0.2596724694780334,0.26055250909248534,0.35532600603349374
