,2022-12-31MPWR,2021-12-31MPWR,2020-12-31MPWR
Basic EPS,0.1385284909606665,-0.06676109010304063,-0.14757190318679822
Basic EPS,0.1385284909606665,-0.06676109010304063,-0.14757190318679822
Net Income Common Stockholders,-0.31303117632254557,-0.3376708853609173,-0.34744974509141163
Net Income Common Stockholders,-0.31303117632254557,-0.3376708853609173,-0.34744974509141163
Total Liabilities Net Minority Interest,-0.2616291850864542,-0.26183063704927023,-0.26224622450991425
Net Income Including Noncontrolling Interests,-0.31745946692942917,-0.341901985016273,-0.35160258478630635
Net Income Including Noncontrolling Interests,-0.31745946692942917,-0.341901985016273,-0.35160258478630635
Net Income From Continuing Operation Net Minority Interest,-0.3104293850330447,-0.33501876414043424,-0.3447776492302153
Net Income From Continuing Operation Net Minority Interest,-0.3104293850330447,-0.33501876414043424,-0.3447776492302153
Tax Effect Of Unusual Items,0.13244598759252124,0.13379722602542665,0.13521774937538106
Tax Effect Of Unusual Items,0.13244598759252124,0.13379722602542665,0.13521774937538106
Total Equity Gross Minority Interest,-0.47658652025958,-0.489370082227596,-0.4977214542235445
Share Issued,-0.48600632186102294,-0.486535559276474,-0.4871506189755117
Invested Capital,-0.512782768783735,-0.5198473439923486,-0.5244625596660475
Net Tangible Assets,-0.1285893840019527,-0.14307720542189317,-0.1525419529149249
Normalized Income,-0.3425153847537047,-0.367760043722124,-0.37742217406788153
Normalized Income,-0.3425153847537047,-0.367760043722124,-0.37742217406788153
Basic Average Shares,-0.45033878069017963,-0.4509411159760061,-0.4516362769051962
Basic Average Shares,-0.45033878069017963,-0.4509411159760061,-0.4516362769051962
Operating Revenue,-0.4764322133507615,-0.4868305378800856,-0.49327411189634174
Operating Revenue,-0.4764322133507615,-0.4868305378800856,-0.49327411189634174
Common Stock,-0.14093867385589537,-0.15920744409464016,-0.17465971255725765
Stockholders Equity,-0.46860495266691876,-0.4815478407530636,-0.4900032988937419
Total Assets,-0.2974568435589112,-0.29924383598104726,-0.3006692217642762
Net Income Continuous Operations,-0.3124070767298495,-0.33689922056996535,-0.34661951551089176
Net Income Continuous Operations,-0.3124070767298495,-0.33689922056996535,-0.34661951551089176
Pretax Income,-0.31988739309493924,-0.34632972909979426,-0.3570939334745181
Pretax Income,-0.31988739309493924,-0.34632972909979426,-0.3570939334745181
Diluted EPS,0.13561707723335853,-0.07570816263577881,-0.1575966930850695
Diluted EPS,0.13561707723335853,-0.07570816263577881,-0.1575966930850695
Common Stock Equity,-0.47679076873940923,-0.4902901734034433,-0.49910919820695726
Net Income From Continuing And Discontinued Operation,-0.31551949193266293,-0.3400601154875217,-0.3497996507664532
Net Income From Continuing And Discontinued Operation,-0.31551949193266293,-0.3400601154875217,-0.3497996507664532
Total Revenue,-0.47627398351674466,-0.48667168762715785,-0.493114877185787
Total Revenue,-0.47627398351674466,-0.48667168762715785,-0.493114877185787
Total Capitalization,-0.5099262921954772,-0.5172293504472588,-0.5220003646858025
Diluted Average Shares,-0.44969829751880547,-0.45001699702673054,-0.4506115856609191
Diluted Average Shares,-0.44969829751880547,-0.45001699702673054,-0.4506115856609191
Ordinary Shares Number,-0.4465495104092626,-0.44712341640568903,-0.44779038823937384
Net Income,-0.31552236938787626,-0.34006300978738013,-0.3498025517515132
Net Income,-0.31552236938787626,-0.34006300978738013,-0.3498025517515132
Capital Stock,-0.16984557206289497,-0.18699140019248595,-0.20149385086704988
Diluted NI Availto Com Stockholders,-0.31281494164392865,-0.3374536715762011,-0.3472321427249475
Diluted NI Availto Com Stockholders,-0.31281494164392865,-0.3374536715762011,-0.3472321427249475
Tangible Book Value,-0.12098219289318513,-0.13612486779682936,-0.14601742446064903
Tax Rate For Calcs,-0.34870568552828207,-1.0933545900647759,-2.2035584113737303
Tax Rate For Calcs,-0.34870568552828207,-1.0933545900647759,-2.2035584113737303
