,2022-12-31CCI,2021-12-31CCI,2020-12-31CCI
Basic EPS,-0.13753329286583454,-0.204290051500243,-0.21332480078911034
Basic EPS,-0.13753329286583454,-0.204290051500243,-0.21332480078911034
Net Income Common Stockholders,-0.1572041498361827,-0.2301224450138592,-0.24233846337695872
Net Income Common Stockholders,-0.1572041498361827,-0.2301224450138592,-0.24233846337695872
Total Liabilities Net Minority Interest,-0.13237474383918701,-0.13524413372715924,-0.14137797442970856
Net Income Including Noncontrolling Interests,-0.16287952008912687,-0.2352142520442229,-0.2402114701412934
Net Income Including Noncontrolling Interests,-0.16287952008912687,-0.2352142520442229,-0.2402114701412934
Net Income From Continuing Operation Net Minority Interest,-0.15492065627803905,-0.21989777856601597,-0.23271724950097467
Net Income From Continuing Operation Net Minority Interest,-0.15492065627803905,-0.21989777856601597,-0.23271724950097467
Tax Effect Of Unusual Items,0.135007802742061,0.1348639230536301,0.13157947315163404
Tax Effect Of Unusual Items,0.135007802742061,0.1348639230536301,0.13157947315163404
Total Equity Gross Minority Interest,-0.3025612786117054,-0.2782054435129578,-0.24198780491741592
Share Issued,-0.24601923142547222,-0.24664113203117263,-0.24726303263687305
Invested Capital,-0.055094520045021564,-0.05993603930992753,-0.06236511770400406
Net Tangible Assets,-0.39793166519058654,-0.38544384053990555,-0.35760213312199385
Normalized Income,-0.1791685906229481,-0.2476504595939601,-0.2529594822001822
Normalized Income,-0.1791685906229481,-0.2476504595939601,-0.2529594822001822
Basic Average Shares,-0.18473848632712378,-0.18542608368537314,-0.1916144599096174
Basic Average Shares,-0.18473848632712378,-0.18542608368537314,-0.1916144599096174
Operating Revenue,-0.38435996639208436,-0.3958161233733129,-0.4046831179408273
Operating Revenue,-0.38435996639208436,-0.3958161233733129,-0.4046831179408273
Common Stock,-0.24407158918520133,-0.24407158918520133,-0.24407158918520133
Stockholders Equity,-0.29241077201146853,-0.2677513814037181,-0.23108234938749592
Total Assets,-0.1582095595591916,-0.15776003497830504,-0.15878751973461716
Net Income Continuous Operations,-0.15751328553540017,-0.22223346486337975,-0.23500224298998307
Net Income Continuous Operations,-0.15751328553540017,-0.22223346486337975,-0.23500224298998307
Pretax Income,-0.19788013738371465,-0.2514516124447937,-0.26222868652934667
Pretax Income,-0.19788013738371465,-0.2514516124447937,-0.26222868652934667
Diluted EPS,-0.13857742149684715,-0.2088430637533353,-0.21835269954744643
Diluted EPS,-0.13857742149684715,-0.2088430637533353,-0.21835269954744643
Common Stock Equity,-0.2930206141738292,-0.2673009223734455,-0.22905520020303563
Net Income From Continuing And Discontinued Operation,-0.16031910418784304,-0.23294416763443984,-0.23796144317479195
Net Income From Continuing And Discontinued Operation,-0.16031910418784304,-0.23294416763443984,-0.23796144317479195
Total Revenue,-0.3842072300741644,-0.39566270352061605,-0.4045291690364455
Total Revenue,-0.3842072300741644,-0.39566270352061605,-0.4045291690364455
Total Capitalization,-0.05087370749624317,-0.04303088781918737,-0.04652231850875388
Diluted Average Shares,-0.18764304030081275,-0.18764304030081275,-0.19375880910960933
Diluted Average Shares,-0.18764304030081275,-0.18764304030081275,-0.19375880910960933
Ordinary Shares Number,-0.18630708187930498,-0.18698147200436543,-0.18765586212942592
Net Income,-0.1603218751137562,-0.23294698841008143,-0.23796426739428353
Net Income,-0.1603218751137562,-0.23294698841008143,-0.23796426739428353
Capital Stock,-0.26663912836860026,-0.26663912836860026,-0.26663912836860026
Diluted NI Availto Com Stockholders,-0.15699410724334992,-0.22990950487270534,-0.24212503780888406
Diluted NI Availto Com Stockholders,-0.15699410724334992,-0.22990950487270534,-0.24212503780888406
Tangible Book Value,-0.40249881872844306,-0.3894465409940759,-0.3603463807994211
Tax Rate For Calcs,-2.468084780407076,-2.355033537627445,-2.3445407576089763
Tax Rate For Calcs,-2.468084780407076,-2.355033537627445,-2.3445407576089763
