,2022-12-31ANSS,2021-12-31ANSS,2020-12-31ANSS
Basic EPS,-0.029618231915475062,-0.06977267319932975,-0.07830549197214888
Basic EPS,-0.029618231915475062,-0.06977267319932975,-0.07830549197214888
Net Income Common Stockholders,-0.30219569397280993,-0.31089589187567596,-0.31350785291537375
Net Income Common Stockholders,-0.30219569397280993,-0.31089589187567596,-0.31350785291537375
Total Liabilities Net Minority Interest,-0.2556749473982116,-0.2555993784807562,-0.25558918175031375
Net Income Including Noncontrolling Interests,-0.30671070066353534,-0.31534127110853344,-0.3179323286918645
Net Income Including Noncontrolling Interests,-0.30671070066353534,-0.31534127110853344,-0.3179323286918645
Net Income From Continuing Operation Net Minority Interest,-0.2996160356183194,-0.3082984621928268,-0.3109050879496017
Net Income From Continuing Operation Net Minority Interest,-0.2996160356183194,-0.3082984621928268,-0.3109050879496017
Tax Effect Of Unusual Items,0.13594927677358057,0.14025440616934687,0.13714789741312255
Tax Effect Of Unusual Items,0.13594927677358057,0.14025440616934687,0.13714789741312255
Total Equity Gross Minority Interest,-0.38032982135520954,-0.39182442074730733,-0.40345067411577945
Share Issued,-0.45605539776700493,-0.45605539776700493,-0.45605601158290276
Invested Capital,-0.4470508592760594,-0.45340308228932524,-0.45908702590632483
Net Tangible Assets,-0.17170411040452108,-0.17466375896647196,-0.17285394562508924
Normalized Income,-0.33222495815383496,-0.34261296367919497,-0.34420622210150564
Normalized Income,-0.33222495815383496,-0.34261296367919497,-0.34420622210150564
Basic Average Shares,-0.4226121048161324,-0.42257841254557815,-0.4234447852169724
Basic Average Shares,-0.4226121048161324,-0.42257841254557815,-0.4234447852169724
Operating Revenue,-0.47161912002956907,-0.47443595139579875,-0.47843351175863863
Operating Revenue,-0.47161912002956907,-0.47443595139579875,-0.47843351175863863
Common Stock,-0.2443951285221235,-0.2443951285221235,-0.2443951285221235
Stockholders Equity,-0.371148571997896,-0.3827864327052025,-0.3945575882396137
Total Assets,-0.27997048846312406,-0.2813441109242363,-0.2827936350442036
Net Income Continuous Operations,-0.3016364871959603,-0.31028458032654993,-0.31288089854562595
Net Income Continuous Operations,-0.3016364871959603,-0.31028458032654993,-0.31288089854562595
Pretax Income,-0.3146162529179333,-0.3208900795119516,-0.32313223408047476
Pretax Income,-0.3146162529179333,-0.3208900795119516,-0.32313223408047476
Diluted EPS,-0.026046731266531523,-0.06989671853937751,-0.07993466743316156
Diluted EPS,-0.026046731266531523,-0.06989671853937751,-0.07993466743316156
Common Stock Equity,-0.37514397159591734,-0.387282235487712,-0.3995595255998319
Net Income From Continuing And Discontinued Operation,-0.30472758310914255,-0.31339279426299615,-0.31599425163066874
Net Income From Continuing And Discontinued Operation,-0.30472758310914255,-0.31339279426299615,-0.31599425163066874
Total Revenue,-0.4714611773700973,-0.47427784066930395,-0.4782751625165984
Total Revenue,-0.4714611773700973,-0.47427784066930395,-0.4782751625165984
Total Capitalization,-0.4419754317459934,-0.44854209050809773,-0.4544179103711488
Diluted Average Shares,-0.42310693473815786,-0.4226910624591597,-0.42324419977142197
Diluted Average Shares,-0.42310693473815786,-0.4226910624591597,-0.42324419977142197
Ordinary Shares Number,-0.4196798399564688,-0.41959280451570874,-0.4199343595103975
Net Income,-0.3047304531568068,-0.3133956702584476,-0.3159971294117564
Net Income,-0.3047304531568068,-0.3133956702584476,-0.3159971294117564
Capital Stock,-0.2669427804366669,-0.2669427804366669,-0.2669427804366669
Diluted NI Availto Com Stockholders,-0.30197988986286733,-0.31067974204668214,-0.3132915992950981
Diluted NI Availto Com Stockholders,-0.30197988986286733,-0.31067974204668214,-0.3132915992950981
Tangible Book Value,-0.1660457167005032,-0.16913914218550924,-0.16724752478697363
Tax Rate For Calcs,-1.3776750808878009,-0.9985810931237677,-0.9444248091574773
Tax Rate For Calcs,-1.3776750808878009,-0.9985810931237677,-0.9444248091574773
