,2023-01-31ULTA,2022-01-31ULTA,2021-01-31ULTA,2020-01-31ULTA
Basic EPS,0.8813856547119787,0.5762119009546828,-0.17517808156944834,0.28107675751835076
Basic EPS,0.8813856547119787,0.5762119009546828,-0.17517808156944834,0.28107675751835076
Net Income Common Stockholders,-0.21168406546226462,-0.24399618966266468,-0.34600649178789494,-0.2792453217418879
Net Income Common Stockholders,-0.21168406546226462,-0.24399618966266468,-0.34600649178789494,-0.2792453217418879
Total Liabilities Net Minority Interest,-0.2490690879005548,-0.2498242530995641,-0.2504005679792953,-0.25093553037635113
Net Income Including Noncontrolling Interests,-0.2169234343653253,-0.2489769654749124,-0.35017088180149564,-0.28394399966554407
Net Income Including Noncontrolling Interests,-0.2169234343653253,-0.2489769654749124,-0.35017088180149564,-0.28394399966554407
Net Income From Continuing Operation Net Minority Interest,-0.20928928932407484,-0.24153541165008746,-0.3433373439663464,-0.27671254261996453
Net Income From Continuing Operation Net Minority Interest,-0.20928928932407484,-0.24153541165008746,-0.3433373439663464,-0.27671254261996453
Tax Effect Of Unusual Items,0.12869993439728622,0.12957640404453238,0.049160417120911425,0.12401403284693942
Tax Effect Of Unusual Items,0.12869993439728622,0.12957640404453238,0.049160417120911425,0.12401403284693942
Total Equity Gross Minority Interest,-0.4678193529131385,-0.48059752588921045,-0.46662299670157603,-0.46955698670101786
Share Issued,-0.48351063473034717,-0.4823109884619511,-0.47988371039790234,-0.4796766174962041
Invested Capital,-0.5079377722764703,-0.5149993693684227,-0.5072766303776771,-0.5088980402057232
Net Tangible Assets,-0.11884485464516255,-0.13333427969285871,-0.11752834449722122,-0.12088507858727217
Normalized Income,-0.23851859168619535,-0.27170432413940554,-0.36440131094752287,-0.3067976474191014
Normalized Income,-0.23851859168619535,-0.27170432413940554,-0.36440131094752287,-0.3067976474191014
Basic Average Shares,-0.4471235754430056,-0.44500646317695586,-0.4437213437143878,-0.4426975112479545
Basic Average Shares,-0.4471235754430056,-0.44500646317695586,-0.4437213437143878,-0.4426975112479545
Operating Revenue,-0.3272107676853235,-0.3551895227377561,-0.3991509468281877,-0.37705235695719136
Operating Revenue,-0.3272107676853235,-0.3551895227377561,-0.3991509468281877,-0.37705235695719136
Common Stock,-0.24444206136981617,-0.24444004389446286,-0.24443590276084293,-0.2444354780291896
Stockholders Equity,-0.4597285169691532,-0.4726659488984144,-0.4585172501410063,-0.4614878075102008
Total Assets,-0.28494749618710535,-0.2872367926644485,-0.286006870746038,-0.28686095611716994
Net Income Continuous Operations,-0.21166692541131765,-0.2437855349477955,-0.3451849057331381,-0.27882356286359217
Net Income Continuous Operations,-0.21166692541131765,-0.2437855349477955,-0.3451849057331381,-0.27882356286359217
Pretax Income,-0.20284554347843842,-0.2392275853746554,-0.35063365303565835,-0.2800003955901363
Pretax Income,-0.20284554347843842,-0.2392275853746554,-0.35063365303565835,-0.2800003955901363
Diluted EPS,0.9259734743439322,0.6074006752412076,-0.1782009039723104,0.29939413813193994
Diluted EPS,0.9259734743439322,0.6074006752412076,-0.1782009039723104,0.29939413813193994
Common Stock Equity,-0.46753266524188397,-0.48102637914592755,-0.46626931652400555,-0.46936760152327184
Net Income From Continuing And Discontinued Operation,-0.21457993570164305,-0.24676212076823506,-0.3483622013241423,-0.2818695029067409
Net Income From Continuing And Discontinued Operation,-0.21457993570164305,-0.24676212076823506,-0.3483622013241423,-0.2818695029067409
Total Revenue,-0.32706144119016106,-0.35503852688243004,-0.3989973280023264,-0.3769000566498108
Total Revenue,-0.32706144119016106,-0.35503852688243004,-0.3989973280023264,-0.3769000566498108
Total Capitalization,-0.5049177402758813,-0.5122177198769563,-0.5042342798190241,-0.5059104245375055
Diluted Average Shares,-0.4474014865661685,-0.44529290538686894,-0.4441261526041241,-0.44307491989887876
Diluted Average Shares,-0.4474014865661685,-0.44529290538686894,-0.4441261526041241,-0.44307491989887876
Ordinary Shares Number,-0.44435302177194064,-0.4430399841984479,-0.4403768175945842,-0.4401414554409381
Net Income,-0.21458274387210496,-0.24676495102849783,-0.34836510132253934,-0.2818723572646551
Net Income,-0.21458274387210496,-0.24676495102849783,-0.34836510132253934,-0.2818723572646551
Capital Stock,-0.26698682842291094,-0.2669849349574389,-0.26698104837041736,-0.26698064974610747
Diluted NI Availto Com Stockholders,-0.2114718580054883,-0.24378269822165644,-0.3457889467718691,-0.27903042960900626
Diluted NI Availto Com Stockholders,-0.2114718580054883,-0.24378269822165644,-0.3457889467718691,-0.27903042960900626
Tangible Book Value,-0.11079720814897802,-0.12594155916479033,-0.10942119138291091,-0.11292965077030102
Tax Rate For Calcs,0.7073418518143817,0.6396464968565185,0.6396464968565185,0.3959432190082116
Tax Rate For Calcs,0.7073418518143817,0.6396464968565185,0.6396464968565185,0.3959432190082116
