,2022-12-31TROW,2021-12-31TROW,2020-12-31TROW
Basic EPS,0.006018834723946028,0.3332775311873618,0.1741655576000876
Basic EPS,0.006018834723946028,0.3332775311873618,0.1741655576000876
Net Income Common Stockholders,-0.17649790254986153,0.009966394237820381,-0.07756074764211945
Net Income Common Stockholders,-0.17649790254986153,0.009966394237820381,-0.07756074764211945
Total Liabilities Net Minority Interest,-0.255116431052858,-0.253873444621677,-0.2574705783218161
Net Income Including Noncontrolling Interests,-0.19103884406611935,0.014958978940370862,-0.05690101729550345
Net Income Including Noncontrolling Interests,-0.19103884406611935,0.014958978940370862,-0.05690101729550345
Net Income From Continuing Operation Net Minority Interest,-0.169637911635722,0.022025746950670257,-0.06723296146116961
Net Income From Continuing Operation Net Minority Interest,-0.169637911635722,0.022025746950670257,-0.06723296146116961
Tax Effect Of Unusual Items,-0.24544804288738628,0.3187171025037551,0.4467692221976474
Tax Effect Of Unusual Items,-0.24544804288738628,0.3187171025037551,0.4467692221976474
Total Equity Gross Minority Interest,-0.2351868368719189,-0.21812269925267272,-0.24777720799465838
Share Issued,-0.3758036688290921,-0.3727781223823596,-0.37353062211525706
Invested Capital,-0.39347678660615537,-0.3904287923472867,-0.4123187816834956
Net Tangible Assets,0.0046437289922551415,-0.0005015277217412926,0.054949872885599584
Normalized Income,-0.14797009696522792,-0.031281028157934106,-0.14380806476675365
Normalized Income,-0.14797009696522792,-0.031281028157934106,-0.14380806476675365
Basic Average Shares,-0.32707113948474176,-0.3266585810697921,-0.32514586688164354
Basic Average Shares,-0.32707113948474176,-0.3266585810697921,-0.32514586688164354
Operating Revenue,-0.3931843993856747,-0.3721962232443682,-0.3981800641250122
Operating Revenue,-0.3931843993856747,-0.3721962232443682,-0.3981800641250122
Common Stock,-0.23972870802992868,-0.23963314340793002,-0.23965437999059638
Stockholders Equity,-0.2500264918630421,-0.24444231342133646,-0.2845465905815555
Total Assets,-0.26125154829909847,-0.257981351411086,-0.26496975876100287
Net Income Continuous Operations,-0.1857297815132079,0.02068627979028438,-0.051319614115815905
Net Income Continuous Operations,-0.1857297815132079,0.02068627979028438,-0.051319614115815905
Pretax Income,-0.17096884170850074,0.043149647676249445,-0.03557530903460183
Pretax Income,-0.17096884170850074,0.043149647676249445,-0.03557530903460183
Diluted EPS,0.011463498810240348,0.35064050880020564,0.18475019550293295
Diluted EPS,0.011463498810240348,0.35064050880020564,0.18475019550293295
Common Stock Equity,-0.24881390039331805,-0.24298961419080842,-0.28481828971832984
Net Income From Continuing And Discontinued Operation,-0.17500717833222385,0.016276451643700344,-0.07280527557525136
Net Income From Continuing And Discontinued Operation,-0.17500717833222385,0.016276451643700344,-0.07280527557525136
Total Revenue,-0.39303113655551786,-0.37204421267954957,-0.3980265032271362
Total Revenue,-0.39303113655551786,-0.37204421267954957,-0.3980265032271362
Total Capitalization,-0.38659282742231915,-0.38344194021873007,-0.40607088287027027
Diluted Average Shares,-0.3282377699163699,-0.32708256914137496,-0.32545169745902924
Diluted Average Shares,-0.3282377699163699,-0.32708256914137496,-0.32545169745902924
Ordinary Shares Number,-0.3270455570781732,-0.32376464911975406,-0.3245806611710772
Net Income,-0.17500995934000782,0.016273801932696823,-0.07280798643181127
Net Income,-0.17500995934000782,0.016273801932696823,-0.07280798643181127
Capital Stock,-0.26256319479986867,-0.2624735043301411,-0.26249343554563614
Diluted NI Availto Com Stockholders,-0.17628709328275796,0.010169793988439996,-0.07735386983263429
Diluted NI Availto Com Stockholders,-0.17628709328275796,0.010169793988439996,-0.07735386983263429
Tangible Book Value,0.018273093184193803,0.012895269461946334,0.07085308851630033
Tax Rate For Calcs,0.8698107037132532,0.4365604319829295,0.40948228999978425
Tax Rate For Calcs,0.8698107037132532,0.4365604319829295,0.40948228999978425
