,2022-12-31DGX,2021-12-31DGX,2020-12-31DGX
Basic EPS,0.07478331542254717,0.4637794653598896,0.20126980546668946
Basic EPS,0.07478331542254717,0.4637794653598896,0.20126980546668946
Net Income Common Stockholders,-0.24951694839445018,-0.11778545140679972,-0.188688733246233
Net Income Common Stockholders,-0.24951694839445018,-0.11778545140679972,-0.188688733246233
Total Liabilities Net Minority Interest,-0.23484938966442115,-0.2339386702651952,-0.23358103616321602
Net Income Including Noncontrolling Interests,-0.2453336186907907,-0.11228268685628767,-0.18486727971623723
Net Income Including Noncontrolling Interests,-0.2453336186907907,-0.11228268685628767,-0.18486727971623723
Net Income From Continuing Operation Net Minority Interest,-0.24654216913671442,-0.11470270824679607,-0.18558684165186182
Net Income From Continuing Operation Net Minority Interest,-0.24654216913671442,-0.11470270824679607,-0.18558684165186182
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.34597427516596263,-0.32926538952961537,-0.3193604825487897
Share Issued,-0.414554295570285,-0.414554295570285,-0.38034976225676215
Invested Capital,-0.37475125419154487,-0.36465227758055546,-0.3587459568278351
Net Tangible Assets,-0.2678330985429181,-0.24732713511379437,-0.22900483501156568
Normalized Income,-0.2777754669025362,-0.14250136074608316,-0.21523214804087773
Normalized Income,-0.2777754669025362,-0.14250136074608316,-0.21523214804087773
Basic Average Shares,-0.40270684889217156,-0.39651847266792734,-0.39033009644368305
Basic Average Shares,-0.40270684889217156,-0.39651847266792734,-0.39033009644368305
Operating Revenue,-0.33298459986790613,-0.31693533970070514,-0.34089395902212893
Operating Revenue,-0.33298459986790613,-0.31693533970070514,-0.34089395902212893
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.3398397111779205,-0.32304450200008306,-0.31344288513797997
Total Assets,-0.2567423256755332,-0.25381852714102743,-0.25225085738415415
Net Income Continuous Operations,-0.2401347910604805,-0.10681372532682817,-0.17954568700875492
Net Income Continuous Operations,-0.2401347910604805,-0.10681372532682817,-0.17954568700875492
Pretax Income,-0.24559223235998817,-0.10287447458008235,-0.17768620244858135
Pretax Income,-0.24559223235998817,-0.10287447458008235,-0.17768620244858135
Diluted EPS,0.07855926246869141,0.4790205920207067,0.21063753738690227
Diluted EPS,0.07855926246869141,0.4790205920207067,0.21063753738690227
Common Stock Equity,-0.3424888965488564,-0.3249715292039721,-0.3149570632990019
Net Income From Continuing And Discontinued Operation,-0.2517589509107602,-0.12018089986502617,-0.19092448498399092
Net Income From Continuing And Discontinued Operation,-0.2517589509107602,-0.12018089986502617,-0.19092448498399092
Total Revenue,-0.3328349288754486,-0.31678662629179727,-0.3407438161155685
Total Revenue,-0.3328349288754486,-0.31678662629179727,-0.3407438161155685
Total Capitalization,-0.3688518877361721,-0.35882477398239243,-0.35335543920760354
Diluted Average Shares,-0.40237447847633745,-0.39557917979989676,-0.39014294085874424
Diluted Average Shares,-0.40237447847633745,-0.39557917979989676,-0.39014294085874424
Ordinary Shares Number,-0.4034607021487744,-0.39806558114829066,-0.3886241193974442
Net Income,-0.25176178460083926,-0.1201836432401395,-0.19092727691738895
Net Income,-0.25176178460083926,-0.1201836432401395,-0.19092727691738895
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.24930323757550452,-0.11757697519155677,-0.18847743955308888
Diluted NI Availto Com Stockholders,-0.24930323757550452,-0.11757697519155677,-0.18847743955308888
Tangible Book Value,-0.2665197613482733,-0.24508692277353375,-0.2259364497042573
Tax Rate For Calcs,0.3011697220672032,0.5177948579323652,0.7208809228059543
Tax Rate For Calcs,0.3011697220672032,0.5177948579323652,0.7208809228059543
