,2022-12-31TAP,2021-12-31TAP,2020-12-31TAP
Basic EPS,-0.37243677437638456,-0.0993865736461726,-0.5516259686055862
Basic EPS,-0.37243677437638456,-0.0993865736461726,-0.5516259686055862
Net Income Common Stockholders,-0.390227848570647,-0.24149467654156936,-0.4876663373080707
Net Income Common Stockholders,-0.390227848570647,-0.24149467654156936,-0.4876663373080707
Total Liabilities Net Minority Interest,-0.20938625745711284,-0.20522023602266273,-0.20208095714377833
Net Income Including Noncontrolling Interests,-0.39543755728154695,-0.24614566663156467,-0.49028475676394573
Net Income Including Noncontrolling Interests,-0.39543755728154695,-0.24614566663156467,-0.49028475676394573
Net Income From Continuing Operation Net Minority Interest,-0.3874683726599418,-0.23903900820713567,-0.4847078301342314
Net Income From Continuing Operation Net Minority Interest,-0.3874683726599418,-0.23903900820713567,-0.4847078301342314
Tax Effect Of Unusual Items,-0.3851637321193581,0.11271874901264188,-1.1836056999828124
Tax Effect Of Unusual Items,-0.3851637321193581,0.11271874901264188,-1.1836056999828124
Total Equity Gross Minority Interest,-0.1379953134488201,-0.11544885497483728,-0.14684349631102273
Share Issued,-0.3742551363208981,-0.37444170650260816,-0.3746399845851212
Invested Capital,-0.2202385757957315,-0.198157254942181,-0.1979226658643969
Net Tangible Assets,-0.3696225173417614,-0.39077675582105703,-0.4358079879903706
Normalized Income,-0.33235656992956736,-0.26540568798466635,-0.3583279087586401
Normalized Income,-0.33235656992956736,-0.26540568798466635,-0.3583279087586401
Basic Average Shares,-0.3333282754448109,-0.33319075597316106,-0.3333970351806359
Basic Average Shares,-0.3333282754448109,-0.33319075597316106,-0.3333970351806359
Operating Revenue,-0.28112154864251465,-0.2874632231572009,-0.30033987266814527
Operating Revenue,-0.28112154864251465,-0.2874632231572009,-0.30033987266814527
Common Stock,-0.18953604489796316,-0.18905822178796983,-0.18904760349663666
Stockholders Equity,-0.13266730061710807,-0.11049518599649294,-0.14256458631591717
Total Assets,-0.2075163620544673,-0.20090306219095408,-0.2019906094753006
Net Income Continuous Operations,-0.39054348634591074,-0.24094848770580324,-0.4855832545196092
Net Income Continuous Operations,-0.39054348634591074,-0.24094848770580324,-0.4855832545196092
Pretax Income,-0.38135197628918743,-0.24517370521107348,-0.4421848973839361
Pretax Income,-0.38135197628918743,-0.24517370521107348,-0.4421848973839361
Diluted EPS,-0.38529963904406495,-0.09842562592171106,-0.57390741562727
Diluted EPS,-0.38529963904406495,-0.09842562592171106,-0.57390741562727
Common Stock Equity,-0.12640851427485417,-0.10328304602318655,-0.1367313621457869
Net Income From Continuing And Discontinued Operation,-0.39240572749568076,-0.24427066716678472,-0.4894523796349415
Net Income From Continuing And Discontinued Operation,-0.39240572749568076,-0.24427066716678472,-0.4894523796349415
Total Revenue,-0.31832939129155163,-0.3258002751351895,-0.33689577008169846
Total Revenue,-0.31832939129155163,-0.3258002751351895,-0.33689577008169846
Total Capitalization,-0.21433630068200196,-0.19353562937184565,-0.20198213977404325
Diluted Average Shares,-0.3351689745663394,-0.33469330365898853,-0.33523692755310375
Diluted Average Shares,-0.3351689745663394,-0.33469330365898853,-0.33523692755310375
Ordinary Shares Number,-0.3324474219799075,-0.3319753488923652,-0.3321903619983777
Net Income,-0.39240865772548433,-0.24427349571691767,-0.4894553764774133
Net Income,-0.39240865772548433,-0.24427349571691767,-0.4894553764774133
Capital Stock,-0.21545576697738889,-0.21500731462875095,-0.21499734902100343
Diluted NI Availto Com Stockholders,-0.39000854633418985,-0.24128128450298306,-0.48744316316636993
Diluted NI Availto Com Stockholders,-0.39000854633418985,-0.24128128450298306,-0.48744316316636993
Tangible Book Value,-0.3729100896677751,-0.39502050550194906,-0.44208716165992124
Tax Rate For Calcs,0.24701343810091272,-0.07792426569682992,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,-0.07792426569682992,1.0593576975952699
