,2022-12-31TT,2021-12-31TT,2020-12-31TT
Basic EPS,0.047177137039897066,-0.032629815011764145,-0.15209640524455975
Basic EPS,0.047177137039897066,-0.032629815011764145,-0.15209640524455975
Net Income Common Stockholders,-0.1469401756445063,-0.18889023458005733,-0.26048617725451173
Net Income Common Stockholders,-0.1469401756445063,-0.18889023458005733,-0.26048617725451173
Total Liabilities Net Minority Interest,-0.21344789963621788,-0.21423677392860677,-0.21447422633817664
Net Income Including Noncontrolling Interests,-0.15042395398217856,-0.19266293994766726,-0.2634485342926714
Net Income Including Noncontrolling Interests,-0.15042395398217856,-0.19266293994766726,-0.2634485342926714
Net Income From Continuing Operation Net Minority Interest,-0.14197550425548272,-0.18395298751309255,-0.2427340321825061
Net Income From Continuing Operation Net Minority Interest,-0.14197550425548272,-0.18395298751309255,-0.2427340321825061
Tax Effect Of Unusual Items,0.12726745820554178,0.1303750285628461,0.1295049650321702
Tax Effect Of Unusual Items,0.12726745820554178,0.1303750285628461,0.1295049650321702
Total Equity Gross Minority Interest,-0.3430178561218377,-0.3379630418905896,-0.33332670245275636
Share Issued,-0.3577571934930181,-0.35379723827671766,-0.3515500116322301
Invested Capital,-0.358780895626654,-0.3559009403525811,-0.34622122932741856
Net Tangible Assets,-0.2767076427823774,-0.27245632324282865,-0.2610944499950779
Normalized Income,-0.1685756961705679,-0.21243255434227395,-0.2728751656309011
Normalized Income,-0.1685756961705679,-0.21243255434227395,-0.2728751656309011
Basic Average Shares,-0.32253299692029597,-0.31833865303497483,-0.3182641257325089
Basic Average Shares,-0.32253299692029597,-0.31833865303497483,-0.3182641257325089
Operating Revenue,-0.22465298043875617,-0.25755485048097493,-0.28737810000935277
Operating Revenue,-0.22465298043875617,-0.25755485048097493,-0.28737810000935277
Common Stock,-0.21760018889157112,-0.21692061824624728,-0.21653835975825264
Stockholders Equity,-0.33387756432640503,-0.3287780389263103,-0.3241509740384778
Total Assets,-0.23693075746614178,-0.2370131073473462,-0.23664706590291001
Net Income Continuous Operations,-0.1423409727026127,-0.1847783823586767,-0.2430891358034985
Net Income Continuous Operations,-0.1423409727026127,-0.1847783823586767,-0.2430891358034985
Pretax Income,-0.14754178454800154,-0.18744834819701628,-0.24002582127942293
Pretax Income,-0.14754178454800154,-0.18744834819701628,-0.24002582127942293
Diluted EPS,0.052671920584722136,-0.032386488462605646,-0.1565400668857238
Diluted EPS,0.052671920584722136,-0.032386488462605646,-0.1565400668857238
Common Stock Equity,-0.33627039010119875,-0.3309515959872257,-0.3261255771796877
Net Income From Continuing And Discontinued Operation,-0.15009640527437562,-0.19187776733665782,-0.26318579595391217
Net Income From Continuing And Discontinued Operation,-0.15009640527437562,-0.19187776733665782,-0.26318579595391217
Total Revenue,-0.22450977308235393,-0.25740968002539066,-0.28723115014133144
Total Revenue,-0.22450977308235393,-0.25740968002539066,-0.28723115014133144
Total Capitalization,-0.36875041265701725,-0.3537750988569899,-0.3510817094678957
Diluted Average Shares,-0.32293743694874616,-0.3179089159281801,-0.3173652920340648
Diluted Average Shares,-0.32293743694874616,-0.3179089159281801,-0.3173652920340648
Ordinary Shares Number,-0.3239990704991757,-0.31970493319004095,-0.31726798738167805
Net Income,-0.15009916918344446,-0.19188055992438735,-0.26318863748735954
Net Income,-0.15009916918344446,-0.19188055992438735,-0.26318863748735954
Capital Stock,-0.24179486825405783,-0.2411570693582172,-0.24079830747930683
Diluted NI Availto Com Stockholders,-0.14673054091037502,-0.1886789328798712,-0.2602720305522176
Diluted NI Availto Com Stockholders,-0.14673054091037502,-0.1886789328798712,-0.2602720305522176
Tangible Book Value,-0.27579543741031953,-0.27135195706687104,-0.25947652404625826
Tax Rate For Calcs,-0.25393218858727407,-0.07792426569682992,0.5177948579323652
Tax Rate For Calcs,-0.25393218858727407,-0.07792426569682992,0.5177948579323652
