,2023-06-30PG,2022-06-30PG,2021-06-30PG,2020-06-30PG
Basic EPS,-0.02710857933523411,-0.03062209294757141,-0.04618193894506509,-0.0742900478437634
Basic EPS,-0.02710857933523411,-0.03062209294757141,-0.04618193894506509,-0.0742900478437634
Net Income Common Stockholders,1.4417089340598117,1.45304338408743,1.3993936539567042,1.2393260319000086
Net Income Common Stockholders,1.4417089340598117,1.45304338408743,1.3993936539567042,1.2393260319000086
Total Liabilities Net Minority Interest,0.04349806361316272,0.029317455616082594,0.03887793003992048,0.04373925870519516
Net Income Including Noncontrolling Interests,1.4690869799616837,1.4759581548451557,1.420863825324953,1.2648256902439254
Net Income Including Noncontrolling Interests,1.4690869799616837,1.4759581548451557,1.420863825324953,1.2648256902439254
Net Income From Continuing Operation Net Minority Interest,1.4761684985640586,1.487354115360248,1.4325571611676795,1.2718110501303053
Net Income From Continuing Operation Net Minority Interest,1.4761684985640586,1.487354115360248,1.4325571611676795,1.2718110501303053
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,0.8901219887207862,0.8837696015689496,0.8777483815198155,0.8844921479748458
Share Issued,1.9780217146803563,1.9780217146803563,1.9780217146803563,1.9780217146803563
Invested Capital,0.799857887053682,0.744521484733829,0.7487973282083336,0.796180994416073
Net Tangible Assets,-0.7880226466966955,-0.7581678746493024,-0.8058672704461659,-0.7712016151317072
Normalized Income,1.4898147838948914,1.5012918052942472,1.4450672959670656,1.280133471587558
Normalized Income,1.4898147838948914,1.5012918052942472,1.4450672959670656,1.280133471587558
Basic Average Shares,1.177394145998158,1.2069585667695852,1.246313546055264,1.263600236648959
Basic Average Shares,1.177394145998158,1.2069585667695852,1.246313546055264,1.263600236648959
Operating Revenue,0.9460438985177707,0.9137857722811535,0.8416261704907216,0.7499769146408931
Operating Revenue,0.9460438985177707,0.9137857722811535,0.8416261704907216,0.7499769146408931
Common Stock,0.18119097870885806,0.18119097870885806,0.18119097870885806,0.18119097870885806
Stockholders Equity,0.9063587135529422,0.9006282247590521,0.8941966655276116,0.8985554947697727
Total Assets,0.15119934272026345,0.13752095190185856,0.1454499611058994,0.1507120429645125
Net Income Continuous Operations,1.4777666033647876,1.484651728825211,1.4294455410425437,1.2730906010412932
Net Income Continuous Operations,1.4777666033647876,1.484651728825211,1.4294455410425437,1.2730906010412932
Pretax Income,1.5454947014203841,1.5080365215925202,1.4682764424456256,1.2819272293913644
Pretax Income,1.5454947014203841,1.5080365215925202,1.4682764424456256,1.2819272293913644
Diluted EPS,-0.030801549163587103,-0.03555636706064273,-0.05193407315050085,-0.08046298053283439
Diluted EPS,-0.030801549163587103,-0.03555636706064273,-0.05193407315050085,-0.08046298053283439
Common Stock Equity,0.9312557906975867,0.9245158961837655,0.9169494108333436,0.9206372776427929
Net Income From Continuing And Discontinued Operation,1.467535944879399,1.4786993829566824,1.4240110795668444,1.2635836941640857
Net Income From Continuing And Discontinued Operation,1.467535944879399,1.4786993829566824,1.4240110795668444,1.2635836941640857
Total Revenue,0.9461172559208856,0.9138610543742981,0.8417057580064781,0.7500619704348649
Total Revenue,0.9461172559208856,0.9138610543742981,0.8417057580064781,0.7500619704348649
Total Capitalization,0.6851817988618268,0.6556336317452,0.6563215983835382,0.666314313805401
Diluted Average Shares,1.205325235382757,1.2428352840767096,1.2848981828838772,1.30175052360145
Diluted Average Shares,1.205325235382757,1.2428352840767096,1.2848981828838772,1.30175052360145
Ordinary Shares Number,1.1146589083748362,1.1360370753392528,1.1602476808289235,1.1939671870819466
Net Income,1.4675342913106117,1.4786977370504613,1.4240093961226585,1.2635819006027966
Net Income,1.4675342913106117,1.4786977370504613,1.4240093961226585,1.2635819006027966
Capital Stock,0.21410178937128255,0.21649353523068493,0.21918424932251263,0.22187496341434035
Diluted NI Availto Com Stockholders,1.4773686396198185,1.4885767059220854,1.4336697743739006,1.2726010462772763
Diluted NI Availto Com Stockholders,1.4773686396198185,1.4885767059220854,1.4336697743739006,1.2726010462772763
Tangible Book Value,-0.8394291651805382,-0.8090808363500834,-0.8598991308076606,-0.8246294513560509
Tax Rate For Calcs,0.07100551521046897,-0.18623683362941093,-0.09146333668840255,-0.2674712595788467
Tax Rate For Calcs,0.07100551521046897,-0.18623683362941093,-0.09146333668840255,-0.2674712595788467
