,2022-12-31K,2021-12-31K,2020-12-31K
Basic EPS,-0.19073792756694202,-0.11293869757947353,-0.1485757642188946
Basic EPS,-0.19073792756694202,-0.11293869757947353,-0.1485757642188946
Net Income Common Stockholders,-0.24725005838892655,-0.18075461822690034,-0.210602003299628
Net Income Common Stockholders,-0.24725005838892655,-0.18075461822690034,-0.210602003299628
Total Liabilities Net Minority Interest,-0.20452950318151464,-0.20518655188049958,-0.20353561306089818
Net Income Including Noncontrolling Interests,-0.25195493266940916,-0.18536700152594426,-0.21422593603652662
Net Income Including Noncontrolling Interests,-0.25195493266940916,-0.18536700152594426,-0.21422593603652662
Net Income From Continuing Operation Net Minority Interest,-0.24478263391034755,-0.17842301965879664,-0.20820943741943598
Net Income From Continuing Operation Net Minority Interest,-0.24478263391034755,-0.17842301965879664,-0.20820943741943598
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.39510743076689725,-0.39992440680620456,-0.4173558388484479
Share Issued,-0.25335150548814434,-0.2534205955359346,-0.2535056137020381
Invested Capital,-0.3657669916381111,-0.36034315905955666,-0.36440271473184893
Net Tangible Assets,-0.32317531598391425,-0.3374714868271802,-0.3619694597757839
Normalized Income,-0.27597009274982853,-0.2078816961334251,-0.23844410143283346
Normalized Income,-0.27597009274982853,-0.2078816961334251,-0.23844410143283346
Basic Average Shares,-0.2479974432860651,-0.2479974432860651,-0.24662224856956638
Basic Average Shares,-0.2479974432860651,-0.2479974432860651,-0.24662224856956638
Operating Revenue,-0.2366535708864301,-0.2567639145655527,-0.2640525841000495
Operating Revenue,-0.2366535708864301,-0.2567639145655527,-0.2640525841000495
Common Stock,-0.23334711493868449,-0.23334711493868449,-0.23334711493868449
Stockholders Equity,-0.39933925439958773,-0.40607562686474574,-0.42460827147477326
Total Assets,-0.2353653542197604,-0.2365666047804488,-0.23725411296298118
Net Income Continuous Operations,-0.246769548322343,-0.18004642340587662,-0.20896395033965473
Net Income Continuous Operations,-0.246769548322343,-0.18004642340587662,-0.20896395033965473
Pretax Income,-0.24956824027467764,-0.16910639589583043,-0.20729699823429495
Pretax Income,-0.24956824027467764,-0.16910639589583043,-0.20729699823429495
Diluted EPS,-0.19510692316184136,-0.11374670581222351,-0.15072862278932253
Diluted EPS,-0.19510692316184136,-0.11374670581222351,-0.15072862278932253
Common Stock Equity,-0.40454679320441755,-0.4115728153155236,-0.4309023241098787
Net Income From Continuing And Discontinued Operation,-0.25000290447163703,-0.18377486733898915,-0.2135022249155754
Net Income From Continuing And Discontinued Operation,-0.25000290447163703,-0.18377486733898915,-0.2135022249155754
Total Revenue,-0.2365096475114775,-0.25661879130137866,-0.26390702595539045
Total Revenue,-0.2365096475114775,-0.25661879130137866,-0.26390702595539045
Total Capitalization,-0.37939497646870546,-0.36694278031478356,-0.369075476893632
Diluted Average Shares,-0.24880072838877862,-0.2494802582564227,-0.24812119852113457
Diluted Average Shares,-0.24880072838877862,-0.2494802582564227,-0.24812119852113457
Ordinary Shares Number,-0.2478115098409083,-0.24809656915165035,-0.24640162310155564
Net Income,-0.2500057369563686,-0.18377765436490098,-0.21350503234629836
Net Income,-0.2500057369563686,-0.18377765436490098,-0.21350503234629836
Capital Stock,-0.2565738645436152,-0.2565738645436152,-0.2565738645436152
Diluted NI Availto Com Stockholders,-0.24703643764920333,-0.18054363981103466,-0.2103898388406672
Diluted NI Availto Com Stockholders,-0.24703643764920333,-0.18054363981103466,-0.2103898388406672
Tangible Book Value,-0.3243634621273542,-0.33930582379593305,-0.36491111181034736
Tax Rate For Calcs,0.16577901215147697,0.6667246388396638,0.1387008701683321
Tax Rate For Calcs,0.16577901215147697,0.6667246388396638,0.1387008701683321
