,2023-09-30FICO,2022-09-30FICO,2021-09-30FICO,2020-09-30FICO
Basic EPS,0.530536223994298,0.38798795743661385,0.3533547518292892,0.07628910697069177
Basic EPS,0.530536223994298,0.38798795743661385,0.3533547518292892,0.07628910697069177
Net Income Common Stockholders,-0.31407608667675835,-0.32110772759722533,-0.31877245307653507,-0.33837765128930614
Net Income Common Stockholders,-0.31407608667675835,-0.32110772759722533,-0.31877245307653507,-0.33837765128930614
Total Liabilities Net Minority Interest,-0.2538402969306668,-0.2539205150914479,-0.25627118166571583,-0.2579494004819333
Net Income Including Noncontrolling Interests,-0.31849601489321405,-0.32547138177400997,-0.3231547963946605,-0.34260309471529204
Net Income Including Noncontrolling Interests,-0.31849601489321405,-0.32547138177400997,-0.3231547963946605,-0.34260309471529204
Net Income From Continuing Operation Net Minority Interest,-0.3114721610168422,-0.31848943886176856,-0.3161589344544456,-0.3357240864040321
Net Income From Continuing Operation Net Minority Interest,-0.3114721610168422,-0.31848943886176856,-0.3161589344544456,-0.3357240864040321
Tax Effect Of Unusual Items,0.13718551965668918,0.1359644425032954,0.18023467356138131,0.1258474403799112
Tax Effect Of Unusual Items,0.13718551965668918,0.1359644425032954,0.18023467356138131,0.1258474403799112
Total Equity Gross Minority Interest,-0.5475343152497256,-0.5509651161154215,-0.5301616503151618,-0.5168540314601695
Share Issued,-0.46004197157303056,-0.46004197157303056,-0.46004197157303056,-0.46004197157303056
Invested Capital,-0.5210172447145148,-0.5230461241244057,-0.5214430322094546,-0.521152857166502
Net Tangible Assets,-0.23518849187697966,-0.23869589873658636,-0.21611528454821496,-0.20203379510577438
Normalized Income,-0.3445912315509214,-0.3515970870514561,-0.3590604880662034,-0.363938537069764
Normalized Income,-0.3445912315509214,-0.3515970870514561,-0.3590604880662034,-0.363938537069764
Basic Average Shares,-0.46528783485587905,-0.4645617320455677,-0.4627107199571604,-0.46248175003686337
Basic Average Shares,-0.46528783485587905,-0.4645617320455677,-0.4627107199571604,-0.46248175003686337
Operating Revenue,-0.48140821109614834,-0.48382512327339405,-0.48490217936952085,-0.485291866046774
Operating Revenue,-0.48140821109614834,-0.48382512327339405,-0.48490217936952085,-0.485291866046774
Common Stock,-0.24446998747602244,-0.24446956274436912,-0.24446701435444915,-0.2444654216107492
Stockholders Equity,-0.5404369954742114,-0.5439105556416866,-0.5228478087851866,-0.5093743323031096
Total Assets,-0.2992836661254243,-0.2997870089979402,-0.29931201639416005,-0.2991667179615615
Net Income Continuous Operations,-0.3134457292015792,-0.32043525820080243,-0.31811396944784553,-0.3376017537351271
Net Income Continuous Operations,-0.3134457292015792,-0.32043525820080243,-0.31811396944784553,-0.3376017537351271
Pretax Income,-0.3168858210147104,-0.32549858658043834,-0.3253067965144482,-0.3479221202696274
Pretax Income,-0.3168858210147104,-0.32549858658043834,-0.3253067965144482,-0.3479221202696274
Diluted EPS,0.5519277997755591,0.4066416973655271,0.3654332755910453,0.07486107077098154
Diluted EPS,0.5519277997755591,0.4066416973655271,0.3654332755910453,0.07486107077098154
Common Stock Equity,-0.5517114361550457,-0.5553343519999113,-0.5333659519597084,-0.5193131447305702
Net Income From Continuing And Discontinued Operation,-0.31656020031162047,-0.32356356437462097,-0.32123768086600224,-0.3407640392458331
Net Income From Continuing And Discontinued Operation,-0.31656020031162047,-0.32356356437462097,-0.32123768086600224,-0.3407640392458331
Total Revenue,-0.4812496843678489,-0.48366645233936056,-0.48474344417263737,-0.48513310759912703
Total Revenue,-0.4812496843678489,-0.48366645233936056,-0.48474344417263737,-0.48513310759912703
Total Capitalization,-0.5192987024978823,-0.5210520886706831,-0.5231786967447822,-0.5202128553677402
Diluted Average Shares,-0.46532136870581015,-0.46465542943551896,-0.46267595893107183,-0.462219314860015
Diluted Average Shares,-0.46532136870581015,-0.46465542943551896,-0.46267595893107183,-0.462219314860015
Ordinary Shares Number,-0.46161336263273817,-0.46135439682471496,-0.459726419062819,-0.4586959509517266
Net Income,-0.3165630784811744,-0.3235664473512729,-0.32124056224617137,-0.3407669340288637
Net Income,-0.3165630784811744,-0.3235664473512729,-0.32124056224617137,-0.3407669340288637
Capital Stock,-0.2670130379712869,-0.26701263934697694,-0.2670102476011176,-0.26700875275995545
Diluted NI Availto Com Stockholders,-0.31385981047662426,-0.3208911719813521,-0.31855599025727416,-0.3381604094198901
Diluted NI Availto Com Stockholders,-0.31385981047662426,-0.3208911719813521,-0.31855599025727416,-0.3381604094198901
Tangible Book Value,-0.23239960954827452,-0.2360655521555416,-0.21246428804080694,-0.19774631143098395
Tax Rate For Calcs,0.4365604319829295,0.20639622512619485,-0.28101033057041896,-1.513065790803527
Tax Rate For Calcs,0.4365604319829295,0.20639622512619485,-0.28101033057041896,-1.513065790803527
