,2023-06-30CLX,2022-06-30CLX,2021-06-30CLX,2020-06-30CLX
Basic EPS,-0.27104681013465143,-0.14355645905841277,-0.04768773049320965,0.04265976239546342
Basic EPS,-0.27104681013465143,-0.14355645905841277,-0.04768773049320965,0.04265976239546342
Net Income Common Stockholders,-0.34938604697112974,-0.3099673485417468,-0.2787346417989769,-0.24989476339537078
Net Income Common Stockholders,-0.34938604697112974,-0.3099673485417468,-0.2787346417989769,-0.24989476339537078
Total Liabilities Net Minority Interest,-0.24014320608092643,-0.24067549869782562,-0.2393738769080643,-0.2411911571704467
Net Income Including Noncontrolling Interests,-0.35202422506324665,-0.31329578481095,-0.28231303260911267,-0.25482833307522473
Net Income Including Noncontrolling Interests,-0.35202422506324665,-0.31329578481095,-0.28231303260911267,-0.25482833307522473
Net Income From Continuing Operation Net Minority Interest,-0.34670999595202895,-0.3073718155339694,-0.2762029058097561,-0.24742193674989787
Net Income From Continuing Operation Net Minority Interest,-0.34670999595202895,-0.3073718155339694,-0.2762029058097561,-0.24742193674989787
Tax Effect Of Unusual Items,-0.3153676738096177,0.1296734731401126,0.006693447495286395,0.14239021835283208
Tax Effect Of Unusual Items,-0.3153676738096177,0.1296734731401126,0.006693447495286395,0.14239021835283208
Total Equity Gross Minority Interest,-0.5151404524463864,-0.5048742722626127,-0.5089988079962696,-0.49948528031863765
Share Issued,-0.4339939999076951,-0.4339939999076951,-0.4339939999076951,-0.41658078294808343
Invested Capital,-0.49484089698910927,-0.4861893849006175,-0.48738728657440866,-0.47918498761358863
Net Tangible Assets,-0.24480227439207197,-0.24964727739862033,-0.2563347463372364,-0.23862660154569695
Normalized Income,-0.3373146431740891,-0.33918913736578615,-0.284613837327103,-0.2798016125230607
Normalized Income,-0.3373146431740891,-0.33918913736578615,-0.284613837327103,-0.2798016125230607
Basic Average Shares,-0.3974886725404172,-0.39781596888294385,-0.39612654217372517,-0.39594914205529685
Basic Average Shares,-0.3974886725404172,-0.39781596888294385,-0.39612654217372517,-0.39594914205529685
Operating Revenue,-0.3772131687706678,-0.3822141537067459,-0.37806440024914917,-0.38905947351286696
Operating Revenue,-0.3772131687706678,-0.3822141537067459,-0.37806440024914917,-0.38905947351286696
Common Stock,-0.2305863591920564,-0.2305863591920564,-0.2305863591920564,-0.2276132376187646
Stockholders Equity,-0.5127602586658909,-0.502518534012981,-0.5069383259018856,-0.4917891081861229
Total Assets,-0.28277697619208836,-0.28197236496747635,-0.28130752188986263,-0.281764601505722
Net Income Continuous Operations,-0.34704201184596317,-0.30823494106903154,-0.2771892844474862,-0.24964878260579276
Net Income Continuous Operations,-0.34704201184596317,-0.30823494106903154,-0.2771892844474862,-0.24964878260579276
Pretax Income,-0.3499101242269721,-0.3113009947395929,-0.2806438810815926,-0.25082382172142165
Pretax Income,-0.3499101242269721,-0.3113009947395929,-0.2806438810815926,-0.25082382172142165
Diluted EPS,-0.27910870600982346,-0.1454454917925941,-0.0477075683531181,0.046332163388648005
Diluted EPS,-0.27910870600982346,-0.1454454917925941,-0.0477075683531181,0.046332163388648005
Common Stock Equity,-0.5228446587040809,-0.5121625617387795,-0.5167723952505912,-0.500971793489416
Net Income From Continuing And Discontinued Operation,-0.351728166052276,-0.3124679849490208,-0.2813608765988377,-0.2526369741303219
Net Income From Continuing And Discontinued Operation,-0.351728166052276,-0.3124679849490208,-0.2813608765988377,-0.2526369741303219
Total Revenue,-0.37706085886840585,-0.3820615454193337,-0.3779120395579255,-0.388906456797554
Total Revenue,-0.37706085886840585,-0.3820615454193337,-0.3779120395579255,-0.388906456797554
Total Capitalization,-0.4922387043221333,-0.48651138205796757,-0.48883326946235905,-0.47519433085730367
Diluted Average Shares,-0.39817430436442947,-0.3983611750780316,-0.39605553023711526,-0.39580274512635166
Diluted Average Shares,-0.39817430436442947,-0.3983611750780316,-0.39605553023711526,-0.39580274512635166
Ordinary Shares Number,-0.3948150059089165,-0.3952654243295431,-0.3955162381097346,-0.3932109123476897
Net Income,-0.3517310683610659,-0.3124708603096846,-0.2813637306076316,-0.25263980842307465
Net Income,-0.3517310683610659,-0.3124708603096846,-0.2813637306076316,-0.25263980842307465
Capital Stock,-0.2539828065292626,-0.2539828065292626,-0.2539828065292626,-0.2511924363599598
Diluted NI Availto Com Stockholders,-0.3491683676619965,-0.3097512356102033,-0.2785197699589423,-0.2496810375632214
Diluted NI Availto Com Stockholders,-0.3491683676619965,-0.3097512356102033,-0.2785197699589423,-0.2496810375632214
Tangible Book Value,-0.24244793765784203,-0.2475119361230883,-0.2545016804835691,-0.23599312271270415
Tax Rate For Calcs,1.790467531140191,0.4365604319829295,0.1251617991767595,0.2199352961177675
Tax Rate For Calcs,1.790467531140191,0.4365604319829295,0.1251617991767595,0.2199352961177675
