,2023-03-31TTWO,2022-03-31TTWO,2021-03-31TTWO,2020-03-31TTWO
Basic EPS,-0.6846375553583548,-0.15008155576703913,-0.07378811732771523,-0.15208927783123188
Basic EPS,-0.6846375553583548,-0.15008155576703913,-0.07378811732771523,-0.15208927783123188
Net Income Common Stockholders,-0.509793702528654,-0.31550863522191563,-0.29398577400280523,-0.31721396619773756
Net Income Common Stockholders,-0.509793702528654,-0.31550863522191563,-0.29398577400280523,-0.31721396619773756
Total Liabilities Net Minority Interest,-0.2348926384395442,-0.2518719412114146,-0.25203942209307867,-0.2532318324085821
Net Income Including Noncontrolling Interests,-0.5126473077483364,-0.3199170987895685,-0.2985664844698346,-0.3216087820458793
Net Income Including Noncontrolling Interests,-0.5126473077483364,-0.3199170987895685,-0.2985664844698346,-0.3216087820458793
Net Income From Continuing Operation Net Minority Interest,-0.5067899972251357,-0.31290178338826535,-0.29142288551782963,-0.3146036309954249
Net Income From Continuing Operation Net Minority Interest,-0.5067899972251357,-0.31290178338826535,-0.29142288551782963,-0.3146036309954249
Tax Effect Of Unusual Items,0.10792132317952187,0.1355920395847427,0.15079119007430022,0.13298019199632022
Tax Effect Of Unusual Items,0.10792132317952187,0.1355920395847427,0.15079119007430022,0.13298019199632022
Total Equity Gross Minority Interest,-0.2545872078702291,-0.4121264092357749,-0.42651134478195835,-0.45037488492948874
Share Issued,-0.39552413703585226,-0.42882815827232096,-0.4297386207590664,-0.43076911006271196
Invested Capital,-0.33885912529057705,-0.4771602010344166,-0.48510974274206675,-0.49829744226883366
Net Tangible Assets,-0.29618660205307085,-0.113212675129008,-0.11077642337072227,-0.12730371809850374
Normalized Income,-0.537992451417632,-0.3457133211056631,-0.3283415080826531,-0.3465858313530545
Normalized Income,-0.537992451417632,-0.3457133211056631,-0.3283415080826531,-0.3465858313530545
Basic Average Shares,-0.3725213248650246,-0.40305064757129627,-0.4036694851937207,-0.40470363162052775
Basic Average Shares,-0.3725213248650246,-0.40305064757129627,-0.4036694851937207,-0.40470363162052775
Operating Revenue,-0.41337454601590484,-0.44609552936894636,-0.4484364159347702,-0.45346985407096535
Operating Revenue,-0.41337454601590484,-0.44609552936894636,-0.4484364159347702,-0.45346985407096535
Common Stock,-0.24429457330319823,-0.24434766475986416,-0.2443502131497841,-0.24435201825931077
Stockholders Equity,-0.24383878321857572,-0.40334145215829925,-0.41790567231591114,-0.4420666323238866
Total Assets,-0.24531495752729882,-0.2805055549274911,-0.2824626187419017,-0.28654001823152186
Net Income Continuous Operations,-0.5079912082908052,-0.314869698330894,-0.2934757357638694,-0.31656481621925026
Net Income Continuous Operations,-0.5079912082908052,-0.314869698330894,-0.2934757357638694,-0.31656481621925026
Pretax Income,-0.5148202840780789,-0.32611685581117256,-0.3038930642038031,-0.3268451976820713
Pretax Income,-0.5148202840780789,-0.32611685581117256,-0.3038930642038031,-0.3268451976820713
Diluted EPS,-0.7139103870405734,-0.15337018828768675,-0.07359491023708743,-0.15548344068637812
Diluted EPS,-0.7139103870405734,-0.15337018828768675,-0.07359491023708743,-0.15548344068637812
Common Stock Equity,-0.2423601334767817,-0.40872107692925114,-0.42391152748519395,-0.4491113572332663
Net Income From Continuing And Discontinued Operation,-0.511490762445938,-0.3179869880434081,-0.29655067829725373,-0.3196854612457058
Net Income From Continuing And Discontinued Operation,-0.511490762445938,-0.3179869880434081,-0.29655067829725373,-0.3196854612457058
Total Revenue,-0.4132200785350615,-0.44593910958157534,-0.4482798564777543,-0.4533129942924701
Total Revenue,-0.4132200785350615,-0.44593910958157534,-0.4482798564777543,-0.4533129942924701
Total Capitalization,-0.35329524212674895,-0.47310119236015963,-0.48131909144843743,-0.4949519759470754
Diluted Average Shares,-0.3739021770220511,-0.40318991431751033,-0.4039373971719188,-0.4050001818849141
Diluted Average Shares,-0.3739021770220511,-0.40318991431751033,-0.4039373971719188,-0.4050001818849141
Ordinary Shares Number,-0.3644135139077735,-0.4005156404726353,-0.4006532160581477,-0.40177068049537284
Net Income,-0.5114937744155209,-0.3179898671923069,-0.29655354273230344,-0.31968834156043385
Net Income,-0.5114937744155209,-0.3179898671923069,-0.29655354273230344,-0.31968834156043385
Capital Stock,-0.266848406131298,-0.26689823417003555,-0.266900625915895,-0.26690232006921205
Diluted NI Availto Com Stockholders,-0.5095696491136544,-0.3152923020967174,-0.29377029612977984,-0.31699756530794204
Diluted NI Availto Com Stockholders,-0.5095696491136544,-0.3152923020967174,-0.29377029612977984,-0.31699756530794204
Tangible Book Value,-0.296154850958271,-0.1049104525809733,-0.10236408157805794,-0.11963841453988269
Tax Rate For Calcs,-0.44347918246929047,-1.2152062289889296,-0.8225731702333237,-0.9985810931237677
Tax Rate For Calcs,-0.44347918246929047,-1.2152062289889296,-0.8225731702333237,-0.9985810931237677
