,2023-04-30NTAP,2022-04-30NTAP,2021-04-30NTAP,2020-04-30NTAP
Basic EPS,-0.037147189656197795,-0.12096958583624448,-0.16664526279662922,-0.15309313886332826
Basic EPS,-0.037147189656197795,-0.12096958583624448,-0.16664526279662922,-0.15309313886332826
Net Income Common Stockholders,-0.20770542162590339,-0.2501466400626512,-0.27621587512617285,-0.26500736343219494
Net Income Common Stockholders,-0.20770542162590339,-0.2501466400626512,-0.27621587512617285,-0.26500736343219494
Total Liabilities Net Minority Interest,-0.22724342719326,-0.2250435616124813,-0.22717689061614757,-0.2329780484331349
Net Income Including Noncontrolling Interests,-0.21297663151225898,-0.25507819398007825,-0.2809387976324183,-0.26981998736643636
Net Income Including Noncontrolling Interests,-0.21297663151225898,-0.25507819398007825,-0.2809387976324183,-0.26981998736643636
Net Income From Continuing Operation Net Minority Interest,-0.20531877240469038,-0.24767329892509313,-0.27368928405780346,-0.262503667261614
Net Income From Continuing Operation Net Minority Interest,-0.20531877240469038,-0.24767329892509313,-0.27368928405780346,-0.262503667261614
Tax Effect Of Unusual Items,0.05280569123372303,0.11736114738645488,0.202340054807148,0.14228647162366276
Tax Effect Of Unusual Items,0.05280569123372303,0.11736114738645488,0.202340054807148,0.14228647162366276
Total Equity Gross Minority Interest,-0.4919286491569743,-0.5015927073358346,-0.5061989406734222,-0.5195359430822544
Share Issued,-0.3834592652852642,-0.3784840604396609,-0.37724025922826004,-0.3791059610453613
Invested Capital,-0.48151424086818256,-0.4827454175884679,-0.48535750873826256,-0.5087665039469316
Net Tangible Assets,-0.24606470475293316,-0.24159501888069487,-0.23494166968156158,-0.23920663711690343
Normalized Income,-0.22111379911980608,-0.27385832081234707,-0.3152196882289497,-0.29605474359351425
Normalized Income,-0.22111379911980608,-0.27385832081234707,-0.3152196882289497,-0.29605474359351425
Basic Average Shares,-0.333259515708986,-0.32913393155948983,-0.3298215289177392,-0.3243207500517443
Basic Average Shares,-0.333259515708986,-0.32913393155948983,-0.3298215289177392,-0.3243207500517443
Operating Revenue,-0.3954259756123423,-0.3962062711342835,-0.40638558089779003,-0.4122732652906196
Operating Revenue,-0.3954259756123423,-0.3962062711342835,-0.40638558089779003,-0.4122732652906196
Common Stock,-0.14415346773993046,-0.16379730670632273,-0.1909801325192763,-0.21434037345228332
Stockholders Equity,-0.48413829601981223,-0.49392280082214585,-0.4985864432980245,-0.5120896695517123
Total Assets,-0.2681466509671002,-0.2673609273299204,-0.26987675397589045,-0.27681983111597
Net Income Continuous Operations,-0.2077121093468505,-0.2498991508043536,-0.27581225935540155,-0.2646708745194437
Net Income Continuous Operations,-0.2077121093468505,-0.2498991508043536,-0.27581225935540155,-0.2646708745194437
Pretax Income,-0.2632750044016334,-0.26024068257200195,-0.27415671027341504,-0.2760400824435311
Pretax Income,-0.2632750044016334,-0.26024068257200195,-0.27415671027341504,-0.2760400824435311
Diluted EPS,-0.036612993259988395,-0.12642622020437175,-0.17186114677623626,-0.1565400668857238
Diluted EPS,-0.036612993259988395,-0.12642622020437175,-0.17186114677623626,-0.1565400668857238
Common Stock Equity,-0.4929920127206937,-0.5031972303571871,-0.5080613995110298,-0.5221452356884958
Net Income From Continuing And Discontinued Operation,-0.21061729147987296,-0.2528878379073395,-0.2788522388286616,-0.2676888007513782
Net Income From Continuing And Discontinued Operation,-0.21061729147987296,-0.2528878379073395,-0.2788522388286616,-0.2676888007513782
Total Revenue,-0.39527257903791957,-0.39605282800331254,-0.40623153041548477,-0.4121188635179955
Total Revenue,-0.39527257903791957,-0.39605282800331254,-0.40623153041548477,-0.4121188635179955
Total Capitalization,-0.4776022140914875,-0.48317474386202713,-0.4815752214278908,-0.5147524125617517
Diluted Average Shares,-0.33306243197664276,-0.32694666316784615,-0.32898525277077834,-0.3242285436972699
Diluted Average Shares,-0.33306243197664276,-0.32694666316784615,-0.32898525277077834,-0.3242285436972699
Ordinary Shares Number,-0.3353472995176675,-0.3299521785171838,-0.32860339826706286,-0.33062656864224427
Net Income,-0.21062009693038214,-0.25289067237228474,-0.2788550911155306,-0.2676916453756809
Net Income,-0.21062009693038214,-0.25289067237228474,-0.2788550911155306,-0.2676916453756809
Capital Stock,-0.1728627594645311,-0.19129913379742464,-0.21681108963105025,-0.23873542667557227
Diluted NI Availto Com Stockholders,-0.20749337226817122,-0.2499329042216993,-0.27600110337416317,-0.2647930370718961
Diluted NI Availto Com Stockholders,-0.20749337226817122,-0.2499329042216993,-0.27600110337416317,-0.2647930370718961
Tangible Book Value,-0.2437674302156879,-0.23909571332169308,-0.23214163092223514,-0.2365993760500928
Tax Rate For Calcs,0.24701343810091272,-0.6465652473428799,0.6689450464822817,-0.8034153847802483
Tax Rate For Calcs,0.24701343810091272,-0.6465652473428799,0.6689450464822817,-0.8034153847802483
