,2022-12-31ETN,2021-12-31ETN,2020-12-31ETN
Basic EPS,-0.022089274174752288,-0.06174178494255881,-0.15560279144356917
Basic EPS,-0.022089274174752288,-0.06174178494255881,-0.15560279144356917
Net Income Common Stockholders,-0.058090681261344354,-0.09813907135892834,-0.190577808250836
Net Income Common Stockholders,-0.058090681261344354,-0.09813907135892834,-0.190577808250836
Total Liabilities Net Minority Interest,-0.18865221246806832,-0.1901617610613059,-0.19317669971171147
Net Income Including Noncontrolling Interests,-0.06418446267198376,-0.1040372769961213,-0.19536143772008535
Net Income Including Noncontrolling Interests,-0.06418446267198376,-0.1040372769961213,-0.19536143772008535
Net Income From Continuing Operation Net Minority Interest,-0.056009640338700865,-0.09597622619474856,-0.18822614449141212
Net Income From Continuing Operation Net Minority Interest,-0.056009640338700865,-0.09597622619474856,-0.18822614449141212
Tax Effect Of Unusual Items,0.14627713870937,0.5847661287286069,0.2538920333783154
Tax Effect Of Unusual Items,0.14627713870937,0.5847661287286069,0.2538920333783154
Total Equity Gross Minority Interest,-0.012759957646878992,-0.03154616420017753,-0.07604298036327886
Share Issued,-0.26791013274612685,-0.26728823214042646,-0.26772356256441676
Invested Capital,-0.11307628856116343,-0.12473919235738021,-0.15808078894456767
Net Tangible Assets,-0.29598188361617445,-0.32836151638528993,-0.2585866491430969
Normalized Income,-0.0849006404933518,-0.18224499629908636,-0.2410244969182392
Normalized Income,-0.0849006404933518,-0.18224499629908636,-0.2410244969182392
Basic Average Shares,-0.2083230757150769,-0.2083230757150769,-0.20591648496120413
Basic Average Shares,-0.2083230757150769,-0.2083230757150769,-0.20591648496120413
Operating Revenue,-0.14023387195927892,-0.1601668757470512,-0.19155603651605205
Operating Revenue,-0.14023387195927892,-0.1601668757470512,-0.19155603651605205
Common Stock,-0.24407158918520133,-0.24407158918520133,-0.24407158918520133
Stockholders Equity,-0.00012536219970250698,-0.019176189307049857,-0.06437999186736365
Total Assets,-0.17296832037871876,-0.17669673013783657,-0.18501860116046734
Net Income Continuous Operations,-0.05849266300458424,-0.09855157477432015,-0.19006115134831061
Net Income Continuous Operations,-0.05849266300458424,-0.09855157477432015,-0.19006115134831061
Pretax Income,-0.07022935696473732,-0.07179883377316737,-0.19212538908613783
Pretax Income,-0.07022935696473732,-0.07179883377316737,-0.19212538908613783
Diluted EPS,-0.0181220347714389,-0.06038708274526635,-0.15812500618474234
Diluted EPS,-0.0181220347714389,-0.06038708274526635,-0.15812500618474234
Common Stock Equity,0.011832444755564128,-0.008037527278106832,-0.055184996919601284
Net Income From Continuing And Discontinued Operation,-0.06160420793141528,-0.10149154847721456,-0.19355855464267577
Net Income From Continuing And Discontinued Operation,-0.06160420793141528,-0.10149154847721456,-0.19355855464267577
Total Revenue,-0.1400957014923481,-0.16002751597193268,-0.19141480389796892
Total Revenue,-0.1400957014923481,-0.16002751597193268,-0.19141480389796892
Total Capitalization,-0.10247120537161027,-0.13884744137374405,-0.1612751537835703
Diluted Average Shares,-0.2102034319065957,-0.20965980801248046,-0.2080289363301347
Diluted Average Shares,-0.2102034319065957,-0.20965980801248046,-0.2080289363301347
Ordinary Shares Number,-0.2100456142814333,-0.20937122415637285,-0.20984329724391518
Net Income,-0.0616069110995801,-0.10149427902398671,-0.19356134838409506
Net Income,-0.0616069110995801,-0.10149427902398671,-0.19356134838409506
Capital Stock,-0.26663912836860026,-0.26663912836860026,-0.26663912836860026
Diluted NI Availto Com Stockholders,-0.05788457713229172,-0.09793137583027967,-0.19036643949167323
Diluted NI Availto Com Stockholders,-0.05788457713229172,-0.09793137583027967,-0.19036643949167323
Tangible Book Value,-0.2959408791921338,-0.3297840802028291,-0.25685536991107794
Tax Rate For Calcs,-0.5247136084187262,0.9104279166879711,-0.023767981730539414
Tax Rate For Calcs,-0.5247136084187262,0.9104279166879711,-0.023767981730539414
