,2023-06-30EL,2022-06-30EL,2021-06-30EL,2020-06-30EL
Basic EPS,-0.19073792756694202,0.0015014600795123369,0.06524663561763169,-0.23641360452732674
Basic EPS,-0.19073792756694202,0.0015014600795123369,0.06524663561763169,-0.23641360452732674
Net Income Common Stockholders,-0.2414568950414773,-0.06715824128343884,-0.006707841136142259,-0.2820090384736221
Net Income Common Stockholders,-0.2414568950414773,-0.06715824128343884,-0.006707841136142259,-0.2820090384736221
Total Liabilities Net Minority Interest,-0.19256539490949132,-0.20304490580469423,-0.2007785036468031,-0.20578538107451116
Net Income Including Noncontrolling Interests,-0.24595827095292452,-0.07130549846030927,-0.01296297717701076,-0.28518643301492824
Net Income Including Noncontrolling Interests,-0.24595827095292452,-0.07130549846030927,-0.01296297717701076,-0.28518643301492824
Net Income From Continuing Operation Net Minority Interest,-0.23900130388085639,-0.06505867864573053,-0.004731756598866081,-0.2794706140872946
Net Income From Continuing Operation Net Minority Interest,-0.23900130388085639,-0.06505867864573053,-0.004731756598866081,-0.2794706140872946
Tax Effect Of Unusual Items,-0.06785734792689525,-0.08146156917477801,-0.014746861964426454,-1.2743501245782582
Tax Effect Of Unusual Items,-0.06785734792689525,-0.08146156917477801,-0.014746861964426454,-1.2743501245782582
Total Equity Gross Minority Interest,-0.3336307740652376,-0.33317918256155254,-0.31764443483478644,-0.40754125016835924
Share Issued,-0.14514066327813865,-0.14620954499377656,-0.14783663412078085,-0.15014524919595768
Invested Capital,-0.3126267423868752,-0.3574981425843026,-0.34711632807811255,-0.3729876767273523
Net Tangible Assets,-0.2706991566594678,-0.19754643520848403,-0.20761175835589085,-0.17860997979556612
Normalized Income,-0.24561066308730317,-0.05331819879766362,0.013964850814947976,-0.1830146015093263
Normalized Income,-0.24561066308730317,-0.05331819879766362,0.013964850814947976,-0.1830146015093263
Basic Average Shares,-0.23637704793165087,-0.23493309347932723,-0.23293906114040405,-0.2345205350643776
Basic Average Shares,-0.23637704793165087,-0.23493309347932723,-0.23293906114040405,-0.2345205350643776
Operating Revenue,-0.22562302964444222,-0.1936309132448504,-0.22044470481701384,-0.2547599737932944
Operating Revenue,-0.22562302964444222,-0.1936309132448504,-0.22044470481701384,-0.2547599737932944
Common Stock,-0.24385922335853766,-0.24385922335853766,-0.24385922335853766,-0.24385922335853766
Stockholders Equity,-0.34922795877642127,-0.3490755521595625,-0.33484077414495256,-0.39952214233981825
Total Assets,-0.21678374570395437,-0.22624642700749048,-0.22223848095437598,-0.23806627922256612
Net Income Continuous Operations,-0.2407607115568826,-0.06575334076284887,-0.00729236639889054,-0.28006851873093597
Net Income Continuous Operations,-0.2407607115568826,-0.06575334076284887,-0.00729236639889054,-0.28006851873093597
Pretax Income,-0.22864188282894363,-0.057150383561153574,-0.026284006328695937,-0.2653676401462068
Pretax Income,-0.22864188282894363,-0.057150383561153574,-0.026284006328695937,-0.2653676401462068
Diluted EPS,-0.19510692316184136,0.0035388023151476794,0.06904962667458026,-0.24424004143141578
Diluted EPS,-0.19510692316184136,0.0035388023151476794,0.06904962667458026,-0.24424004143141578
Common Stock Equity,-0.3522808187670495,-0.3521218589907801,-0.33727501588722114,-0.4047375449359408
Net Income From Continuing And Discontinued Operation,-0.24423303760023207,-0.07063530390404908,-0.010427997419823762,-0.2846221057000666
Net Income From Continuing And Discontinued Operation,-0.24423303760023207,-0.07063530390404908,-0.010427997419823762,-0.2846221057000666
Total Revenue,-0.22595855354764044,-0.19356048855279964,-0.22055000958298449,-0.2546149700948012
Total Revenue,-0.22595855354764044,-0.19356048855279964,-0.22055000958298449,-0.2546149700948012
Total Capitalization,-0.320161048907784,-0.35400900751402486,-0.33921772478975293,-0.38642943534571383
Diluted Average Shares,-0.23731667362559392,-0.23459855415501765,-0.23235610559179223,-0.23323949441972952
Diluted Average Shares,-0.23731667362559392,-0.23459855415501765,-0.23235610559179223,-0.23323949441972952
Ordinary Shares Number,-0.2371426668295234,-0.23752326901245313,-0.23435104037146773,-0.23518307997850307
Net Income,-0.24423586612453616,-0.07063801327114387,-0.010430665460718795,-0.284624961947363
Net Income,-0.24423586612453616,-0.07063801327114387,-0.010430665460718795,-0.284624961947363
Capital Stock,-0.2664398162136501,-0.2664398162136501,-0.2664398162136501,-0.2664398162136501
Diluted NI Availto Com Stockholders,-0.24124350450421136,-0.06695177683749653,-0.006503778802797751,-0.28179403651915513
Diluted NI Availto Com Stockholders,-0.24124350450421136,-0.06695177683749653,-0.006503778802797751,-0.28179403651915513
Tangible Book Value,-0.2695153660741937,-0.19305612164117927,-0.20357640014292333,-0.17326373327349132
Tax Rate For Calcs,1.1541311945362784,0.20639622512619485,-0.7427468076670117,1.9393973120474899
Tax Rate For Calcs,1.1541311945362784,0.20639622512619485,-0.7427468076670117,1.9393973120474899
