,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Treasury Shares Number,68182125.0,68199625.0,68207883.0,68477429.0
Ordinary Shares Number,-0.3444502587654403,-0.3444626292460132,-0.3444684666990744,-0.34465900461658877
Share Issued,-0.35028452524491976,-0.35028452524491976,-0.35028452524491976,-0.35028452524491976
Net Debt,26014731000.0,26084771000.0,25618413000.0,26536006000.0
Total Debt,27534505000.0,27279113000.0,27588925000.0,26760170000.0
Tangible Book Value,0.25335085274015834,0.23841409536251823,0.23253566570032896,0.2295361978855916
Invested Capital,0.09736076098807596,0.08626105655150908,0.08830931180176693,0.07392235941775231
Working Capital,-519033000.0,-1188668000.0,-559087000.0,-2274421000.0
Net Tangible Assets,0.231487683792893,0.21713509914931234,0.21148657335721455,0.208604413956195
Capital Lease Obligations,,,,
Common Stock Equity,-0.1217859643518194,-0.13527827063479356,-0.1405882299157757,-0.14329763580750834
Total Capitalization,0.08009709460467104,0.06717207955915097,0.06658054681002956,0.051372035853308004
Total Equity Gross Minority Interest,-0.13652841138683083,-0.14928666959164802,-0.15495606771790824,-0.1588286789204992
Minority Interest,127540000.0,130479000.0,108694000.0,62907000.0
Stockholders Equity,-0.12796043214386538,-0.1409391434786817,-0.1460469751022834,-0.14865324538848518
Gains Losses Not Affecting Retained Earnings,-195453000.0,-193019000.0,-189727000.0,-191754000.0
Other Equity Adjustments,-195453000.0,-193019000.0,-189727000.0,-191754000.0
Treasury Stock,4957522000.0,4958795000.0,4959395000.0,4978994000.0
Retained Earnings,11192276000.0,10751778000.0,10586782000.0,10502041000.0
Additional Paid In Capital,7649370000.0,7634305000.0,7617777000.0,7632895000.0
Capital Stock,-0.26986076020742206,-0.26986076020742206,-0.26986076020742206,-0.26986076020742206
Common Stock,-0.2470421780357142,-0.2470421780357142,-0.2470421780357142,-0.2470421780357142
Total Liabilities Net Minority Interest,-0.08052270449888577,-0.08203200831726914,-0.08326536925894497,-0.08511948260507189
Total Non Current Liabilities Net Minority Interest,40884447000.0,40468409000.0,40211019000.0,39195852000.0
Other Non Current Liabilities,955309000.0,855748000.0,733737000.0,688720000.0
Employee Benefits,916981000.0,1100947000.0,1166724000.0,1213555000.0
Non Current Pension And Other Postretirement Benefit Plans,916981000.0,1100947000.0,1166724000.0,1213555000.0
Tradeand Other Payables Non Current,,,,
Non Current Deferred Liabilities,5268362000.0,5078083000.0,4947505000.0,5030057000.0
Non Current Deferred Taxes Liabilities,5268362000.0,5078083000.0,4947505000.0,5030057000.0
Long Term Debt And Capital Lease Obligation,24659343000.0,24321681000.0,24464263000.0,23623512000.0
Long Term Capital Lease Obligation,,,,
Long Term Debt,24659343000.0,24321681000.0,24464263000.0,23623512000.0
Current Liabilities,5848692000.0,5881282000.0,5825329000.0,6369447000.0
Other Current Liabilities,250123000.0,239889000.0,200028000.0,306276000.0
Current Deferred Liabilities,539942000.0,470058000.0,443837000.0,424723000.0
Current Deferred Revenue,441018000.0,434462000.0,429211000.0,424723000.0
Current Debt And Capital Lease Obligation,2875162000.0,2957432000.0,3124662000.0,3136658000.0
Current Capital Lease Obligation,,,,
Current Debt,2875162000.0,2957432000.0,3124662000.0,3136658000.0
Other Current Borrowings,,,,
Pensionand Other Post Retirement Benefit Plans Current,53533000.0,89074000.0,87588000.0,104845000.0
Payables And Accrued Expenses,2129932000.0,2124829000.0,1969214000.0,2396945000.0
Current Accrued Expenses,261835000.0,202071000.0,225891000.0,195264000.0
Payables,1868097000.0,1922758000.0,1743323000.0,2201681000.0
Total Tax Payable,531990000.0,399011000.0,357374000.0,424091000.0
Income Tax Payable,,,,
Accounts Payable,1336107000.0,1523747000.0,1385949000.0,1777590000.0
Total Assets,-0.09058132439833154,-0.09357190928855004,-0.09541287318790781,-0.09759098536150297
Total Non Current Assets,55222488000.0,55024622000.0,53937034000.0,54500165000.0
Other Non Current Assets,733710000.0,756223000.0,768490000.0,693759000.0
Defined Pension Benefit,,,,
Non Current Deferred Assets,223097000.0,310997000.0,323614000.0,325185000.0
Non Current Deferred Taxes Assets,50895000.0,69912000.0,82529000.0,84100000.0
Non Current Accounts Receivable,,,,
Investments And Advances,4483317000.0,4560006000.0,4349892000.0,4121864000.0
Investmentin Financial Assets,,,,
Long Term Equity Investment,,,,
