,2023-05-31DRI,2022-05-31DRI,2021-05-31DRI,2020-05-31DRI
Basic EPS,0.07277559335835447,0.04265976239546342,-0.0893479633252089,-0.3533634147665536
Basic EPS,0.07277559335835447,0.04265976239546342,-0.0893479633252089,-0.3533634147665536
Net Income Common Stockholders,-0.24449200888220615,-0.24815681439113602,-0.2888978653237411,-0.3747500273662663
Net Income Common Stockholders,-0.24449200888220615,-0.24815681439113602,-0.2888978653237411,-0.3747500273662663
Total Liabilities Net Minority Interest,-0.22981756102029594,-0.23024339511381528,-0.23063679262599235,-0.23158535470345099
Net Income Including Noncontrolling Interests,-0.2494688166661166,-0.2531042928317354,-0.29351929419179335,-0.378684383611118
Net Income Including Noncontrolling Interests,-0.2494688166661166,-0.2531042928317354,-0.29351929419179335,-0.378684383611118
Net Income From Continuing Operation Net Minority Interest,-0.24182912835180315,-0.24544874367461503,-0.28595575820733254,-0.3716199875138801
Net Income From Continuing Operation Net Minority Interest,-0.24182912835180315,-0.24544874367461503,-0.28595575820733254,-0.3716199875138801
Tax Effect Of Unusual Items,0.13959635392314718,0.13667779349358486,0.13095975169740623,-0.15991894423275752
Tax Effect Of Unusual Items,0.13959635392314718,0.13667779349358486,0.13095975169740623,-0.15991894423275752
Total Equity Gross Minority Interest,-0.4605430396508626,-0.46064238978167327,-0.44213014874061035,-0.45663827844899907
Share Issued,-0.440008307380333,-0.4382199065647191,-0.4339807770570167,-0.4345211601751231
Invested Capital,-0.4884387780436254,-0.48851531065056203,-0.4782682600826734,-0.48181371628663033
Net Tangible Assets,-0.17576098154875774,-0.17568591812189574,-0.15450438385101387,-0.1715710775402779
Normalized Income,-0.27413980443381347,-0.276878711769827,-0.3175945413040632,-0.3693793776791435
Normalized Income,-0.27413980443381347,-0.276878711769827,-0.3175945413040632,-0.3693793776791435
Basic Average Shares,-0.39865002447850034,-0.3945932000648291,-0.39280544693338076,-0.39809994659190084
Basic Average Shares,-0.39865002447850034,-0.3945932000648291,-0.39280544693338076,-0.39809994659190084
Operating Revenue,-0.3222590832390408,-0.3374712991190684,-0.3806340552748148,-0.36980213471113926
Operating Revenue,-0.3222590832390408,-0.3374712991190684,-0.3806340552748148,-0.36980213471113926
Common Stock,-0.007623477777837674,-0.008133155761830555,-0.0016984712139204415,-0.01033114206779985
Stockholders Equity,-0.45236151640475686,-0.45246210477188364,-0.43371913903059106,-0.4484080887634401
Total Assets,-0.26654687231159224,-0.2669461559099091,-0.26498071356171354,-0.2676627509770871
Net Income Continuous Operations,-0.24407809018781387,-0.2476833922470901,-0.288030227445171,-0.3733557095147085
Net Income Continuous Operations,-0.24407809018781387,-0.2476833922470901,-0.288030227445171,-0.3733557095147085
Pretax Income,-0.25757257199767086,-0.26039763025284496,-0.3144922642500673,-0.3916582073312114
Pretax Income,-0.25757257199767086,-0.26039763025284496,-0.3144922642500673,-0.3916582073312114
Diluted EPS,0.07961588866803712,0.0479171026876665,-0.09050092942661843,-0.36522374125649687
Diluted EPS,0.07961588866803712,0.0479171026876665,-0.09050092942661843,-0.36522374125649687
Common Stock Equity,-0.4598488993685306,-0.45995381282086834,-0.4404049395352615,-0.4557254827721032
Net Income From Continuing And Discontinued Operation,-0.24725594611329424,-0.2509060140689004,-0.29148323000149806,-0.3769901483979489
Net Income From Continuing And Discontinued Operation,-0.24725594611329424,-0.2509060140689004,-0.29148323000149806,-0.3769901483979489
Total Revenue,-0.3221100521875013,-0.33732136042645827,-0.38048154126441286,-0.3696502669902756
Total Revenue,-0.3221100521875013,-0.33732136042645827,-0.38048154126441286,-0.3696502669902756
Total Capitalization,-0.48476050696339673,-0.4848396231268057,-0.4742466568129928,-0.48255557388752274
Diluted Average Shares,-0.39904478212488154,-0.39489964993225274,-0.3929969663028493,-0.39918068809841034
Diluted Average Shares,-0.39904478212488154,-0.39489964993225274,-0.3929969663028493,-0.39918068809841034
Ordinary Shares Number,-0.3966691815370491,-0.3947298365056325,-0.39013291691326907,-0.39071890932951686
Net Income,-0.2472587767125179,-0.2509088471735249,-0.29148609095825934,-0.37699306804652344
Net Income,-0.2472587767125179,-0.2509088471735249,-0.29148609095825934,-0.37699306804652344
Capital Stock,-0.044724975047047415,-0.04520332421892789,-0.03916416592393683,-0.04726620502266247
Diluted NI Availto Com Stockholders,-0.2442784977388702,-0.2479431576197238,-0.288682589628526,-0.37453134017072215
Diluted NI Availto Com Stockholders,-0.2442784977388702,-0.2479431576197238,-0.288682589628526,-0.37453134017072215
Tangible Book Value,-0.17028595952808243,-0.17020750321383213,-0.1480685578108399,-0.16590667071447507
Tax Rate For Calcs,-0.9444248091574773,-0.8767294541996141,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,-0.9444248091574773,-0.8767294541996141,1.0593576975952699,1.0593576975952699
