,2023-06-30AMCR,2022-06-30AMCR,2021-06-30AMCR,2020-06-30AMCR
Basic EPS,-0.29619352898866547,-0.3050776991227183,-0.3014637994071714,-0.3126066568634411
Basic EPS,-0.29619352898866547,-0.3050776991227183,-0.3014637994071714,-0.3126066568634411
Net Income Common Stockholders,-0.23704905336407026,-0.2671483151040783,-0.2501466400626512,-0.2910765984957166
Net Income Common Stockholders,-0.23704905336407026,-0.2671483151040783,-0.2501466400626512,-0.2910765984957166
Total Liabilities Net Minority Interest,-0.2095530147535008,-0.2080060393356375,-0.21182357544746142,-0.2143685995220107
Net Income Including Noncontrolling Interests,-0.2399616092364399,-0.2703197091761434,-0.2533291676461036,-0.29518086920906933
Net Income Including Noncontrolling Interests,-0.2399616092364399,-0.2703197091761434,-0.2533291676461036,-0.29518086920906933
Net Income From Continuing Operation Net Minority Interest,-0.23372269820175573,-0.26426320248798085,-0.24742193674989787,-0.2875142036935432
Net Income From Continuing Operation Net Minority Interest,-0.23372269820175573,-0.26426320248798085,-0.24742193674989787,-0.2875142036935432
Tax Effect Of Unusual Items,0.18094487345005225,-0.040817413539072124,0.07814931066825936,0.06297234707958091
Tax Effect Of Unusual Items,0.18094487345005225,-0.040817413539072124,0.07814931066825936,0.06297234707958091
Total Equity Gross Minority Interest,-0.4036876693369134,-0.40215225822438416,-0.3816801100573281,-0.385714327490248
Share Issued,0.38520988336045026,0.41070780819416736,0.4411809378734877,0.46014890634735045
Invested Capital,-0.3613247729311355,-0.36465227758055546,-0.35664962889870055,-0.35986067088539075
Net Tangible Assets,-0.28301638261273515,-0.2828799036548042,-0.27025560004619226,-0.27765958351394576
Normalized Income,-0.2759680294650826,-0.2738998444178593,-0.26921102983268425,-0.30833658264897834
Normalized Income,-0.2759680294650826,-0.2738998444178593,-0.26921102983268425,-0.30833658264897834
Basic Average Shares,0.526924779460966,0.5551162711491899,0.5839953601956631,0.6176876307498819
Basic Average Shares,0.526924779460966,0.5551162711491899,0.5839953601956631,0.6176876307498819
Operating Revenue,-0.24766637813928294,-0.25032647650953727,-0.2801727802237906,-0.2871422379538569
Operating Revenue,-0.24766637813928294,-0.25032647650953727,-0.2801727802237906,-0.2871422379538569
Common Stock,-0.24300976005188285,-0.24290357713855099,-0.24290357713855099,-0.24279739422521915
Stockholders Equity,-0.39674834191298847,-0.39504138780417014,-0.3742531252646327,-0.378459547889935
Total Assets,-0.24100518782701763,-0.23940729793025287,-0.24030634709202595,-0.24312437513691135
Net Income Continuous Operations,-0.23475187479142223,-0.26517161091656544,-0.24814657341442767,-0.28908177387912654
Net Income Continuous Operations,-0.23475187479142223,-0.26517161091656544,-0.24814657341442767,-0.28908177387912654
Pretax Income,-0.24391812376432945,-0.25814804682742853,-0.2499867674235923,-0.28849126512374285
Pretax Income,-0.24391812376432945,-0.25814804682742853,-0.2499867674235923,-0.28849126512374285
Diluted EPS,-0.30526020444362917,-0.31455851499787124,-0.3107018293702595,-0.322324717563062
Diluted EPS,-0.30526020444362917,-0.31455851499787124,-0.3107018293702595,-0.322324717563062
Common Stock Equity,-0.4018444770078383,-0.40006412751362136,-0.3783820140304796,-0.38276930385551416
Net Income From Continuing And Discontinued Operation,-0.23896489828286235,-0.26944484719050144,-0.2526369741303219,-0.29365320167270037
Net Income From Continuing And Discontinued Operation,-0.23896489828286235,-0.26944484719050144,-0.2526369741303219,-0.29365320167270037
Total Revenue,-0.24752179768213767,-0.2501817373368865,-0.2800262602631684,-0.28699530215861035
Total Revenue,-0.24752179768213767,-0.2501817373368865,-0.2800262602631684,-0.28699530215861035
Total Capitalization,-0.3549549616417399,-0.359375147293063,-0.35029398766699843,-0.3553849407907013
Diluted Average Shares,0.5204270817843035,0.5476082764900662,0.5747894711958288,0.6060478451074558
Diluted Average Shares,0.5204270817843035,0.5476082764900662,0.5747894711958288,0.6060478451074558
Ordinary Shares Number,0.49752450493200545,0.524500109934424,0.5568708359373263,0.5749444912889468
Net Income,-0.23896772319112394,-0.26944769302015165,-0.25263980842307465,-0.2936560641189267
Net Income,-0.23896772319112394,-0.26944769302015165,-0.25263980842307465,-0.2936560641189267
Capital Stock,-0.2656425675938493,-0.2655429115163742,-0.2655429115163742,-0.2654432554388991
Diluted NI Availto Com Stockholders,-0.2368358379808479,-0.26693390366895836,-0.2499329042216993,-0.29086123622435994
Diluted NI Availto Com Stockholders,-0.2368358379808479,-0.26693390366895836,-0.2499329042216993,-0.29086123622435994
Tangible Book Value,-0.28238933400344657,-0.2822466861593551,-0.26905176058089647,-0.2767904061228573
Tax Rate For Calcs,-0.5111745374271536,1.0458186266036973,0.3688650770250664,0.4636385739660748
Tax Rate For Calcs,-0.5111745374271536,1.0458186266036973,0.3688650770250664,0.4636385739660748
