,2023-03-31QRVO,2022-03-31QRVO,2021-03-31QRVO,2020-03-31QRVO
Basic EPS,-0.28108542045561513,0.1465591784452311,-0.006676242853202674,-0.18538308185648197
Basic EPS,-0.28108542045561513,0.1465591784452311,-0.006676242853202674,-0.18538308185648197
Net Income Common Stockholders,-0.3551600676918657,-0.23801210380141688,-0.2757611118033981,-0.3260465252892594
Net Income Common Stockholders,-0.3551600676918657,-0.23801210380141688,-0.2757611118033981,-0.3260465252892594
Total Liabilities Net Minority Interest,-0.25165358064093996,-0.250960165544027,-0.2524730783929448,-0.25382056051848084
Net Income Including Noncontrolling Interests,-0.3592512018752301,-0.24304077009740233,-0.28048767376870526,-0.3303706543963779
Net Income Including Noncontrolling Interests,-0.3592512018752301,-0.24304077009740233,-0.28048767376870526,-0.3303706543963779
Net Income From Continuing Operation Net Minority Interest,-0.3524722224562053,-0.23556354909179827,-0.2732354496504884,-0.3234181483929974
Net Income From Continuing Operation Net Minority Interest,-0.3524722224562053,-0.23556354909179827,-0.2732354496504884,-0.3234181483929974
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.40932371193950445,-0.3897419817933143,-0.38744768621189246,-0.39758621653062454
Share Issued,-0.4539523208420121,-0.4491922936059811,-0.4453029272179307,-0.44401683676534226
Invested Capital,-0.44153648529599426,-0.4307312624606887,-0.43453029115645464,-0.44293533497556387
Net Tangible Assets,-0.16467964079903405,-0.14767026827210103,-0.1383636316518323,-0.1556303693736836
Normalized Income,-0.3864651807497756,-0.26651083487671673,-0.3051641533967811,-0.3566541979637835
Normalized Income,-0.3864651807497756,-0.26651083487671673,-0.3051641533967811,-0.3566541979637835
Basic Average Shares,-0.4121915668518633,-0.40937448047511565,-0.40507424659662417,-0.4036522952597645
Basic Average Shares,-0.4121915668518633,-0.40937448047511565,-0.40507424659662417,-0.4036522952597645
Operating Revenue,-0.44494993140481265,-0.4258625728889442,-0.43704220377759023,-0.45080672318856896
Operating Revenue,-0.44494993140481265,-0.4258625728889442,-0.43704220377759023,-0.45080672318856896
Common Stock,0.16127892170338956,0.1840418837489049,0.2062225386977084,0.21106840831343404
Stockholders Equity,-0.400503823840329,-0.3806780395675782,-0.3783551493573868,-0.38862003981605925
Total Assets,-0.27995553704891274,-0.27686866686203476,-0.27795508844617034,-0.2804512266710011
Net Income Continuous Operations,-0.35428366162113717,-0.23783728728638684,-0.2753602195728999,-0.32534447783818354
Net Income Continuous Operations,-0.35428366162113717,-0.23783728728638684,-0.2753602195728999,-0.32534447783818354
Pretax Income,-0.36177233457687363,-0.2512335598002091,-0.290334877214712,-0.33347362140300757
Pretax Income,-0.36177233457687363,-0.2512335598002091,-0.290334877214712,-0.33347362140300757
Diluted EPS,-0.2896749680032803,0.1467116523264882,-0.008612398977327691,-0.19457861006216853
Diluted EPS,-0.2896749680032803,0.1467116523264882,-0.008612398977327691,-0.19457861006216853
Common Stock Equity,-0.40576143664684705,-0.3850831859428016,-0.38266041640876963,-0.39336667526006414
Net Income From Continuing And Discontinued Operation,-0.35747896727662765,-0.2408020991538508,-0.27839930427925635,-0.32848250131438217
Net Income From Continuing And Discontinued Operation,-0.35747896727662765,-0.2408020991538508,-0.27839930427925635,-0.32848250131438217
Total Revenue,-0.4447935799698612,-0.42570736030652123,-0.43688632415939627,-0.4506500223065148
Total Revenue,-0.4447935799698612,-0.42570736030652123,-0.43688632415939627,-0.4506500223065148
Total Capitalization,-0.4362749057823909,-0.42510492464983785,-0.42903219940395754,-0.4378395311087976
Diluted Average Shares,-0.4125545154235132,-0.40676016424211225,-0.40372266573374327,-0.40149584635747365
Diluted Average Shares,-0.4125545154235132,-0.40676016424211225,-0.40372266573374327,-0.40149584635747365
Ordinary Shares Number,-0.41179009458339616,-0.40662831256618337,-0.4024106767240552,-0.40101603794543017
Net Income,-0.35748187353275834,-0.24080492532316417,-0.27840215625523174,-0.3284853876673846
Net Income,-0.35748187353275834,-0.24080492532316417,-0.27840215625523174,-0.3284853876673846
Capital Stock,0.11379535633457995,0.13515912794330454,0.15597638562315566,0.1605243900308868
Diluted NI Availto Com Stockholders,-0.3549421589409441,-0.2377988501495382,-0.2755463581222813,-0.325829773420787
Diluted NI Availto Com Stockholders,-0.3549421589409441,-0.2377988501495382,-0.2755463581222813,-0.325829773420787
Tangible Book Value,-0.1587037391509996,-0.14092553834188284,-0.13119823920544316,-0.14924543818655533
Tax Rate For Calcs,-0.2674712595788467,-0.9038075961827594,-1.3641360098962283,-0.5111745374271536
Tax Rate For Calcs,-0.2674712595788467,-0.9038075961827594,-1.3641360098962283,-0.5111745374271536
