,2023-10-31SNPS,2022-10-31SNPS,2021-10-31SNPS,2020-10-31SNPS
Basic EPS,,-0.008537150241451304,-0.08282286661658253,-0.11093097551528079
Basic EPS,,-0.008537150241451304,-0.08282286661658253,-0.11093097551528079
Net Income Common Stockholders,-0.21326081339943995,-0.24415273101137946,-0.27275055593772907,-0.28448410454465295
Net Income Common Stockholders,-0.21326081339943995,-0.24415273101137946,-0.27275055593772907,-0.28448410454465295
Total Liabilities Net Minority Interest,-0.24599913181794938,-0.24720482865619497,-0.2488914477152729,-0.250287143907999
Net Income Including Noncontrolling Interests,-0.2199571205416044,-0.2499015757533229,-0.2776457558369012,-0.28925329403277666
Net Income Including Noncontrolling Interests,-0.2199571205416044,-0.2499015757533229,-0.2776457558369012,-0.28925329403277666
Net Income From Continuing Operation Net Minority Interest,-0.21086281654079722,-0.24169163324197132,-0.2702310432514669,-0.2819406245018509
Net Income From Continuing Operation Net Minority Interest,-0.21086281654079722,-0.24169163324197132,-0.2702310432514669,-0.2819406245018509
Tax Effect Of Unusual Items,0.12184912493014949,0.1334209558457967,0.13114639195630326,0.11282533039091544
Tax Effect Of Unusual Items,0.12184912493014949,0.1334209558457967,0.13114639195630326,0.11282533039091544
Total Equity Gross Minority Interest,-0.34063643348630496,-0.3594560879169764,-0.3672911101876115,-0.3789294059961819
Share Issued,-0.417502104441305,-0.4175014825406993,-0.42011284318403536,-0.4175014825406993
Invested Capital,-0.4379674204465497,-0.448429710652686,-0.4507810252631056,-0.4567690695300157
Net Tangible Assets,-0.12719910697724968,-0.14138380863162556,-0.1361575175363576,-0.141352316112083
Normalized Income,-0.2316877445136335,-0.27196585657111044,-0.29867738523133097,-0.31122351132221937
Normalized Income,-0.2316877445136335,-0.27196585657111044,-0.29867738523133097,-0.31122351132221937
Basic Average Shares,,-0.3772643714422287,-0.3774734010391365,-0.37854811571008024
Basic Average Shares,,-0.3772643714422287,-0.3774734010391365,-0.37854811571008024
Operating Revenue,-0.4046366726232826,-0.4181336038722029,-0.4336925015058312,-0.44289488127586724
Operating Revenue,-0.4046366726232826,-0.4181336038722029,-0.4336925015058312,-0.44289488127586724
Common Stock,-0.244334816627351,-0.24433449807861102,-0.24433375479821767,-0.24433407334695767
Stockholders Equity,-0.332088066793896,-0.35133955245299964,-0.3580633666129285,-0.3698819815678295
Total Assets,-0.2662007346067921,-0.2696573293176555,-0.27217250245310043,-0.27490061802677357
Net Income Continuous Operations,-0.21470677089414422,-0.24471202246656992,-0.2725125316824688,-0.28414363671481163
Net Income Continuous Operations,-0.21470677089414422,-0.24471202246656992,-0.2725125316824688,-0.28414363671481163
Pretax Income,-0.23860471234528313,-0.25809426608879305,-0.2905301201296807,-0.30804077288133475
Pretax Income,-0.23860471234528313,-0.25809426608879305,-0.2905301201296807,-0.30804077288133475
Diluted EPS,,-0.010197338276346234,-0.08838767702792706,-0.1169165844102606
Diluted EPS,,-0.010197338276346234,-0.08838767702792706,-0.1169165844102606
Common Stock Equity,-0.33440394799215434,-0.35448320646726156,-0.361496130292803,-0.37382292047925314
Net Income From Continuing And Discontinued Operation,-0.21615034294577326,-0.2469180326056515,-0.27540085498445344,-0.2870872186049301
Net Income From Continuing And Discontinued Operation,-0.21615034294577326,-0.2469180326056515,-0.27540085498445344,-0.2870872186049301
Total Revenue,-0.40448272649007355,-0.4179788524408554,-0.43353682174855035,-0.4427386524560505
Total Revenue,-0.40448272649007355,-0.4179788524408554,-0.43353682174855035,-0.4427386524560505
Total Capitalization,-0.43258535790014896,-0.4434008298239664,-0.44712131900576757,-0.4524875275814696
Diluted Average Shares,,-0.37622277152005557,-0.3756417734832199,-0.3767521252869503
Diluted Average Shares,,-0.37622277152005557,-0.3756417734832199,-0.3767521252869503
Ordinary Shares Number,-0.3757749643446672,-0.3755578107243977,-0.37792559445348495,-0.375393933924008
Net Income,-0.2161531521941602,-0.2469208629729319,-0.27540370490229793,-0.28709007654427604
Net Income,-0.2161531521941602,-0.2469208629729319,-0.27540370490229793,-0.28709007654427604
Capital Stock,-0.26688617578466106,-0.2668858768164286,-0.2668851792238863,-0.2668854781921187
Diluted NI Availto Com Stockholders,-0.21304854328756,-0.24393923334990045,-0.2725359218868241,-0.28426900423868834
Diluted NI Availto Com Stockholders,-0.21304854328756,-0.24393923334990045,-0.2725359218868241,-0.28426900423868834
Tangible Book Value,-0.1195290749673866,-0.13435492900930374,-0.128892408129627,-0.13432201301927965
Tax Rate For Calcs,-1.7296909266686888,-0.9308857381659046,-1.7699967410106006,1.0593576975952699
Tax Rate For Calcs,-1.7296909266686888,-0.9308857381659046,-1.7699967410106006,1.0593576975952699
