,2022-12-31SPG,2021-12-31SPG,2020-12-31SPG
Basic EPS,-0.004521706113065874,0.011540070400476022,-0.1515873473151837
Basic EPS,-0.004521706113065874,0.011540070400476022,-0.1515873473151837
Net Income Common Stockholders,-0.09912164223798918,-0.0852563354575376,-0.22845665867480025
Net Income Common Stockholders,-0.09912164223798918,-0.0852563354575376,-0.22845665867480025
Total Liabilities Net Minority Interest,-0.1418754060387369,-0.14108831575832187,-0.13380275185717333
Net Income Including Noncontrolling Interests,-0.06576046032934738,-0.051228300242161406,-0.21256136268839243
Net Income Including Noncontrolling Interests,-0.06576046032934738,-0.051228300242161406,-0.21256136268839243
Net Income From Continuing Operation Net Minority Interest,-0.096537392250872,-0.08270040723072286,-0.22560822446210207
Net Income From Continuing Operation Net Minority Interest,-0.096537392250872,-0.08270040723072286,-0.22560822446210207
Tax Effect Of Unusual Items,0.14203352516339518,0.18869724430401624,0.03390514781447213
Tax Effect Of Unusual Items,0.14203352516339518,0.18869724430401624,0.03390514781447213
Total Equity Gross Minority Interest,-0.4116991735671886,-0.39433295133807733,-0.41668633939118466
Share Issued,-0.3020441307148518,-0.3020427693744259,-0.30207919471480243
Invested Capital,-0.0747945121962147,-0.06508924593534465,-0.04714224978355891
Net Tangible Assets,-0.07950394202808206,-0.0724267574250942,-0.0834699523060762
Normalized Income,-0.1320461819296214,-0.14923071812536146,-0.24362602043944348
Normalized Income,-0.1320461819296214,-0.14923071812536146,-0.24362602043944348
Basic Average Shares,-0.2570620392598664,-0.2565325892940144,-0.270180709257906
Basic Average Shares,-0.2570620392598664,-0.2565325892940144,-0.270180709257906
Operating Revenue,-0.4191881200681391,-0.42236032284264563,-0.43023338052110904
Operating Revenue,-0.4191881200681391,-0.42236032284264563,-0.43023338052110904
Common Stock,-0.24449271061947547,-0.24449271061947547,-0.24449271061947547
Stockholders Equity,-0.4237997848536608,-0.41700464439704205,-0.42681902089627993
Total Assets,-0.18053365286426992,-0.17763967783031961,-0.1738263985858339
Net Income Continuous Operations,-0.060197044516287226,-0.04563537971978966,-0.20729599740084237
Net Income Continuous Operations,-0.060197044516287226,-0.04563537971978966,-0.20729599740084237
Pretax Income,-0.1094770542495731,-0.08959607299004076,-0.24164897419470127
Pretax Income,-0.1094770542495731,-0.08959607299004076,-0.24164897419470127
Diluted EPS,0.0019538630161291368,0.018859882205660136,-0.15284187518801393
Diluted EPS,0.0019538630161291368,0.018859882205660136,-0.15284187518801393
Common Stock Equity,-0.4313763739546692,-0.42429948471515694,-0.43454628622912245
Net Income From Continuing And Discontinued Operation,-0.10205160185940636,-0.08824205266214122,-0.23086651383318002
Net Income From Continuing And Discontinued Operation,-0.10205160185940636,-0.08824205266214122,-0.23086651383318002
Total Revenue,-0.4142566215526551,-0.41735381982078257,-0.426384953334172
Total Revenue,-0.4142566215526551,-0.41735381982078257,-0.426384953334172
Total Capitalization,-0.05643995957120798,-0.055001008550459744,-0.03855836510585268
Diluted Average Shares,-0.25979756023686257,-0.2592743222387766,-0.2727623105816437
Diluted Average Shares,-0.25979756023686257,-0.2592743222387766,-0.2727623105816437
Ordinary Shares Number,-0.25782359802900306,-0.2567001760294131,-0.2567798950117064
Net Income,-0.10205433279059827,-0.08824477411448044,-0.23086933318272337
Net Income,-0.10205433279059827,-0.08824477411448044,-0.23086933318272337
Capital Stock,-0.26290511480168577,-0.26287242760827395,-0.2628397404148621
Diluted NI Availto Com Stockholders,-0.098913907665002,-0.08504915184910991,-0.22824378472686166
Diluted NI Availto Com Stockholders,-0.098913907665002,-0.08504915184910991,-0.22824378472686166
Tangible Book Value,-0.07115572889557575,-0.06377035073950733,-0.0753243981673821
Tax Rate For Calcs,-2.150322784234867,-1.8154067851163351,1.0593576975952699
Tax Rate For Calcs,-2.150322784234867,-1.8154067851163351,1.0593576975952699
