,2022-12-31MRNA,2021-12-31MRNA,2020-12-31MRNA
Basic EPS,0.7353238745419571,1.1895709915655632,-0.4301587837219257
Basic EPS,0.7353238745419571,1.1895709915655632,-0.4301587837219257
Net Income Common Stockholders,0.6849454872158428,1.1685486883942153,-0.46222679391275
Net Income Common Stockholders,0.6849454872158428,1.1685486883942153,-0.46222679391275
Total Liabilities Net Minority Interest,-0.235244450591026,-0.21948775742359591,-0.2433910227512254
Net Income Including Noncontrolling Interests,0.6725304152886402,1.1522633526074118,-0.46546107586674784
Net Income Including Noncontrolling Interests,0.6725304152886402,1.1522633526074118,-0.46546107586674784
Net Income From Continuing Operation Net Minority Interest,0.6855087764873414,1.168124152862257,-0.45932025043950925
Net Income From Continuing Operation Net Minority Interest,0.6855087764873414,1.168124152862257,-0.45932025043950925
Tax Effect Of Unusual Items,0.12883093260040063,0.13619192844901762,0.1359644425032954
Tax Effect Of Unusual Items,0.12883093260040063,0.13619192844901762,0.1359644425032954
Total Equity Gross Minority Interest,0.048897335656254655,-0.10097083136669423,-0.4497198966125439
Share Issued,-0.2758704604990922,-0.2646762495964847,-0.2672958951996899
Invested Capital,-0.22238481629460735,-0.3052064070186688,-0.4979354763130698
Net Tangible Assets,0.46717432939415865,0.29732626624910397,-0.09791679591889792
Normalized Income,0.680808572325059,1.173626841956832,-0.4960967840835419
Normalized Income,0.680808572325059,1.173626841956832,-0.4960967840835419
Basic Average Shares,-0.2115547832988489,-0.20536640707460463,-0.2204935489560906
Basic Average Shares,-0.2115547832988489,-0.20536640707460463,-0.2204935489560906
Operating Revenue,-0.17352056956572784,-0.19371958319052554,-0.5033905014663972
Operating Revenue,-0.17352056956572784,-0.19371958319052554,-0.5033905014663972
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,0.06342819703040825,-0.08830783071419193,-0.4414034806526107
Total Assets,-0.20755527048457767,-0.21204673877595667,-0.27751867185096174
Net Income Continuous Operations,0.6795927863527998,1.1602997275896305,-0.4607091739925888
Net Income Continuous Operations,0.6795927863527998,1.1602997275896305,-0.4607091739925888
Pretax Income,0.6270368731271192,1.0152208037454848,-0.4526585392855261
Pretax Income,0.6270368731271192,1.0152208037454848,-0.4526585392855261
Diluted EPS,0.7204596785711961,1.152091481003909,-0.4460556455064419
Diluted EPS,0.7204596785711961,1.152091481003909,-0.4460556455064419
Common Stock Equity,0.07811867145989045,-0.080141681793892,-0.448419691454763
Net Income From Continuing And Discontinued Operation,0.678443934270521,1.1601023861443234,-0.4641151381561633
Net Income From Continuing And Discontinued Operation,0.678443934270521,1.1601023861443234,-0.4641151381561633
Total Revenue,-0.17338041303877183,-0.1935782214838313,-0.5032306631586588
Total Revenue,-0.17338041303877183,-0.1935782214838313,-0.5032306631586588
Total Capitalization,-0.20972520428854,-0.29534265242973246,-0.49457779089248327
Diluted Average Shares,-0.1998745779184059,-0.18968162990374493,-0.2236581232859482
Diluted Average Shares,-0.1998745779184059,-0.18968162990374493,-0.2236581232859482
Ordinary Shares Number,-0.21867780788220725,-0.2065387856311189,-0.20937953399149384
Net Income,0.6784417390702281,1.1601005215536286,-0.4641181176071927
Net Income,0.6784417390702281,1.1601005215536286,-0.4641181176071927
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,0.6851220653775474,1.1687060496551378,-0.4620046306601009
Diluted NI Availto Com Stockholders,0.6851220653775474,1.1687060496551378,-0.4620046306601009
Tangible Book Value,0.5017102030062023,0.3241849610343993,-0.08892319545442463
Tax Rate For Calcs,-0.8767294541996141,-1.4995267198119544,1.0593576975952699
Tax Rate For Calcs,-0.8767294541996141,-1.4995267198119544,1.0593576975952699
