,2022-12-31ALB,2021-12-31ALB,2020-12-31ALB
Basic EPS,0.8211539927861965,-0.278073837359326,-0.15459893041147282
Basic EPS,0.8211539927861965,-0.278073837359326,-0.15459893041147282
Net Income Common Stockholders,-0.029399913844768272,-0.35257581308556873,-0.32082776668154317
Net Income Common Stockholders,-0.029399913844768272,-0.35257581308556873,-0.32082776668154317
Total Liabilities Net Minority Interest,-0.23303761946233084,-0.2417587516000401,-0.23837436444668184
Net Income Including Noncontrolling Interests,-0.02044243843334866,-0.34715918338484364,-0.31634221389337663
Net Income Including Noncontrolling Interests,-0.02044243843334866,-0.34715918338484364,-0.31634221389337663
Net Income From Continuing Operation Net Minority Interest,-0.027377477686558214,-0.34989324653870185,-0.318210049804039
Net Income From Continuing Operation Net Minority Interest,-0.027377477686558214,-0.34989324653870185,-0.318210049804039
Tax Effect Of Unusual Items,0.1321662697502738,0.31883399096129783,0.1359644425032954
Tax Effect Of Unusual Items,0.1321662697502738,0.31883399096129783,0.1359644425032954
Total Equity Gross Minority Interest,-0.2802271584627553,-0.352037433012739,-0.39228968042050394
Share Issued,-0.4424353435250461,-0.44253049431771824,-0.44885708917950856
Invested Capital,-0.3542084550252234,-0.40711947248116076,-0.4101012493975059
Net Tangible Assets,0.022052643668531005,-0.0584166464776515,-0.10840513559641168
Normalized Income,-0.051992332019915107,-0.4135892999783649,-0.3513104194270654
Normalized Income,-0.051992332019915107,-0.4135892999783649,-0.3513104194270654
Basic Average Shares,-0.4019367398509323,-0.4028161768721332,-0.40930640833664894
Basic Average Shares,-0.4019367398509323,-0.4028161768721332,-0.40930640833664894
Operating Revenue,-0.37843496968611473,-0.44923166120955227,-0.45276157627890146
Operating Revenue,-0.37843496968611473,-0.44923166120955227,-0.45276157627890146
Common Stock,-0.24437187446410383,-0.24437208682993047,-0.244382811304177
Stockholders Equity,-0.2761451148645686,-0.34800059780953413,-0.3893649423966182
Total Assets,-0.2468470355144148,-0.2637793950057104,-0.265755686384127
Net Income Continuous Operations,-0.014787013238710288,-0.34216709265178485,-0.3112875553299847
Net Income Continuous Operations,-0.014787013238710288,-0.34216709265178485,-0.3112875553299847
Pretax Income,-0.12019689474651203,-0.36083179944147514,-0.33573052905353
Pretax Income,-0.12019689474651203,-0.36083179944147514,-0.33573052905353
Diluted EPS,0.8641608416822094,-0.2865050894052433,-0.1565400668857238
Diluted EPS,0.8641608416822094,-0.2865050894052433,-0.1565400668857238
Common Stock Equity,-0.2760555684675704,-0.351000683896797,-0.39414360706255824
Net Income From Continuing And Discontinued Operation,-0.03302881681889388,-0.354905104924427,-0.3232847292864659
Net Income From Continuing And Discontinued Operation,-0.03302881681889388,-0.354905104924427,-0.3232847292864659
Total Revenue,-0.378282586884763,-0.44907505430400696,-0.4526047587599966
Total Revenue,-0.378282586884763,-0.44907505430400696,-0.4526047587599966
Total Capitalization,-0.34603549137485073,-0.4074023563029441,-0.41761826530144974
Diluted Average Shares,-0.40251514115893977,-0.40336931020256833,-0.4099797767550098
Diluted Average Shares,-0.40251514115893977,-0.40336931020256833,-0.4099797767550098
Ordinary Shares Number,-0.39930106385740144,-0.3994042455465357,-0.40626481628877575
Net Income,-0.033031500372955526,-0.3549080094138627,-0.32328761207172585
Net Income,-0.033031500372955526,-0.3549080094138627,-0.32328761207172585
Capital Stock,-0.26692095575569985,-0.2669211550678548,-0.2669312203316798
Diluted NI Availto Com Stockholders,-0.029194949798389762,-0.35235800702496073,-0.3206112221904539
Diluted NI Availto Com Stockholders,-0.029194949798389762,-0.35235800702496073,-0.3206112221904539
Tangible Book Value,0.036468895556888266,-0.04763762847394642,-0.09988561094893011
Tax Rate For Calcs,-0.4164010404861452,0.382404148016639,-0.6194871053597346
Tax Rate For Calcs,-0.4164010404861452,0.382404148016639,-0.6194871053597346
