,2022-12-31INVH,2021-12-31INVH,2020-12-31INVH
Basic EPS,-0.3001587800654461,-0.3091935293543134,-0.31421283451479526
Basic EPS,-0.3001587800654461,-0.3091935293543134,-0.31421283451479526
Net Income Common Stockholders,-0.3199582884260912,-0.33526861164673044,-0.34349666673677937
Net Income Common Stockholders,-0.3199582884260912,-0.33526861164673044,-0.34349666673677937
Total Liabilities Net Minority Interest,-0.22909781407299076,-0.22707691109196407,-0.22603267357515386
Net Income Including Noncontrolling Interests,-0.32406491474058946,-0.3393093033370604,-0.34747063500274356
Net Income Including Noncontrolling Interests,-0.32406491474058946,-0.3393093033370604,-0.34747063500274356
Net Income From Continuing Operation Net Minority Interest,-0.3172592723763629,-0.33258029967886493,-0.34077634044436944
Net Income From Continuing Operation Net Minority Interest,-0.3172592723763629,-0.33258029967886493,-0.34077634044436944
Tax Effect Of Unusual Items,0.17020874445340306,0.16774574569366302,0.19937311672742525
Tax Effect Of Unusual Items,0.17020874445340306,0.16774574569366302,0.19937311672742525
Total Equity Gross Minority Interest,-0.21601734955639273,-0.23061359982020052,-0.26923162789443
Share Issued,-0.1350650848958239,-0.14151167174808046,-0.1626113737049461
Invested Capital,-0.2400635323840336,-0.24445613799668633,-0.26542061518970556
Net Tangible Assets,0.15703050366092797,0.14018900025224998,0.09607500903945074
Normalized Income,-0.35625002240445197,-0.37000052439370035,-0.38233646157307766
Normalized Income,-0.35625002240445197,-0.37000052439370035,-0.38233646157307766
Basic Average Shares,-0.06319148187499549,-0.08525616480643272,-0.1015437984417067
Basic Average Shares,-0.06319148187499549,-0.08525616480643272,-0.1015437984417067
Operating Revenue,-0.4685588009925154,-0.47284166577255965,-0.4759236025423689
Operating Revenue,-0.4685588009925154,-0.47284166577255965,-0.4759236025423689
Common Stock,-0.24384711850641783,-0.24385816152940432,-0.24389415753702381
Stockholders Equity,-0.2057724263763455,-0.22081800759264414,-0.26022782876248446
Total Assets,-0.23521157903792234,-0.23520728022302276,-0.23910425792245554
Net Income Continuous Operations,-0.31902593561110343,-0.33430127495759865,-0.34247917661129096
Net Income Continuous Operations,-0.31902593561110343,-0.33430127495759865,-0.34247917661129096
Pretax Income,-0.3345502824935906,-0.34731776706659456,-0.3541530478308819
Pretax Income,-0.3345502824935906,-0.34731776706659456,-0.3541530478308819
Diluted EPS,-0.30922255269117555,-0.31873218848528667,-0.3240153194820151
Diluted EPS,-0.30922255269117555,-0.31873218848528667,-0.3240153194820151
Common Stock Equity,-0.20265700449362378,-0.21834951360693575,-0.2594538730179082
Net Income From Continuing And Discontinued Operation,-0.3223358370498968,-0.3376264859866739,-0.34580627573199846
Net Income From Continuing And Discontinued Operation,-0.3223358370498968,-0.3376264859866739,-0.34580627573199846
Total Revenue,-0.468401040927826,-0.4726836501695578,-0.4757654030547567
Total Revenue,-0.468401040927826,-0.4726836501695578,-0.4757654030547567
Total Capitalization,-0.22800071125184182,-0.23254160064986137,-0.25421378809746453
Diluted Average Shares,-0.06728987728880942,-0.08896883235596485,-0.10510828916187016
Diluted Average Shares,-0.06728987728880942,-0.08896883235596485,-0.10510828916187016
Ordinary Shares Number,-0.06598820766011478,-0.07297889793064455,-0.09585945233274745
Net Income,-0.3223387191838386,-0.33762937861609293,-0.3458091739760122
Net Income,-0.3223387191838386,-0.33762937861609293,-0.3458091739760122
Capital Stock,-0.26642845542081794,-0.26643881965287536,-0.2664726030631394
Diluted NI Availto Com Stockholders,-0.31974177848538815,-0.335051493320968,-0.34327922145346595
Diluted NI Availto Com Stockholders,-0.31974177848538815,-0.335051493320968,-0.34327922145346595
Tangible Book Value,0.17754779167313223,0.15994504771224793,0.11383709205245332
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
