,2022-12-31IPG,2021-12-31IPG,2020-12-31IPG
Basic EPS,-0.21131707872491756,-0.2103132176928212,-0.28660665613214514
Basic EPS,-0.21131707872491756,-0.2103132176928212,-0.28660665613214514
Net Income Common Stockholders,-0.250020701729011,-0.24815681439113602,-0.32393390974244507
Net Income Common Stockholders,-0.250020701729011,-0.24815681439113602,-0.32393390974244507
Total Liabilities Net Minority Interest,-0.20045538539420102,-0.19544975552731383,-0.2008504463208059
Net Income Including Noncontrolling Interests,-0.25269202233872706,-0.25060568378320014,-0.327887661654396
Net Income Including Noncontrolling Interests,-0.25269202233872706,-0.25060568378320014,-0.327887661654396
Net Income From Continuing Operation Net Minority Interest,-0.24754761783749551,-0.2456875377410505,-0.3213098481485471
Net Income From Continuing Operation Net Minority Interest,-0.24754761783749551,-0.2456875377410505,-0.3213098481485471
Tax Effect Of Unusual Items,0.055814403501034504,0.07579581409399724,0.10625758646043729
Tax Effect Of Unusual Items,0.055814403501034504,0.07579581409399724,0.10625758646043729
Total Equity Gross Minority Interest,-0.41409534819184174,-0.4182951491761128,-0.4353893928956047
Share Issued,-0.2730097177128703,-0.27008678486607834,-0.2722012469254597
Invested Capital,-0.4313437895165539,-0.43268643764259485,-0.43470789671711746
Net Tangible Assets,-0.26107056617744,-0.2613912917285777,-0.2871141633246116
Normalized Income,-0.2678251085732989,-0.26624995831165044,-0.2938533037926523
Normalized Income,-0.2678251085732989,-0.26624995831165044,-0.2938533037926523
Basic Average Shares,-0.2132737766944723,-0.21224238065709827,-0.21471773114679596
Basic Average Shares,-0.2132737766944723,-0.21224238065709827,-0.21471773114679596
Operating Revenue,-0.31445612801962813,-0.3266411519543064,-0.34756193893689974
Operating Revenue,-0.31445612801962813,-0.3266411519543064,-0.34756193893689974
Common Stock,-0.2403658055099198,-0.24032333234458703,-0.2403551872185866
Stockholders Equity,-0.40827333027984936,-0.41198900359886637,-0.43122271864644424
Total Assets,-0.2340470006169923,-0.23002696650792118,-0.23707770289636435
Net Income Continuous Operations,-0.2475081345080975,-0.24541756005011442,-0.32285644386498513
Net Income Continuous Operations,-0.2475081345080975,-0.24541756005011442,-0.32285644386498513
Pretax Income,-0.24204521477293625,-0.24694198241523801,-0.3370090248616771
Pretax Income,-0.24204521477293625,-0.24694198241523801,-0.3370090248616771
Diluted EPS,-0.21729607334810078,-0.21623944714875512,-0.29548641209968163
Diluted EPS,-0.21729607334810078,-0.21623944714875512,-0.29548641209968163
Common Stock Equity,-0.4138650152893279,-0.41774045463477505,-0.43780117839996924
Net Income From Continuing And Discontinued Operation,-0.25276240601883065,-0.2509060140689004,-0.326378381384647
Net Income From Continuing And Discontinued Operation,-0.25276240601883065,-0.2509060140689004,-0.326378381384647
Total Revenue,-0.3143075625335714,-0.3264918594454242,-0.3474113981834722
Total Revenue,-0.3143075625335714,-0.3264918594454242,-0.3474113981834722
Total Capitalization,-0.426510371695299,-0.4279551016358093,-0.43868394136069394
Diluted Average Shares,-0.21407675215216687,-0.21183430358894145,-0.2153678589006906
Diluted Average Shares,-0.21407675215216687,-0.21183430358894145,-0.2153678589006906
Ordinary Shares Number,-0.21766622269461655,-0.21240597971914493,-0.21469890614435053
Net Income,-0.2527652403976797,-0.2509088471735249,-0.3263812662933849
Net Income,-0.2527652403976797,-0.2509088471735249,-0.3263812662933849
Capital Stock,-0.2631611312647193,-0.26312126883372927,-0.2631511656569718
Diluted NI Availto Com Stockholders,-0.24980697089246034,-0.2479431576197238,-0.32371724182280354
Diluted NI Availto Com Stockholders,-0.24980697089246034,-0.2479431576197238,-0.32371724182280354
Tangible Book Value,-0.25945156067354225,-0.25978678310715714,-0.28667233552229215
Tax Rate For Calcs,0.80211534875539,0.19285715413462223,-2.2983319083147387
Tax Rate For Calcs,0.80211534875539,0.19285715413462223,-2.2983319083147387
