,2022-12-31CNP,2021-12-31CNP,2020-12-31CNP
Basic EPS,-0.25147152000877226,-0.2138267313051585,-0.4216259649491066
Basic EPS,-0.25147152000877226,-0.2138267313051585,-0.4216259649491066
Net Income Common Stockholders,-0.24120501837419692,-0.19297063658999986,-0.4876663373080707
Net Income Common Stockholders,-0.24120501837419692,-0.19297063658999986,-0.4876663373080707
Total Liabilities Net Minority Interest,-0.14472975450174566,-0.14572780315843167,-0.158777289344601
Net Income Including Noncontrolling Interests,-0.24008653968886665,-0.18649137559778514,-0.4687092676298437
Net Income Including Noncontrolling Interests,-0.24008653968886665,-0.18649137559778514,-0.4687092676298437
Net Income From Continuing Operation Net Minority Interest,-0.23259156841337703,-0.28148151148885675,-0.3047325126944191
Net Income From Continuing Operation Net Minority Interest,-0.23259156841337703,-0.28148151148885675,-0.3047325126944191
Tax Effect Of Unusual Items,0.4175134061903818,0.09114128579061809,0.058900067804306344
Tax Effect Of Unusual Items,0.4175134061903818,0.09114128579061809,0.058900067804306344
Total Equity Gross Minority Interest,-0.2244058423739442,-0.24328236722797975,-0.27549589449084744
Share Issued,-0.12379360346485871,-0.12417426695990612,-0.17241364978137794
Invested Capital,-0.10612180384387583,-0.12908158592487318,-0.2173602842739833
Net Tangible Assets,0.00962862293068272,-0.011969172161888517,-0.06243226685685354
Normalized Income,-0.3022447344365562,-0.300982262082627,-0.31574506443991085
Normalized Income,-0.3022447344365562,-0.300982262082627,-0.31574506443991085
Basic Average Shares,-0.049969404110248784,-0.07472290900722582,-0.11735394521868628
Basic Average Shares,-0.049969404110248784,-0.07472290900722582,-0.11735394521868628
Operating Revenue,-0.3429511017617923,-0.3601353372336351,-0.37669888308575195
Operating Revenue,-0.3429511017617923,-0.3601353372336351,-0.37669888308575195
Common Stock,-0.2435406746185421,-0.2435406746185421,-0.24385922335853766
Stockholders Equity,-0.21328125653839056,-0.23239304629248142,-0.2650080623002601
Total Assets,-0.1596261286166072,-0.162901236277352,-0.17879702986029808
Net Income Continuous Operations,-0.23487705889070265,-0.2835736735107879,-0.3067327318776664
Net Income Continuous Operations,-0.23487705889070265,-0.2835736735107879,-0.3067327318776664
Pretax Income,-0.22654924708437024,-0.29340895912349035,-0.31590479337765437
Pretax Income,-0.22654924708437024,-0.29340895912349035,-0.31590479337765437
Diluted EPS,-0.25850449512258256,-0.22205089124515637,-0.4370743228120036
Diluted EPS,-0.25850449512258256,-0.22205089124515637,-0.4370743228120036
Common Stock Equity,-0.2356043429853336,-0.2555378989295123,-0.33956403666550006
Net Income From Continuing And Discontinued Operation,-0.23783601128628315,-0.18402573111600676,-0.4673763672573922
Net Income From Continuing And Discontinued Operation,-0.23783601128628315,-0.18402573111600676,-0.4673763672573922
Total Revenue,-0.34280083611524087,-0.35998404628491837,-0.37654660386848776
Total Revenue,-0.34280083611524087,-0.35998404628491837,-0.37654660386848776
Total Capitalization,-0.11069240669975208,-0.1090584859336988,-0.19689462648353204
Diluted Average Shares,-0.05309612650728776,-0.06804578359545721,-0.12172864313933839
Diluted Average Shares,-0.05309612650728776,-0.06804578359545721,-0.12172864313933839
Ordinary Shares Number,-0.053765393110377785,-0.05417818528275692,-0.1064890579778761
Net Income,-0.23783883541967848,-0.18402851831411107,-0.46737934894692407
Net Income,-0.23783883541967848,-0.18402851831411107,-0.46737934894692407
Capital Stock,-0.18741254677589572,-0.18741254677589572,-0.03095250513998858
Diluted NI Availto Com Stockholders,-0.24099163784573344,-0.19275917274721338,-0.48744316316636993
Diluted NI Availto Com Stockholders,-0.24099163784573344,-0.19275917274721338,-0.48744316316636993
Tangible Book Value,-0.004689643518426515,-0.027263664845897644,-0.13610396988766998
Tax Rate For Calcs,0.7885762777638174,-0.70072153130917,-0.70072153130917
Tax Rate For Calcs,0.7885762777638174,-0.70072153130917,-0.70072153130917
