,2022-12-31STT,2021-12-31STT,2020-12-31STT
Basic EPS,0.03362501310659613,0.03462887413869247,-0.01054487230564404
Basic EPS,0.03362501310659613,0.03462887413869247,-0.01054487230564404
Net Income Common Stockholders,-0.03315489120058451,-0.044237464560922216,-0.0839080396575856
Net Income Common Stockholders,-0.03315489120058451,-0.044237464560922216,-0.0839080396575856
Total Liabilities Net Minority Interest,0.88558082501162,0.9313330388485337,0.9365104162550923
Net Income Including Noncontrolling Interests,-0.025580952872113864,-0.0357003195186817,-0.06980633303118812
Net Income Including Noncontrolling Interests,-0.025580952872113864,-0.0357003195186817,-0.06980633303118812
Net Income From Continuing Operation Net Minority Interest,-0.01679714100823897,-0.02697730910364735,-0.06128824601780151
Net Income From Continuing Operation Net Minority Interest,-0.01679714100823897,-0.02697730910364735,-0.06128824601780151
Tax Effect Of Unusual Items,0.08374939678887833,0.12451431656860959,0.05533331285285897
Tax Effect Of Unusual Items,0.08374939678887833,0.12451431656860959,0.05533331285285897
Total Equity Gross Minority Interest,0.23158115194698464,0.29697160168058145,0.2619582070948664
Share Issued,-0.20193913913384356,-0.20193913913384356,-0.20193913913384356
Invested Capital,0.1271529096037067,0.1054243042429947,0.14854876449947668
Net Tangible Assets,0.36580458339095306,0.4263330012333249,0.3841610032326645
Normalized Income,-0.02999972833069815,-0.049534521439478216,-0.06895944463553635
Normalized Income,-0.02999972833069815,-0.049534521439478216,-0.06895944463553635
Basic Average Shares,-0.23134796085341505,-0.24004537983791122,-0.23983910063043642
Basic Average Shares,-0.23134796085341505,-0.24004537983791122,-0.23983910063043642
Operating Revenue,-0.29322499622717174,-0.2959028285865611,-0.30086834554436914
Operating Revenue,-0.29322499622717174,-0.2959028285865611,-0.30086834554436914
Common Stock,-0.1909801325192763,-0.1909801325192763,-0.1909801325192763
Stockholders Equity,0.24838886725022222,0.31459430161367574,0.2791445225323238
Total Assets,0.8334983286388239,0.8832633440052049,0.8835731004390931
Net Income Continuous Operations,-0.019935960426213435,-0.030075872467927835,-0.06425113157148378
Net Income Continuous Operations,-0.019935960426213435,-0.030075872467927835,-0.06425113157148378
Pretax Income,-0.026702533477610618,-0.04302509228528313,-0.07148493841148136
Pretax Income,-0.026702533477610618,-0.04302509228528313,-0.07148493841148136
Diluted EPS,0.03735084069420968,0.03735084069420968,-0.008612398977327691
Diluted EPS,0.03735084069420968,0.03735084069420968,-0.008612398977327691
Common Stock Equity,0.20821135235874094,0.27726347917015426,0.22455241735923195
Net Income From Continuing And Discontinued Operation,-0.022469458716668826,-0.032629441685881846,-0.06687234724878499
Net Income From Continuing And Discontinued Operation,-0.022469458716668826,-0.032629441685881846,-0.06687234724878499
Total Revenue,-0.29307769750246937,-0.29575537008824987,-0.3007205907771143
Total Revenue,-0.29307769750246937,-0.29575537008824987,-0.3007205907771143
Total Capitalization,0.11239797494737677,0.11714494475191055,0.14765626516221095
Diluted Average Shares,-0.2310588830744597,-0.23931313237673218,-0.2398948099434355
Diluted Average Shares,-0.2310588830744597,-0.23931313237673218,-0.2398948099434355
Ordinary Shares Number,-0.24293955439823162,-0.2315028062807046,-0.24015289886978777
Net Income,-0.022472135022803808,-0.03263212496581304,-0.06687505403299229
Net Income,-0.022472135022803808,-0.03263212496581304,-0.06687505403299229
Capital Stock,-0.019890680540252472,-0.019890680540252472,0.02943907780992207
Diluted NI Availto Com Stockholders,-0.032949777942978466,-0.04403191091600658,-0.08370090962627766
Diluted NI Availto Com Stockholders,-0.032949777942978466,-0.04403191091600658,-0.08370090962627766
Tangible Book Value,0.325290481826108,0.3885548006806637,0.326823946150091
Tax Rate For Calcs,-0.34870568552828207,-0.5517917504018715,-0.3622447565198547
Tax Rate For Calcs,-0.34870568552828207,-0.5517917504018715,-0.3622447565198547
