,2022-12-31RHI,2021-12-31RHI,2020-12-31RHI
Basic EPS,-0.026606648819185934,-0.05973406287836607,-0.1952553022113757
Basic EPS,-0.026606648819185934,-0.05973406287836607,-0.1952553022113757
Net Income Common Stockholders,-0.2852936361532922,-0.2927608977698206,-0.3295789696095335
Net Income Common Stockholders,-0.2852936361532922,-0.2927608977698206,-0.3295789696095335
Total Liabilities Net Minority Interest,-0.25744716576374466,-0.2567178500249435,-0.2576292888509095
Net Income Including Noncontrolling Interests,-0.28994390957379185,-0.29735141088953193,-0.3338748286564962
Net Income Including Noncontrolling Interests,-0.28994390957379185,-0.29735141088953193,-0.3338748286564962
Net Income From Continuing Operation Net Minority Interest,-0.2827485025329285,-0.290200511259855,-0.32694337721902345
Net Income From Continuing Operation Net Minority Interest,-0.2827485025329285,-0.290200511259855,-0.32694337721902345
Tax Effect Of Unusual Items,0.07161407756874022,0.17970602992514442,0.19382313930117143
Tax Effect Of Unusual Items,0.07161407756874022,0.17970602992514442,0.19382313930117143
Total Equity Gross Minority Interest,-0.4795984549525579,-0.48524355949132286,-0.49053506788270246
Share Issued,-0.44832443255452736,-0.44646651009210286,-0.444948132300478
Invested Capital,-0.5144472531594677,-0.5175669052309616,-0.5204871732238623
Net Tangible Assets,-0.1400740883118413,-0.1458938581556719,-0.15197474636576389
Normalized Income,-0.30677170677163296,-0.32843905115857097,-0.3673104818303252
Normalized Income,-0.30677170677163296,-0.32843905115857097,-0.3673104818303252
Basic Average Shares,-0.40806048192350114,-0.40650101111499154,-0.40495597985100523
Basic Average Shares,-0.40806048192350114,-0.40650101111499154,-0.40495597985100523
Operating Revenue,-0.37988848290359994,-0.39366243679679847,-0.4176466639985333
Operating Revenue,-0.37988848290359994,-0.39366243679679847,-0.4176466639985333
Common Stock,-0.2444848530838889,-0.2444845345351489,-0.24448432216932225
Stockholders Equity,-0.47165442618232273,-0.4773698876837905,-0.48272734604225703
Total Assets,-0.29403591239063726,-0.29408172990023035,-0.29557360376873815
Net Income Continuous Operations,-0.2848356544156338,-0.29225819521426805,-0.3288557666389002
Net Income Continuous Operations,-0.2848356544156338,-0.29225819521426805,-0.3288557666389002
Pretax Income,-0.2809624848737039,-0.29071155164873524,-0.33067022192778983
Pretax Income,-0.2809624848737039,-0.29071155164873524,-0.33067022192778983
Diluted EPS,-0.023933478867840148,-0.05933045654592064,-0.19986174105889695
Diluted EPS,-0.023933478867840148,-0.05933045654592064,-0.19986174105889695
Common Stock Equity,-0.4799713631108278,-0.48593257726461586,-0.49152039490394717
Net Income From Continuing And Discontinued Operation,-0.2878934947842646,-0.2953307277496171,-0.3320007403551656
Net Income From Continuing And Discontinued Operation,-0.2878934947842646,-0.2953307277496171,-0.3320007403551656
Total Revenue,-0.37973601337797985,-0.39350914544440724,-0.4174919416205881
Total Revenue,-0.37973601337797985,-0.39350914544440724,-0.4174919416205881
Total Capitalization,-0.511646965554625,-0.5148719295659971,-0.5178948893731872
Diluted Average Shares,-0.40837404767776686,-0.40664328510487746,-0.40555603731664697
Diluted Average Shares,-0.40837404767776686,-0.40664328510487746,-0.40555603731664697
Ordinary Shares Number,-0.40568720249544177,-0.4036724680663347,-0.40202593648331814
Net Income,-0.28789635327703733,-0.2953335913472947,-0.33200362912308173
Net Income,-0.28789635327703733,-0.2953335913472947,-0.33200362912308173
Capital Stock,-0.26702698982213335,-0.26702669085390096,-0.267026491541746
Diluted NI Availto Com Stockholders,-0.2850785036790363,-0.29254546856960173,-0.3293620773726105
Diluted NI Availto Com Stockholders,-0.2850785036790363,-0.29254546856960173,-0.3293620773726105
Tangible Book Value,-0.1329860089734802,-0.13906883400318862,-0.145424580020605
Tax Rate For Calcs,1.0052014136289795,0.8562716327216805,1.1135139815615605
Tax Rate For Calcs,1.0052014136289795,0.8562716327216805,1.1135139815615605
